"id","name","sort_id","type","rarity","monster","transition_able","transition","req_fragment_number","req_gold","grade0","grade1","grade2","grade3","grade4","grade5","grade6","grade7","grade8","grade9","description","price"
"10011","光法碎片","11","1","3|4|5","MON30067|MON30060|MON30061","1","ELD00017|ELD00042|ELD00066","30|50|80","5000|25000|100000","EQP00010|EQP00008|EQP00006|EQP00005|EQP00004|EQP00001","EQP00014|EQP00013|EQP00012|EQP00010|EQP00008|EQP00005","EQP00031|EQP00028|EQP00026|EQP00024|EQP00018|EQP00014","EQP00044|EQP00039|EQP00035|EQP00031|EQP00024|EQP00022","EQP00062|EQP00060|EQP00056|EQP00055|EQP00052|EQP00028","EQP00076|EQP00003|EQP00068|EQP00067|EQP00052|EQP00039","EQP00079|EQP00077|EQP00076|EQP00066|EQP00056|EQP00052","EQP00091|EQP00085|EQP00079|EQP00078|EQP00076|EQP00068","EQP00101|EQP00100|EQP00099|EQP00094|EQP00078|EQP00064","EQP00115|EQP00110|EQP00101|EQP00097|EQP00069|EQP00058","这里有一半都曾是我的徒弟。","10000"
"10012","陈的碎片","12","1","3|4|5","MON40064|MON40060|MON40061","1","ELD00048|ELD00052","30|50|80","5000|25000|100000","EQP00008|EQP00007|EQP00006|EQP00005|EQP00004|EQP00001","EQP00014|EQP00013|EQP00012|EQP00010|EQP00009|EQP00008","EQP00033|EQP00030|EQP00027|EQP00025|EQP00020|EQP00018","EQP00044|EQP00037|EQP00034|EQP00033|EQP00025|EQP00022","EQP00060|EQP00056|EQP00049|EQP00048|EQP00037|EQP00033","EQP00078|EQP00071|EQP00064|EQP00056|EQP00049|EQP00040","EQP00076|EQP00075|EQP00071|EQP00062|EQP00057|EQP00049","EQP00087|EQP00084|EQP00082|EQP00071|EQP00066|EQP00049","EQP00099|EQP00094|EQP00093|EQP00092|EQP00079|EQP00071","EQP00107|EQP00103|EQP00101|EQP00098|EQP00096|EQP00087","酒就像知识，得活到老喝到老。","10000"
"10013","瓦娘碎片","13","1","3|4|5","MON10065|MON10063|MON10064","1","ELD00032|ELD00056|ELD00075","30|50|80","5000|25000|100000","EQP00010|EQP00008|EQP00006|EQP00004|EQP00002|EQP00001","EQP00016|EQP00014|EQP00009|EQP00008|EQP00007|EQP00004","EQP00033|EQP00026|EQP00023|EQP00016|EQP00013|EQP00010","EQP00047|EQP00042|EQP00041|EQP00037|EQP00033|EQP00023","EQP00060|EQP00056|EQP00050|EQP00048|EQP00042|EQP00041","EQP00003|EQP00072|EQP00064|EQP00060|EQP00058|EQP00050","EQP00086|EQP00003|EQP00072|EQP00064|EQP00056|EQP00050","EQP00088|EQP00086|EQP00078|EQP00072|EQP00065|EQP00058","EQP00096|EQP00092|EQP00088|EQP00083|EQP00073|EQP00058","EQP00113|EQP00113|EQP00097|EQP00093|EQP00079|EQP00092","我愿意为了他和他儿子，奉献我的忠诚和全部。","10000"
"10014","冰女碎片","14","1","3|4|5","MON20065|MON20063|MON20064","1","ELD00038|ELD00050","30|50|80","5000|25000|100000","EQP00007|EQP00006|EQP00005|EQP00004|EQP00002|EQP00001","EQP00015|EQP00014|EQP00013|EQP00011|EQP00010|EQP00008","EQP00033|EQP00029|EQP00028|EQP00027|EQP00026|EQP00024","EQP00041|EQP00039|EQP00037|EQP00036|EQP00033|EQP00024","EQP00061|EQP00060|EQP00056|EQP00053|EQP00049|EQP00040","EQP00070|EQP00067|EQP00066|EQP00064|EQP00060|EQP00049","EQP00078|EQP00076|EQP00070|EQP00067|EQP00059|EQP00049","EQP00091|EQP00003|EQP00073|EQP00070|EQP00067|EQP00059","EQP00096|EQP00094|EQP00093|EQP00092|EQP00091|EQP00076","EQP00115|EQP00110|EQP00092|EQP00079|EQP00076|EQP00073","如果你觉得手酸了，那就快点休息一会儿吧。啊不，我不是那个意思。","10000"
"10015","大帝碎片","15","1","3|4|5","MON30068|MON30062|MON30063","1","ELD00077","30|50|80","5000|25000|100000","EQP00012|EQP00009|EQP00007|EQP00004|EQP00002|EQP00001","EQP00019|EQP00017|EQP00015|EQP00014|EQP00009|EQP00006","EQP00032|EQP00030|EQP00027|EQP00026|EQP00025|EQP00016","EQP00047|EQP00043|EQP00042|EQP00038|EQP00032|EQP00025","EQP00061|EQP00057|EQP00058|EQP00053|EQP00050|EQP00045","EQP00074|EQP00073|EQP00071|EQP00058|EQP00050|EQP00046","EQP00083|EQP00079|EQP00073|EQP00071|EQP00060|EQP00050","EQP00089|EQP00084|EQP00083|EQP00078|EQP00058|EQP00057","EQP00095|EQP00093|EQP00092|EQP00089|EQP00082|EQP00071","EQP00104|EQP00103|EQP00101|EQP00096|EQP00092|EQP00079","我能如此强大的秘诀，在于每天按时喝一杯牛奶。","10000"
"10016","兽王碎片","16","1","3|4|5","MON40065|MON40062|MON40063","1","ELD00071","30|50|80","5000|25000|100000","EQP00011|EQP00008|EQP00006|EQP00004|EQP00002|EQP00001","EQP00014|EQP00013|EQP00011|EQP00010|EQP00009|EQP00004","EQP00033|EQP00029|EQP00023|EQP00019|EQP00017|EQP00020","EQP00045|EQP00043|EQP00035|EQP00034|EQP00023|EQP00020","EQP00060|EQP00056|EQP00053|EQP00050|EQP00045|EQP00042","EQP00078|EQP00072|EQP00063|EQP00063|EQP00050|EQP00044","EQP00082|EQP00078|EQP00003|EQP00073|EQP00072|EQP00050","EQP00089|EQP00082|EQP00081|EQP00078|EQP00073|EQP00072","EQP00096|EQP00093|EQP00092|EQP00089|EQP00081|EQP00063","EQP00114|EQP00114|EQP00101|EQP00096|EQP00089|EQP00083","你们应该知道寒冷对于猎人来说是致命的，然而我光膀子也不怕。","10000"
"10017","奥丁碎片","17","2","4|5","MON10066|MON10067","0","通过公会商店获得","50|100","25000|100000","EQP00012|EQP00010|EQP00008|EQP00007|EQP00004|EQP00002","EQP00025|EQP00018|EQP00016|EQP00012|EQP00009|EQP00004","EQP00032|EQP00030|EQP00029|EQP00025|EQP00022|EQP00018","EQP00044|EQP00043|EQP00036|EQP00034|EQP00032|EQP00025","EQP00061|EQP00059|EQP00056|EQP00053|EQP00052|EQP00045","EQP00075|EQP00072|EQP00066|EQP00062|EQP00052|EQP00044","EQP00082|EQP00077|EQP00072|EQP00062|EQP00052|EQP00044","EQP00091|EQP00084|EQP00078|EQP00074|EQP00072|EQP00044","EQP00099|EQP00092|EQP00091|EQP00086|EQP00082|EQP00066","EQP00107|EQP00102|EQP00099|EQP00093|EQP00081|EQP00078","穿着盔甲演讲是一件很痛苦的事情。","10000"
"10018","洛基碎片","18","2","4|5","MON20066|MON20067","0","通过公会商店获得","50|100","25000|100000","EQP00008|EQP00007|EQP00006|EQP00005|EQP00004|EQP00001","EQP00015|EQP00013|EQP00011|EQP00010|EQP00009|EQP00005","EQP00033|EQP00028|EQP00026|EQP00024|EQP00018|EQP00017","EQP00046|EQP00041|EQP00035|EQP00033|EQP00028|EQP00024","EQP00056|EQP00055|EQP00051|EQP00046|EQP00040|EQP00027","EQP00003|EQP00070|EQP00062|EQP00051|EQP00044|EQP00033","EQP00085|EQP00075|EQP00070|EQP00058|EQP00051|EQP00046","EQP00090|EQP00086|EQP00085|EQP00070|EQP00044|EQP00036","EQP00096|EQP00090|EQP00085|EQP00078|EQP00066|EQP00044","EQP00110|EQP00103|EQP00100|EQP00080|EQP00078|EQP00060","我是个神！我告诉你们，我是不会被……砰砰砰砰砰。","10000"
"10019","托尔碎片","19","2","4|5","MON30069|MON30070","0","通过公会商店获得","50|100","25000|100000","EQP00014|EQP00012|EQP00010|EQP00006|EQP00005|EQP00004","EQP00021|EQP00018|EQP00013|EQP00009|EQP00008|EQP00005","EQP00031|EQP00026|EQP00023|EQP00021|EQP00019|EQP00016","EQP00043|EQP00039|EQP00037|EQP00036|EQP00031|EQP00023","EQP00055|EQP00054|EQP00052|EQP00046|EQP00040|EQP00021","EQP00073|EQP00068|EQP00066|EQP00054|EQP00052|EQP00031","EQP00078|EQP00068|EQP00064|EQP00062|EQP00054|EQP00052","EQP00088|EQP00083|EQP00081|EQP00068|EQP00066|EQP00062","EQP00101|EQP00092|EQP00081|EQP00073|EQP00066|EQP00054","EQP00109|EQP00106|EQP00100|EQP00088|EQP00081|EQP00078","你们知道我的锤子能让我拿多少块金牌么？什么？这才不是作弊！","10000"
"10020","西芙碎片","20","2","4|5","MON40066|MON40067","0","通过公会商店获得","50|100","25000|100000","EQP00009|EQP00008|EQP00007|EQP00004|EQP00002|EQP00001","EQP00014|EQP00013|EQP00012|EQP00010|EQP00008|EQP00002","EQP00031|EQP00027|EQP00026|EQP00023|EQP00019|EQP00016","EQP00044|EQP00043|EQP00038|EQP00036|EQP00031|EQP00023","EQP00067|EQP00060|EQP00050|EQP00049|EQP00048|EQP00031","EQP00068|EQP00067|EQP00065|EQP00056|EQP00049|EQP00031","EQP00073|EQP00068|EQP00067|EQP00062|EQP00057|EQP00049","EQP00087|EQP00083|EQP00068|EQP00067|EQP00057|EQP00056","EQP00095|EQP00092|EQP00087|EQP00081|EQP00066|EQP00057","EQP00105|EQP00104|EQP00100|EQP00098|EQP00094|EQP00087","当你有个带电的男朋友后，你就再也不会喜欢上其他人了。","10000"
"10021","普罗米修斯碎片","21","1","3|4|5","MON10074|MON10075|MON10076","1","ELD00049|ELD00058","30|50|80","5000|25000|100000","EQP00010|EQP00008|EQP00007|EQP00004|EQP00002|EQP00001","EQP00014|EQP00013|EQP00012|EQP00011|EQP00009|EQP00006","EQP00031|EQP00029|EQP00027|EQP00026|EQP00023|EQP00021","EQP00044|EQP00040|EQP00037|EQP00036|EQP00031|EQP00022","EQP00059|EQP00057|EQP00053|EQP00052|EQP00048|EQP00036","EQP00067|EQP00065|EQP00061|EQP00059|EQP00056|EQP00052","EQP00084|EQP00067|EQP00064|EQP00062|EQP00059|EQP00056","EQP00091|EQP00083|EQP00081|EQP00078|EQP00071|EQP00069","EQP00096|EQP00092|EQP00091|EQP00084|EQP00083|EQP00081","EQP00106|EQP00104|EQP00101|EQP00100|EQP00096|EQP00091","为人类带来了火，自己却深受酷刑。","10000"
"10023","美杜莎碎片","23","1","3|4|5","MON20075|MON20076|MON20077","1","ELD00061","30|50|80","5000|25000|100000","EQP00010|EQP00009|EQP00008|EQP00006|EQP00004|EQP00001","EQP00016|EQP00012|EQP00011|EQP00007|EQP00010|EQP00006","EQP00032|EQP00030|EQP00026|EQP00024|EQP00020|EQP00017","EQP00044|EQP00043|EQP00038|EQP00035|EQP00032|EQP00026","EQP00058|EQP00056|EQP00053|EQP00051|EQP00047|EQP00044","EQP00065|EQP00064|EQP00058|EQP00053|EQP00051|EQP00046","EQP00079|EQP00068|EQP00067|EQP00064|EQP00060|EQP00058","EQP00087|EQP00079|EQP00003|EQP00068|EQP00086|EQP00080","EQP00099|EQP00096|EQP00092|EQP00087|EQP00085|EQP00074","EQP00111|EQP00110|EQP00100|EQP00099|EQP00097|EQP00094","蛇，必须是蛇。","10000"
"10025","潘多拉碎片","25","1","3|4|5","MON30077|MON30078|MON30079","1","ELD00027|ELD00051","30|50|80","5000|25000|100000","EQP00011|EQP00009|EQP00008|EQP00006|EQP00005|EQP00001","EQP00018|EQP00016|EQP00014|EQP00013|EQP00006|EQP00005","EQP00031|EQP00030|EQP00026|EQP00024|EQP00018|EQP00016","EQP00044|EQP00042|EQP00038|EQP00037|EQP00031|EQP00026","EQP00058|EQP00056|EQP00053|EQP00050|EQP00047|EQP00044","EQP00065|EQP00064|EQP00058|EQP00055|EQP00050|EQP00044","EQP00078|EQP00067|EQP00066|EQP00064|EQP00061|EQP00058","EQP00091|EQP00081|EQP00079|EQP00075|EQP00085|EQP00083","EQP00097|EQP00091|EQP00085|EQP00079|EQP00078|EQP00072","EQP00115|EQP00110|EQP00100|EQP00093|EQP00080|EQP00079","盒子里下一个出来的，会是什么呢？","10000"
"10027","阿瑞斯碎片","27","1","3|4|5","MON40074|MON40075|MON40076","1","ELD00072|ELD00076","30|50|80","5000|25000|100000","EQP00009|EQP00008|EQP00007|EQP00006|EQP00004|EQP00002","EQP00018|EQP00016|EQP00015|EQP00013|EQP00011|EQP00008","EQP00033|EQP00029|EQP00027|EQP00023|EQP00021|EQP00017","EQP00048|EQP00045|EQP00042|EQP00037|EQP00036|EQP00026","EQP00060|EQP00057|EQP00056|EQP00052|EQP00048|EQP00045","EQP00065|EQP00064|EQP00059|EQP00056|EQP00054|EQP00052","EQP00083|EQP00071|EQP00066|EQP00065|EQP00057|EQP00054","EQP00091|EQP00080|EQP00079|EQP00075|EQP00084|EQP00083","EQP00098|EQP00096|EQP00091|EQP00093|EQP00086|EQP00083","EQP00112|EQP00102|EQP00101|EQP00098|EQP00095|EQP00093","冲！冲！冲！","10000"
"10029","糕点萨碎片","29","3","5","MON30088","0","通过活动获得","80","100000","EQP00008|EQP00007|EQP00006|EQP00005|EQP00002|EQP00001","EQP00017|EQP00016|EQP00014|EQP00006|EQP00004|EQP00001","EQP00031|EQP00030|EQP00029|EQP00026|EQP00024|EQP00014","EQP00054|EQP00041|EQP00035|EQP00034|EQP00031|EQP00024","EQP00052|EQP00048|EQP00047|EQP00041|EQP00040|EQP00035","EQP00003|EQP00073|EQP00068|EQP00064|EQP00052|EQP00048","EQP00082|EQP00081|EQP00068|EQP00065|EQP00056|EQP00052","EQP00094|EQP00089|EQP00085|EQP00083|EQP00081|EQP00068","EQP00095|EQP00094|EQP00092|EQP00089|EQP00081|EQP00069","EQP00109|EQP00108|EQP00097|EQP00094|EQP00089|EQP00079","世界拯救完了，英雄也得另找一份工作。","10000"
"10022","刘备碎片","22","2","4|5","MON10077|MON10078","0","通过天梯积分兑换、吕布降临获得","50|100","25000|100000","EQP00011|EQP00009|EQP00007|EQP00004|EQP00002|EQP00001","EQP00015|EQP00013|EQP00012|EQP00009|EQP00011|EQP00007","EQP00032|EQP00029|EQP00027|EQP00026|EQP00025|EQP00022","EQP00045|EQP00042|EQP00039|EQP00038|EQP00036|EQP00032","EQP00059|EQP00057|EQP00055|EQP00050|EQP00047|EQP00044","EQP00066|EQP00063|EQP00062|EQP00060|EQP00053|EQP00050","EQP00081|EQP00069|EQP00067|EQP00065|EQP00063|EQP00059","EQP00088|EQP00083|EQP00081|EQP00079|EQP00074|EQP00072","EQP00096|EQP00095|EQP00093|EQP00092|EQP00088|EQP00072","EQP00114|EQP00107|EQP00101|EQP00096|EQP00099|EQP00088","坐拥后宫其实也挺烦的，今晚去找谁呢？","10000"
"10024","赵云碎片","24","2","4|5","MON20078|MON20079","0","通过天梯积分兑换、吕布降临获得","50|100","25000|100000","EQP00010|EQP00009|EQP00007|EQP00006|EQP00004|EQP00001","EQP00017|EQP00016|EQP00014|EQP00013|EQP00010|EQP00008","EQP00033|EQP00030|EQP00026|EQP00023|EQP00019|EQP00018","EQP00045|EQP00042|EQP00038|EQP00036|EQP00033|EQP00026","EQP00059|EQP00056|EQP00053|EQP00049|EQP00047|EQP00044","EQP00066|EQP00064|EQP00059|EQP00055|EQP00049|EQP00047","EQP00080|EQP00069|EQP00066|EQP00063|EQP00061|EQP00057","EQP00089|EQP00084|EQP00082|EQP00081|EQP00079|EQP00077","EQP00096|EQP00095|EQP00093|EQP00092|EQP00089|EQP00075","EQP00106|EQP00102|EQP00101|EQP00100|EQP00098|EQP00093","七进七出，一身是胆，常山赵子龙是也。","10000"
"10026","张飞碎片","26","2","4|5","MON30080|MON30081","0","通过天梯积分兑换、吕布降临获得","50|100","25000|100000","EQP00009|EQP00006|EQP00005|EQP00004|EQP00002|EQP00001","EQP00018|EQP00016|EQP00014|EQP00013|EQP00011|EQP00008","EQP00032|EQP00028|EQP00026|EQP00025|EQP00016|EQP00010","EQP00044|EQP00043|EQP00039|EQP00038|EQP00032|EQP00026","EQP00058|EQP00057|EQP00053|EQP00049|EQP00048|EQP00045","EQP00067|EQP00064|EQP00058|EQP00055|EQP00049|EQP00044","EQP00079|EQP00069|EQP00064|EQP00058|EQP00057|EQP00056","EQP00090|EQP00084|EQP00081|EQP00081|EQP00079|EQP00075","EQP00096|EQP00095|EQP00093|EQP00090|EQP00086|EQP00082","EQP00115|EQP00103|EQP00100|EQP00096|EQP00095|EQP00093","姐姐又变得更有女人味了呢，哼，我才不学她。","10000"
"10028","关羽碎片","28","2","4|5","MON40077|MON40078","0","通过天梯积分兑换、吕布降临获得","50|100","25000|100000","EQP00009|EQP00007|EQP00006|EQP00005|EQP00004|EQP00001","EQP00017|EQP00016|EQP00014|EQP00013|EQP00010|EQP00007","EQP00032|EQP00029|EQP00027|EQP00024|EQP00022|EQP00019","EQP00047|EQP00044|EQP00042|EQP00038|EQP00035|EQP00032","EQP00061|EQP00059|EQP00056|EQP00052|EQP00048|EQP00045","EQP00065|EQP00062|EQP00059|EQP00056|EQP00055|EQP00052","EQP00082|EQP00070|EQP00069|EQP00065|EQP00060|EQP00057","EQP00090|EQP00086|EQP00084|EQP00078|EQP00075|EQP00080","EQP00099|EQP00096|EQP00093|EQP00090|EQP00086|EQP00082","EQP00107|EQP00102|EQP00101|EQP00099|EQP00095|EQP00093","我的旗袍有点紧呢，是最近又胖了吗？","10000"
"10030","吕布碎片","30","2","4|5","MON10079|MON10080","0","通过吕布降临获得","50|100","25000|100000","EQP00019|EQP00016|EQP00009|EQP00008|EQP00007|EQP00002","EQP00025|EQP00020|EQP00011|EQP00009|EQP00007|EQP00002","EQP00032|EQP00030|EQP00029|EQP00027|EQP00025|EQP00016","EQP00052|EQP00048|EQP00047|EQP00042|EQP00041|EQP00034","EQP00063|EQP00061|EQP00058|EQP00057|EQP00047|EQP00043","EQP00077|EQP00073|EQP00003|EQP00066|EQP00069|EQP00048","EQP00084|EQP00083|EQP00075|EQP00069|EQP00063|EQP00047","EQP00090|EQP00084|EQP00081|EQP00075|EQP00063|EQP00062","EQP00107|EQP00102|EQP00101|EQP00099|EQP00095|EQP00093","EQP00114|EQP00113|EQP00109|EQP00104|EQP00098|EQP00095","制霸中原，这才是男人的梦想。","10000"
