"id","area_id","name","sub_name","sub_disp_name","attribute","lost_block_attribute","integrate_release_condition","next_dungeon_id1","next_dungeon_id2","next_dungeon_id3","next_dungeon_id4","stamina","floor_count","reward_stone_type","reward_stone_free","boss_bgm","guerilla_boss_bgm","daily_limit","sync_id","max_skip_ticket","skip_drop_rate","boss_icon1","boss_icon2","daily_limit","material_drop1","material_drop2","material_drop3","material_drop4","quest1","quest2","quest3"
"ELD00010","ELA00003","3-2 迷茫的王子","","2015/4/2","2","1","","ELD00011","","","","9","3","","","","","","SYD0010","1","33333","MON20054","","3","MOP10002","MTR10186","MTR10259","MTR10187","DSR12001","DSR09001","DSR13003"
"ELD00011","ELA00003","3-3 唤潮者之怒","","2015/4/3","2","1","","ELD00012","","","","9","3","","","","","","SYD0011","1","33333","MON20015","","3","MTR00002","MTR10076","MTR10188","MTR10145","DSR12001","DSR09001","DSR13003"
"ELD00012","ELA00003","3-4 饥饿食人魔","","2015/4/4","2","0","","ELD00013","","","","9","3","","","","","","SYD0012","1","33333","MON20010","","3","MTR00002","MTR10089","MTR10002","MTR10003","DSR12001","DSR09001","DSR13003"
"ELD00013","ELA00003","3-5 极寒领域","","2015/4/5","2","0","","ELD00004","","","","9","3","","","","","","SYD0013","2","25000","MON20060","","3","MOP10010","MTR10004","MTR10005","MTR10189","DSR12001","DSR09001","DSR13003"
"ELD00004","ELA00002","4-1 火焰试炼","","2015/5/1","1","4","","ELD00005","","","","9","3","","","","","","SYD0004","1","33333","MON10002","","3","MTR00003","MTR10190","MTR10191","MTR10192","DSR11001","DSR05001","DSR04002"
"ELD00005","ELA00002","4-2 堕落王子","","2015/5/2","1","4","","ELD00006","","","","9","3","","","","","","SYD0005","1","33333","MON10054","","3","MOP10001","MTR10130","MTR10077","MTR10193","DSR11001","DSR05001","DSR04002"
"ELD00006","ELA00002","4-3 暴怒者来袭","","2015/5/3","1","4","","ELD00007","","","","9","3","","","","","","SYD0006","1","33333","MON10015","","3","MTR00003","MTR10151","MTR10133","MTR10194","DSR11001","DSR05001","DSR04002"
"ELD00007","ELA00002","4-4 兄弟会法师","","2015/5/4","1","0","","ELD00008","","","","9","3","","","","","","SYD0007","1","33333","MON10010","","3","MTR00003","MTR10115","MTR10195","MTR10196","DSR11001","DSR05001","DSR04002"
"ELD00008","ELA00002","4-5 与猎手相遇","","2015/5/5","1","0","","ELD00024","","","","9","3","","","","","","SYD0008","2","25000","MON10060","","3","MOP10009","MTR10197","MTR10065","MTR10198","DSR11002","DSR05002","DSR04002"
"ELD00024","ELA00006","5-1 古怪的要塞","","2015/6/1","1|2|3|4","0","","ELD00025","","","","9","3","","","","","","SYD0024","1","33333","MON30028","MON40028","3","MTR00005","MTR10199","MTR10200","MTR10201","DSR12002","DSR07009","DSR14004"
"ELD00025","ELA00006","5-2 龙人乱舞","","2015/6/2","1|2|3|4","0","","ELD00026","","","","9","3","","","","","","SYD0025","1","33333","MON10015","MON30015","3","MTR00009","MTR10202","MTR10152","MTR10203","DSR12002","DSR07009","DSR14004"
"ELD00026","ELA00006","5-3 秘法交锋","","2015/6/3","1|2|3|4","0","","ELD00027","","","","9","3","","","","","","SYD0026","1","33333","MON10010","MON20010","3","MTR00006","MTR10204","MTR10205","MTR10262","DSR12002","DSR07009","DSR14004"
"ELD00027","ELA00006","5-4 魔法对抗","","2015/6/4","1|2|3|4","0","","ELD00028","","","","9","3","","","","","","SYD0027","1","33333","MON30067","MON40010","3","MOP10025","MTR10206","MTR10121","MTR10044","DSR12002","DSR07009","DSR14004"
"ELD00028","ELA00006","5-5 远古的恐怖","","2015/6/5","1|2|3|4","0","","ELD00044","","","","9","3","","","","","","SYD0028","2","25000","MON30038","","3","MTR00013","MTR10207","MTR10134","MTR10047","DSR12003","DSR07009","DSR14004"
"ELD00044","ELA00010","6-1 无尽的骷髅","","2016/7/1","4","0","","ELD00045","","","","9","3","","","","","","SYD0044","1","33333","MON40010","","3","MTR00001","MTR10055","MTR10007","MTR10008","DSR06002","DSR09002","DSR15002"
"ELD00045","ELA00010","6-2 来到丛林","","2016/7/2","4","0","","ELD00046","","","","9","3","","","","","","SYD0045","1","33333","MON40073","","3","MTR00001","MTR10009","MTR10010","MTR10067","DSR06002","DSR09002","DSR15002"
"ELD00046","ELA00010","6-3 密林看守","","2016/7/3","4","0","","ELD00047","","","","9","3","","","","","","SYD0046","1","33333","MON40028","","3","MTR00001","MTR10079","MTR10208","MTR10209","DSR06002","DSR09002","DSR15002"
"ELD00047","ELA00010","6-4 危机四伏","","2016/7/4","4","0","","ELD00048","","","","9","3","","","","","","SYD0047","1","33333","MON40057","","3","MOP10008","MTR10210","MTR10211","MTR10212","DSR06002","DSR09002","DSR15002"
"ELD00048","ELA00010","6-5 对决熊猫人","","2016/7/5","4","0","","ELD00039","","","","9","3","","","","","","SYD0048","2","25000","MON40064","","3","MOP10012","MTR10078","MTR10131","MTR10046","DSR06003","DSR09003","DSR15003"
"ELD00039","ELA00009","7-1 沙尘暴","","2016/8/1","3","0","","ELD00040","","","","9","3","","","","","","SYD0039","1","33333","MON30010","","3","MTR00004","MTR10213","MTR10146","MTR10214","DSR05002","DSR08002","DSR09009"
"ELD00040","ELA00009","7-2 无声的沙漠","","2016/8/2","3","0","","ELD00041","","","","9","3","","","","","","SYD0040","1","33333","MON30038","","3","MTR00004","MTR10215","MTR10056","MTR10125","DSR05002","DSR08002","DSR09009"
"ELD00041","ELA00009","7-3 看门的傀儡","","2016/8/3","3","0","","ELD00042","","","","9","3","","","","","","SYD0041","1","33333","MON30028","","3","MTR00004","MTR10100","MTR10021","MTR10143","DSR05002","DSR08002","DSR09009"
"ELD00042","ELA00009","7-4 魔法的流沙","","2016/8/4","3","0","","ELD00043","","","","9","3","","","","","","SYD0042","1","33333","MON30067","","3","MOP10011","MTR10216","MTR10158","MTR10091","DSR05002","DSR08002","DSR09009"
"ELD00043","ELA00009","7-5 救世的使命","","2016/8/5","3","0","","ELD00034","","","","9","3","","","","","","SYD0043","2","25000","MON30057","","3","MOP10007","MTR10101","MTR10217","MTR10149","DSR05002","DSR08002","DSR09009"
"ELD00034","ELA00008","8-1 腥臭洞穴","","2016/9/1","2","0","","ELD00035","","","","9","3","","","","","","SYD0034","1","33333","MON20010","","3","MTR00002","MTR10113","MTR10102","MTR10218","DSR11003","DSR14003","DSR04003"
"ELD00035","ELA00008","8-2 无面者","","2016/9/2","2","0","","ELD00036","","","","9","3","","","","","","SYD0035","1","33333","MON20073","","3","MTR00002","MTR10155","MTR10093","MTR10116","DSR11003","DSR14003","DSR04003"
"ELD00036","ELA00008","8-3 无情的傀儡","","2016/9/3","2","0","","ELD00037","","","","9","3","","","","","","SYD0036","1","33333","MON20028","","3","MTR00002","MTR10092","MTR10219","MTR10068","DSR11003","DSR14003","DSR04003"
"ELD00037","ELA00008","8-4 前往深处","","2016/9/4","2","0","","ELD00038","","","","9","3","","","","","","SYD0037","1","33333","MON20054","","3","MOP10002","MTR10069","MTR10220","MTR10006","DSR11003","DSR14003","DSR04003"
"ELD00038","ELA00008","8-5 冰奥的秘密","","2016/9/5","2","0","","ELD00029","","","","9","3","","","","","","SYD0038","2","25000","MON20065","","3","MOP10014","MTR10221","MTR10265","MTR10128","DSR11003","DSR14003","DSR04003"
"ELD00029","ELA00007","9-1 深渊入口","","2016/10/1","1","0","","ELD00030","","","","9","3","","","","","","SYD0029","1","33333","MON10010","","3","MTR00003","MTR10054","MTR10222","MTR10119","DSR12003","DSR09010","DSR13004"
"ELD00030","ELA00007","9-2 移动的火山","","2016/10/2","1","0","","ELD00031","","","","9","3","","","","","","SYD0030","1","33333","MON10073","","3","MTR00003","MTR10223","MTR10140","MTR10224","DSR12003","DSR09010","DSR13004"
"ELD00031","ELA00007","9-3 灼热的熔岩","","2016/10/3","1","0","","ELD00032","","","","9","3","","","","","","SYD0031","1","33333","MON10028","","3","MTR00003","MTR10225","MTR10137","MTR10025","DSR12003","DSR09010","DSR13004"
"ELD00032","ELA00007","9-4 暗影刺客","","2016/10/4","1","0","","ELD00033","","","","9","3","","","","","","SYD0032","1","33333","MON10065","","3","MOP10013","MTR10226","MTR10227","MTR10063","DSR12003","DSR09010","DSR13004"
"ELD00033","ELA00007","9-5 暴君之治","","2016/10/5","1","0","","ELD00049","","","","9","3","","","","","","SYD0033","2","25000","MON10057","","3","MOP10005","MTR10080","MTR10103","MTR10107","DSR12003","DSR09010","DSR13004"
"ELD00049","ELA00011","10-1 战争狂","","2016/11/1","1|2|3|4","0","","ELD00050","","","","9","3","","","","","","SYD0049","1","33333","MON10057","","3","MOP10021","MTR10159","MTR10228","MTR10229","DSR06004","DSR10002","DSR14004"
"ELD00050","ELA00011","10-2 暴风雪","","2016/11/2","1|2|3|4","0","","ELD00051","","","","9","3","","","","","","SYD0050","1","33333","MON20063","","3","MOP10014","MTR10230","MTR10231","MTR10232","DSR06004","DSR10002","DSR14004"
"ELD00051","ELA00011","10-3 元素嘶吼","","2016/11/3","1|2|3|4","0","","ELD00052","","","","9","3","","","","","","SYD0051","1","33333","MON30057","","3","MOP10025","MTR10070","MTR10074","MTR10233","DSR06004","DSR10002","DSR14004"
"ELD00052","ELA00011","10-4 守护秘密","","2016/11/4","1|2|3|4","0","","ELD00053","","","","9","3","","","","","","SYD0052","1","33333","MON40064","","3","MOP10012","MTR10048","MTR10075","MTR10234","DSR06004","DSR10002","DSR14004"
"ELD00053","ELA00011","10-5 大地的暗影","","2016/11/5","1|2|3|4","0","","ELD00069","","","","9","3","","","","","","SYD0053","2","25000","MON30076","","3","MTR00013","MTR10072","MTR10235","MTR10051","DSR06004","DSR10002","DSR14004"
"ELD00069","ELA00015","11-1 自然的审判","","2016/12/1","4","0","","ELD00070","","","","9","3","","","","","","SYD0069","1","33333","MON40073","","3","MTR00001","MTR10084","MTR10049","MTR10236","DSR11004","DSR08001","DSR13004"
"ELD00070","ELA00015","11-2 寂静的森林","","2016/12/2","4","0","","ELD00071","","","","9","3","","","","","","SYD0070","1","33333","MON40028","","3","MTR00001","MTR10081","MTR10085","MTR10096","DSR11004","DSR08001","DSR13004"
"ELD00071","ELA00015","11-3 野兽之心","","2016/12/3","4","0","","ELD00072","","","","9","3","","","","","","SYD0071","1","33333","MON40062","MON40010","3","MOP10016","MTR10050","MTR10237","MTR10034","DSR11004","DSR08001","DSR13004"
"ELD00072","ELA00015","11-4 迷雾深处","","2016/12/4","4","0","","ELD00073","","","","9","3","","","","","","SYD0072","1","33333","MON40060","MON40008","3","MOP10027","MTR10095","MTR10094","MTR10111","DSR11004","DSR08001","DSR13004"
"ELD00073","ELA00015","11-5 面具仪式","","2016/12/5","4","0","","ELD00064","","","","9","3","","","","","","SYD0073","2","25000","MON40055","","3","MOP10004","MTR10114","MTR10238","MTR10239","DSR11004","DSR08001","DSR13004"
"ELD00064","ELA00014","12-1 野兽半神","","2016/1/13","3","0","","ELD00065","","","","9","3","","","","","","SYD0064","1","33333","MON30038","","3","MTR00004","MTR10105","MTR10147","MTR10082","DSR12004","DSR04003","DSR06003"
"ELD00065","ELA00014","12-2 守门人","","2016/2/13","3","0","","ELD00066","","","","9","3","","","","","","SYD0065","1","33333","MON30028","","3","MTR00004","MTR10061","MTR10240","MTR10150","DSR12004","DSR04003","DSR06003"
"ELD00066","ELA00014","12-3 奥术充能","","2016/3/13","3","0","","ELD00067","","","","9","3","","","","","","SYD0066","1","33333","MON30060","MON30010","3","MOP10011","MTR10241","MTR10242","MTR10271","DSR12004","DSR04003","DSR06003"
"ELD00067","ELA00014","12-4 元素结界","","2016/4/13","3","0","","ELD00068","","","","9","3","","","","","","SYD0067","1","33333","MON30058","MON30008","3","MOP10007","MTR10126","MTR10141","MTR10033","DSR12004","DSR04003","DSR06003"
"ELD00068","ELA00014","12-5 光之大法师","","2016/5/13","3","0","","ELD00059","","","","9","3","","","","","","SYD0068","2","25000","MON30055","","3","MOP10003","MTR10086","MTR10083","MTR10156","DSR12004","DSR04003","DSR06003"
"ELD00059","ELA00013","13-1 古神的触须","","2016/1/14","2","0","","ELD00060","","","","9","3","","","","","","SYD0059","1","33333","MON20073","","3","MTR00002","MTR10109","MTR10243","MTR10129","DSR11005","DSR10001","DSR04004"
"ELD00060","ELA00013","13-2 墓地守护者","","2016/2/14","2","0","","ELD00061","","","","9","3","","","","","","SYD0060","1","33333","MON20028","","3","MTR00002","MTR10117","MTR10060","MTR10135","DSR11005","DSR10001","DSR04004"
"ELD00061","ELA00013","13-3 王子的援助","","2016/3/14","2","0","","ELD00062","","","","9","3","","","","","","SYD0061","1","33333","MON20055","MON20010","3","MOP10023","MTR10120","MTR10244","MTR10270","DSR11005","DSR10001","DSR04004"
"ELD00062","ELA00013","13-4 寒风的低语","","2016/4/14","2","0","","ELD00063","","","","9","3","","","","","","SYD0062","1","33333","MON20061","MON20008","3","MOP10010","MTR10058","MTR10097","MTR10245","DSR11005","DSR10001","DSR04004"
"ELD00063","ELA00013","13-5 被遗忘者","","2016/5/14","2","0","","ELD00054","","","","9","3","","","","","","SYD0063","2","25000","MON20058","","3","MOP10006","MTR10122","MTR10057","MTR10059","DSR11005","DSR10001","DSR04004"
"ELD00054","ELA00012","14-1 火焰巨人","","2016/1/15","1","0","","ELD00055","","","","9","3","","","","","","SYD0054","1","33333","MON10073","","3","MTR00003","MTR10071","MTR10073","MTR10246","DSR05003","DSR07008","DSR14006"
"ELD00055","ELA00012","14-2 狂乱傀儡","","2016/2/15","1","0","","ELD00056","","","","9","3","","","","","","SYD0055","1","33333","MON10028","","3","MTR00003","MTR10032","MTR10132","MTR10104","DSR05003","DSR07008","DSR14006"
"ELD00056","ELA00012","14-3 最后的刺客","","2016/3/15","1","0","","ELD00057","","","","9","3","","","","","","SYD0056","1","33333","MON10063","MON10010","3","MOP10013","MTR10247","MTR10108","MTR10248","DSR05003","DSR07008","DSR14006"
"ELD00057","ELA00012","14-4 恐惧的怒吼","","2016/4/15","1","0","","ELD00058","","","","9","3","","","","","","SYD0057","1","33333","MON10058","MON10008","3","MOP10005","MTR10249","MTR10268","MTR10272","DSR05003","DSR07008","DSR14006"
"ELD00058","ELA00012","14-5 极端的信条","","2016/5/15","1","0","","ELD00074","","","","9","3","","","","","","SYD0058","2","25000","MON10061","","3","MOP10021","MTR10062","MTR10153","MTR10098","DSR05003","DSR07008","DSR14006"
"ELD00074","ELA00016","15-1 遗迹古城","","2016/1/16","1|2|3|4","0","","ELD00075","","","","9","3","","","","","","SYD0074","1","33333","MON10028","MON40028","3","MTR00012","MTR10250","MTR10251","MTR10110","DSR12005","DSR10003","DSR13004"
"ELD00075","ELA00016","15-2 深渊监视者","","2016/2/16","1|2|3|4","0","","ELD00076","","","","9","3","","","","","","SYD0075","1","33333","MON10063","MON40010","3","MOP10013","MTR10267","MTR10087","MTR10099","DSR12005","DSR10003","DSR13004"
"ELD00076","ELA00016","15-3 吞噬大地","","2016/3/16","1|2|3|4","0","","ELD00077","","","","9","3","","","","","","SYD0076","1","33333","MON40055","MON20055","3","MOP10027","MTR10252","MTR10144","MTR10106","DSR12005","DSR10003","DSR13004"
"ELD00077","ELA00016","15-4 亡者军团","","2016/4/16","1|2|3|4","0","","ELD00078","","","","9","3","","","","","","SYD0077","1","33333","MON30062","MON20061","3","MOP10015","MTR10138","MTR10253","MTR10254","DSR12005","DSR10003","DSR13004"
"ELD00078","ELA00016","15-5 混乱之治","","2016/5/16","1|2|3|4","0","","END","","","","9","3","","","","","","SYD0078","2","25000","MON10062","MON20064","3","MOP10009","MTR10269","MTR10255","","DSR12005","DSR10003","DSR13004"
