"id","no","for_pic","name","weapon_family","grow_type","limit_grow_type","rarity","attribute","sold_price","exp","limit_exp","attack_grow_type","limit_attack_grow_type","defense_grow_type","limit_defense_grow_type","max_level","max_limit","chain_skill_id","chain_skill_max_level","chain_skill_animation","chain_skill_effect_sac_id","chain_skill_effect_plist_id","chain_skill_effect_ccb_id","active_skill_id","active_skill_max_level","active_skill_animation","active_skill_effect_sac_id","active_skill_effect_plist_id","active_skill_effect_ccb_id","accuracy","critical","default_attack","max_attack","limit_max_attack","default_defense","max_defense","limit_max_defense","chain_level","evolution","coming_soon","hash"
"WPN25003","10010","WPN25003","本能之柱","5","800","0","5","2","null","null","null","2","null","0","0","90","null","CSK00229","40","SKA00005","SKE25003","SKE25003","","ASK00231","40","SKA00005","SKE25003","SKE25003","","100000","3000","500.16","1235.85","0","0","0","0","3","","",""
"WPN31001","10011","WPN31001","雷霆之锋","1","800","0","3","3","null","null","null","2","null","0","0","90","null","CSK00169","40","SKA00010","SKE31001","SKE31001","","ASK00169","40","SKA00010","SKE31001","SKE31001","","100000","3000","189.14","475.08","0","0","0","0","2","","",""
"WPN31002","10011","WPN31002","雷霆之锋","1","800","0","4","3","null","null","null","2","null","0","0","90","null","CSK00169","40","SKA00010","SKE31002","SKE31002","","ASK00170","40","SKA00010","SKE31002","SKE31002","","100000","3000","248.46","678.16","0","0","0","0","2","","",""
"WPN31003","10011","WPN31003","雷霆之锋","1","800","0","5","3","null","null","null","2","null","0","0","90","null","CSK00169","40","SKA00003","SKE31003","SKE31003","","ASK00171","40","SKA00003","SKE31003","SKE31003","","100000","3000","446.2","1315.6","0","0","0","0","3","","",""
"WPN32001","10012","WPN32001","窃取者","2","800","0","3","3","null","null","null","2","null","0","0","90","null","CSK00185","40","SKA00004","SKE32001","SKE32001","","ASK00185","40","SKA00004","SKE32001","SKE32001","","100000","3000","245.44","547.77","0","0","0","0","2","","",""
"WPN32002","10012","WPN32002","窃取者","2","800","0","4","3","null","null","null","2","null","0","0","90","null","CSK00185","40","SKA00004","SKE32002","SKE32002","","ASK00186","40","SKA00004","SKE32002","SKE32002","","100000","3000","332.77","803.92","0","0","0","0","2","","",""
"WPN32003","10012","WPN32003","窃取者","2","800","0","5","3","null","null","null","2","null","0","0","90","null","CSK00185","40","SKA00004","SKE39013","SKE32003","","ASK00187","40","SKA00004","SKE39013","SKE32003","","100000","3000","523.23","1311.72","0","0","0","0","3","","",""
"WPN33001","10013","WPN33001","暗影碎片","3","800","0","3","3","null","null","null","2","null","0","0","90","null","CSK00201","40","SKA00002","SKE33001","SKE33001","","ASK00201","40","SKA00002","SKE33001","SKE33001","","100000","3000","148.41","367.35","0","0","0","0","2","","",""
"WPN33002","10013","WPN33002","暗影碎片","3","800","0","4","3","null","null","null","2","null","0","0","90","null","CSK00201","40","SKA00002","SKE33002","SKE33002","","ASK00202","40","SKA00002","SKE33002","SKE33002","","100000","3000","174.44","559.54","0","0","0","0","2","","",""
"WPN33003","10013","WPN33003","暗影碎片","3","800","0","5","3","null","null","null","2","null","0","0","90","null","CSK00201","40","SKA00002","SKE33003","","","ASK00203","40","SKA00002","SKE33003","","","100000","3000","457.78","967.84","0","0","0","0","3","","",""
"WPN34001","10014","WPN34001","灵弦长弓","4","800","0","3","3","null","null","null","2","null","0","0","90","null","CSK00217","40","SKA00005","SKE34001","SKE34001","","ASK00217","40","SKA00005","SKE34001","SKE34001","","100000","3000","100.7","291.97","0","0","0","0","2","","",""
"WPN34002","10014","WPN34002","灵弦长弓","4","800","0","4","3","null","null","null","2","null","0","0","90","null","CSK00217","40","SKA00005","SKE34002","SKE34002","","ASK00218","40","SKA00005","SKE34002","SKE34002","","100000","3000","132.86","518.4","0","0","0","0","2","","",""
"WPN34003","10014","WPN34003","灵弦长弓","4","800","0","5","3","null","null","null","2","null","0","0","90","null","CSK00217","40","SKA00005","SKE34003","SKE32006","","ASK00219","40","SKA00005","SKE34003","SKE32006","","100000","3000","462.48","1147.51","0","0","0","0","3","","",""
"WPN35001","10015","WPN35001","搜魂者","5","800","0","3","3","null","null","null","2","null","0","0","90","null","CSK00233","40","SKA00005","SKE35001","SKE35001","","ASK00233","40","SKA00005","SKE35001","SKE35001","","100000","3000","170.64","319.26","0","0","0","0","2","","",""
"WPN35002","10015","WPN35002","搜魂者","5","800","0","4","3","null","null","null","2","null","0","0","90","null","CSK00233","40","SKA00005","SKE35002","SKE35002","","ASK00234","40","SKA00005","SKE35002","SKE35002","","100000","3000","211.86","576.72","0","0","0","0","2","","",""
"WPN35003","10015","WPN35003","搜魂者","5","800","0","5","3","null","null","null","2","null","0","0","90","null","CSK00233","40","SKA00005","SKE39013","SKE32003","","ASK00235","40","SKA00005","SKE39013","SKE32003","","100000","3000","552.26","1200.54","0","0","0","0","3","","",""
"WPN41001","10016","WPN41001","时空利刃","1","800","0","3","4","null","null","null","2","null","0","0","90","null","CSK00173","40","SKA00003","SKE41015","SKE41001","","ASK00174","40","SKA00003","SKE41001","SKE41001","","100000","3000","208.44","404.04","0","0","0","0","2","","",""
"WPN41002","10016","WPN41002","时空利刃","1","800","0","4","4","null","null","null","2","null","0","0","90","null","CSK00173","40","SKA00003","SKE41017","SKE41002","","ASK00174","40","SKA00003","SKE41002","SKE41002","","100000","3000","243.54","636.64","0","0","0","0","2","","",""
"WPN41003","10016","WPN41003","时空利刃","1","800","0","5","4","null","null","null","2","null","0","0","90","null","CSK00173","40","SKA00003","SKE41003","SKE41003","","ASK00175","40","SKA00003","SKE41003","SKE41003","","100000","3000","470.45","1214.4","0","0","0","0","3","","",""
"WPN42001","10017","WPN42001","月牙符文斧","2","800","0","3","4","null","null","null","2","null","0","0","90","null","CSK00189","40","SKA00004","SKE42001","SKE42001","","ASK00189","40","SKA00004","SKE42001","SKE42001","","100000","3000","257.24","636.12","0","0","0","0","2","","",""
"WPN42002","10017","WPN42002","月牙符文斧","2","800","0","4","4","null","null","null","2","null","0","0","90","null","CSK00189","40","SKA00004","SKE42002","SKE45002","","ASK00190","40","SKA00004","SKE42002","SKE42002","","100000","3000","329.66","842.57","0","0","0","0","2","","",""
"WPN42003","10017","WPN42003","月牙符文斧","2","800","0","5","4","null","null","null","2","null","0","0","90","null","CSK00189","40","SKA00004","SKE42003","SKE42003","","ASK00191","40","SKA00004","SKE42003","SKE42003","","100000","3000","533.01","1234.56","0","0","0","0","3","","",""
"WPN43001","10018","WPN43001","染血毒牙","3","800","0","3","4","null","null","null","2","null","0","0","90","null","CSK00205","40","SKA00002","SKE43001","SKE43001","","ASK00205","40","SKA00002","SKE43001","SKE43001","","100000","3000","156.06","387.1","0","0","0","0","2","","",""
"WPN43002","10018","WPN43002","染血毒牙","3","800","0","4","4","null","null","null","2","null","0","0","90","null","CSK00205","40","SKA00002","SKE43002","SKE43002","","ASK00206","40","SKA00002","SKE43002","SKE43002","","100000","3000","194.02","537.38","0","0","0","0","2","","",""
"WPN43003","10018","WPN43003","染血毒牙","3","800","0","5","4","null","null","null","2","null","0","0","90","null","CSK00205","40","SKA00002","SKE43003","SKE43003","","ASK00207","40","SKA00002","SKE43003","SKE43003","","100000","3000","511.35","988.88","0","0","0","0","3","","",""
"WPN44001","10019","WPN44001","剧毒之刺","4","800","0","3","4","null","null","null","2","null","0","0","90","null","CSK00221","40","SKA00005","SKE44001","SKE44001","","ASK00221","40","SKA00005","SKE44001","SKE44001","","100000","3000","112.36","294.98","0","0","0","0","2","","",""
"WPN44002","10019","WPN44002","剧毒之刺","4","800","0","4","4","null","null","null","2","null","0","0","90","null","CSK00221","40","SKA00005","SKE44002","SKE44002","","ASK00222","40","SKA00005","SKE44002","SKE44002","","100000","3000","140.16","572.4","0","0","0","0","2","","",""
"WPN44003","10019","WPN44003","剧毒之刺","4","800","0","5","4","null","null","null","2","null","0","0","90","null","CSK00221","40","SKA00005","SKE44003","SKE44003","","ASK00223","40","SKA00005","SKE44003","SKE44003","","100000","3000","467.4","1064.7","0","0","0","0","3","","",""
"WPN45001","10020","WPN45001","暮光之塔","5","800","0","3","4","null","null","null","2","null","0","0","90","null","CSK00237","40","SKA00005","SKE45001","SKE45001","","ASK00237","40","SKA00005","SKE45001","SKE45001","","100000","3000","148.52","316.13","0","0","0","0","2","","",""
"WPN45002","10020","WPN45002","暮光之塔","5","800","0","4","4","null","null","null","2","null","0","0","90","null","CSK00237","40","SKA00005","SKE45002","SKE45002","","ASK00238","40","SKA00005","SKE45002","SKE45002","","100000","3000","201.16","555.36","0","0","0","0","2","","",""
"WPN45003","10020","WPN45003","暮光之塔","5","800","0","5","4","null","null","null","2","null","0","0","90","null","CSK00237","40","SKA00005","SKE45003","SKE45003","","ASK00239","40","SKA00005","SKE45003","SKE45003","","100000","3000","526.21","1235.85","0","0","0","0","3","","",""
"WPN14004","10021","WPN14004","火凤之弓","4","800","0","4","1","null","null","null","2","null","0","0","90","null","CSK00209","40","SKA00005","SKE14017","SKE14017","","ASK00211","40","SKA00005","SKE14017","SKE14017","","100000","3000","222.56","550.02","0","0","0","0","2","","",""
"WPN14005","10021","WPN14005","火凤之弓","4","800","0","5","1","null","null","null","2","null","0","0","90","null","CSK00209","40","SKA00005","SKE14018","SKE14018","","ASK00212","40","SKA00005","SKE14018","SKE14018","","100000","3000","515.79","1188.77","0","0","0","0","3","","",""
"WPN21004","10022","WPN21004","青龙利刃","1","800","0","4","2","null","null","null","2","null","0","0","90","null","CSK00165","40","SKA00003","SKE21019","SKE21019","","ASK00167","40","SKA00003","SKE21019","SKE21019","","100000","3000","205.44","582.06","0","0","0","0","2","","",""
"WPN21005","10022","WPN21005","青龙利刃","1","800","0","5","2","null","null","null","2","null","0","0","90","null","CSK00165","40","SKA00003","SKE21020","SKE21020","","ASK00168","40","SKA00003","SKE21020","SKE21020","","100000","3000","479.32","1224.08","0","0","0","0","3","","",""
"WPN33004","10023","WPN33004","白虎之咬","3","800","0","4","3","null","null","null","2","null","0","0","90","null","CSK00201","40","SKA00002","SKE33022","SKE33022","","ASK00203","40","SKA00002","SKE33022","SKE33022","","100000","3000","203.3","480.6","0","0","0","0","2","","",""
"WPN33005","10023","WPN33005","白虎之咬","3","800","0","5","3","null","null","null","2","null","0","0","90","null","CSK00201","40","SKA00002","SKE33023","SKE33023","","ASK00204","40","SKA00002","SKE33023","SKE33023","","100000","3000","536.63","1106.38","0","0","0","0","3","","",""
"WPN42004","10024","WPN42004","玄龟钝斧","2","800","0","4","4","null","null","null","2","null","0","0","90","null","CSK00189","40","SKA00004","SKE42018","","","ASK00191","40","SKA00004","SKE42018","SKE42018","","100000","3000","203.3","555.36","0","0","0","0","2","","",""
"WPN42005","10024","WPN42005","玄龟钝斧","2","800","0","5","4","null","null","null","2","null","0","0","90","null","CSK00189","40","SKA00004","SKE42019","SKE42019","","ASK00192","40","SKA00004","SKE42019","SKE42019","","100000","3000","484.53","1271.16","0","0","0","0","3","","",""
