"material_no","type","sort_id","name","rarity","transition1","transition2","transition3","transition4","transition5","transition6","compose_equipment1","compose_equipment2","compose_equipment3","compose_equipment4","compose_equipment5","compose_equipment6","description","price"
"MTR10062","1","86","奇异陨石矿","4","ELD00058","","","","","","EQP00105","EQP00114","","","","","","1000"
"MTR10063","1","87","燃铁矿石","3","NMD00068","ELD00032","","","","","EQP00087","EQP00088","EQP00089","EQP00090","EQP00091","","","5800"
"MTR10064","1","88","破烂的皮革","2","NMD00020","","","","","","EQP00007","EQP00010","","","","","","1000"
"MTR10065","1","89","轻皮","1","NMD00034","ELD00008","SPD00008","","","","EQP00056","EQP00060","","","","","","1000"
"MTR10066","1","90","中皮","2","NMD00044","ELD00018","","","","","EQP00029","EQP00061","","","","","","700"
"MTR10067","1","91","重皮","3","NMD00031","ELD00045","","","","","EQP00072","","","","","","","2000"
"MTR10068","1","92","魔鳞","2","NMD00072","ELD00036","","","","","EQP00071","EQP00073","EQP00085","","","","","250"
"MTR10069","1","93","蝎壳","2","NMD00072","ELD00037","","","","","EQP00069","EQP00070","EQP00085","","","","","4250"
"MTR10070","1","94","厚裂蹄牛皮","4","NMD00061","ELD00051","","","","","EQP00092","","","","","","","4500"
"MTR10071","1","95","冰虫鳞片","4","ELD00054","","","","","","EQP00105","","","","","","","3050"
"MTR10072","1","96","极地毛皮","4","NMD00063","ELD00053","","","","","EQP00094","","","","","","","2400"
"MTR10073","1","97","深海鳞片","4","ELD00054","","","","","","EQP00105","","","","","","","2700"
"MTR10074","1","98","染煞毛皮","4","NMD00062","ELD00051","","","","","EQP00092","","","","","","","1000"
"MTR10075","1","99","强化华丽毛皮","4","NMD00063","ELD00052","SPD00012","","","","EQP00093","","","","","","","1000"
"MTR10076","1","100","孔雀石","2","NMD00046","ELD00011","","","","","EQP00048","","","","","","","2300"
"MTR10077","1","101","虎眼石","2","NMD00041","ELD00005","","","","","EQP00053","","","","","","","2300"
"MTR10078","1","102","厚重的黄宝石","2","NMD00033","ELD00048","","","","","EQP00072","EQP00074","","","","","","4450"
"MTR10079","1","103","皇紫晶","3","NMD00031","ELD00046","","","","","EQP00068","","","","","","","2150"
"MTR10080","1","104","翡翠","3","NMD00068","ELD00033","","","","","EQP00089","EQP00091","","","","","","5900"
"MTR10081","1","105","钻石","3","NMD00055","ELD00070","","","","","EQP00091","EQP00101","","","","","","6000"
"MTR10082","1","106","地狱火珠宝","4","NMD00075","ELD00064","","","","","EQP00095","EQP00104","","","","","","12000"
"MTR10083","1","107","乌鸦神之眼","4","ELD00068","","","","","","EQP00100","EQP00102","","","","","","9700"
"MTR10084","1","108","精致蛟眼石","3","NMD00054","ELD00069","","","","","EQP00090","EQP00098","","","","","","7250"
"MTR10085","1","109","纯洁紫晶石","3","NMD00056","ELD00070","","","","","EQP00088","EQP00101","","","","","","6250"
"MTR10086","1","110","塔拉迪水晶","3","NMD00078","ELD00068","","","","","EQP00096","EQP00106","","","","","","7150"
"MTR10087","1","111","源钻","4","ELD00075","","","","","","EQP00111","","","","","","","1000"
"MTR10088","1","112","保险丝","2","NMD00014","","","","","","EQP00013","","","","","","","1000"
"MTR10089","1","113","秘制炸药粉","1","NMD00047","ELD00012","","","","","EQP00043","EQP00058","","","","","","150"
"MTR10090","1","114","弹簧齿轮","2","NMD00011","","","","","","EQP00026","EQP00036","","","","","","800"
"MTR10091","1","115","精密触发器","2","NMD00053","ELD00042","","","","","EQP00003","EQP00066","EQP00082","","","","","4250"
"MTR10092","1","116","黑曜石螺栓","2","NMD00071","ELD00036","","","","","EQP00003","EQP00082","","","","","","5350"
"MTR10093","1","117","瑟银管","2","NMD00071","ELD00035","","","","","EQP00003","EQP00081","","","","","","5350"
"MTR10094","1","118","爆炸触发器","3","NMD00058","ELD00072","","","","","EQP00092","EQP00103","","","","","","7350"
"MTR10095","1","119","魔钢稳定器","4","NMD00057","ELD00072","","","","","EQP00094","EQP00099","","","","","","8000"
"MTR10096","1","120","精金框架","3","NMD00056","ELD00070","","","","","EQP00092","EQP00099","","","","","","5850"
"MTR10097","1","121","霜钢管","3","ELD00062","","","","","","EQP00096","EQP00114","","","","","","6900"
"MTR10098","1","122","特制能量源","4","ELD00058","","","","","","EQP00109","","","","","","","1000"
"MTR10099","1","123","电化以太","4","ELD00075","","","","","","EQP00111","","","","","","","1000"
"MTR10100","1","124","小块微光碎片","2","NMD00051","ELD00041","","","","","EQP00071","EQP00078","","","","","","4250"
"MTR10101","1","125","次级宇宙精华","3","NMD00053","ELD00043","SPD00008","","","","EQP00076","","","","","","","1000"
"MTR10102","1","126","次级星界精华","3","NMD00070","ELD00034","","","","","EQP00077","","","","","","","2050"
"MTR10103","1","127","小块辉光碎片","4","NMD00059","ELD00033","","","","","EQP00088","","","","","","","8550"
"MTR10104","1","128","催眠之尘","4","ELD00055","","","","","","EQP00106","","","","","","","2750"
"MTR10105","1","129","大块微光碎片","4","NMD00074","ELD00064","SPD00012","","","","EQP00087","EQP00108","","","","","","1000"
"MTR10106","1","130","强效虚空精华","4","ELD00076","","","","","","EQP00112","","","","","","","1000"
"MTR10107","1","131","强效天界精华","3","NMD00059","ELD00033","","","","","EQP00089","EQP00090","","","","","","7000"
"MTR10108","1","132","巫术之水","4","ELD00056","","","","","","EQP00104","EQP00111","","","","","","1000"
"MTR10109","1","133","强效位面精华","3","ELD00059","","","","","","EQP00101","EQP00103","","","","","","1000"
"MTR10110","1","134","强效神秘精华","4","ELD00074","","","","","","EQP00108","EQP00112","","","","","","2800"
"MTR10111","1","135","缥缈碎片","4","NMD00058","ELD00072","","","","","EQP00097","","","","","","","11000"
"MTR10112","1","136","翠绿魔珠","2","NMD00012","","","","","","EQP00022","EQP00040","","","","","","1000"
"MTR10113","1","137","太阳肩甲碎块","3","NMD00069","ELD00034","","","","","EQP00066","EQP00067","EQP00084","","","","","1100"
"MTR10114","1","138","太阳披风","4","NMD00058","ELD00073","","","","","EQP00097","","","","","","","13500"
"MTR10115","1","139","圣光祷言残页","2","NMD00042","ELD00007","","","","","EQP00055","","","","","","","1000"
"MTR10116","1","140","皇家召令","3","NMD00071","ELD00035","","","","","EQP00076","EQP00077","EQP00079","","","","","1000"
"MTR10117","1","141","圣光凝聚核心","4","ELD00060","","","","","","EQP00094","EQP00115","","","","","","2350"
"MTR10118","1","142","盔翼的碎片","2","NMD00006","ELD00020","","","","","EQP00021","EQP00048","","","","","","1000"
"MTR10119","1","143","破碎圣契","3","NMD00065","ELD00029","","","","","EQP00079","EQP00084","","","","","","1850"
"MTR10120","1","144","救赎之手碎片","4","ELD00061","","","","","","EQP00098","EQP00108","","","","","","1000"
"MTR10121","1","145","巫医肩甲残片","3","NMD00038","ELD00027","","","","","EQP00066","EQP00069","","","","","","1950"
"MTR10122","1","146","破碎法杖零件","4","ELD00063","","","","","","EQP00097","EQP00115","","","","","","1000"
"MTR10123","1","147","巫医的獠牙","2","NMD00007","ELD00021","","","","","EQP00030","EQP00042","","","","","","1550"
"MTR10124","1","148","獠牙左肩甲","2","NMD00044","ELD00018","SPD00007","","","","EQP00034","EQP00051","EQP00059","","","","","1000"
"MTR10125","1","149","咆哮战斧碎片","2","NMD00051","ELD00040","","","","","EQP00063","EQP00074","EQP00081","","","","","300"
"MTR10126","1","150","脑残吼腰带扣","4","NMD00077","ELD00067","SPD00009","","","","EQP00089","EQP00114","","","","","","1000"
"MTR10127","1","151","坏掉的音乐盒","2","NMD00027","ELD00016","","","","","EQP00031","EQP00056","","","","","","650"
"MTR10128","1","152","被遗忘者图章","3","NMD00064","ELD00038","SPD00011","","","","EQP00075","EQP00086","","","","","","1000"
"MTR10129","1","153","破碎游侠指环","4","ELD00059","","","","","","EQP00102","EQP00103","","","","","","11500"
"MTR10130","1","154","酋长的衬肩","2","NMD00040","ELD00005","","","","","EQP00052","EQP00054","","","","","","1250"
"MTR10131","1","155","部落徽记","3","NMD00049","ELD00048","","","","","EQP00069","EQP00074","","","","","","950"
"MTR10132","1","156","散落的念珠","4","ELD00055","","","","","","EQP00104","EQP00110","","","","","","11000"
"MTR10133","1","157","风干的香蕉","2","NMD00042","ELD00006","","","","","EQP00045","EQP00060","","","","","","1450"
"MTR10134","1","158","月纹盔甲残片","3","NMD00029","ELD00028","","","","","EQP00062","EQP00076","","","","","","1950"
"MTR10135","1","159","铁羽长弓零件","3","ELD00060","","","","","","EQP00096","EQP00103","EQP00111","","","","","6450"
"MTR10136","1","160","邪能术士碎骨","2","NMD00045","ELD00009","","","","","EQP00033","EQP00061","","","","","","2300"
"MTR10137","1","161","破损的眼罩","3","NMD00067","ELD00031","","","","","EQP00083","EQP00086","","","","","","4150"
"MTR10138","1","162","背叛者的断角","4","ELD00077","","","","","","EQP00112","","","","","","","1000"
"MTR10139","1","163","女妖之血","2","NMD00024","ELD00014","","","","","EQP00029","EQP00050","","","","","","1500"
"MTR10140","1","164","骷髅腰带","3","NMD00066","ELD00030","SPD00008","","","","EQP00080","EQP00086","","","","","","1000"
"MTR10141","1","165","影霜碎片","4","NMD00078","ELD00067","SPD00012","","","","EQP00088","EQP00114","","","","","","1000"
"MTR10142","1","166","光法的银币","2","NMD00009","","","","","","EQP00021","EQP00028","","","","","","1000"
"MTR10143","1","167","光法法帽","3","NMD00052","ELD00041","","","","","EQP00075","","","","","","","2250"
"MTR10144","1","168","圣杖源木","4","ELD00076","","","","","","EQP00110","EQP00115","","","","","","1000"
"MTR10145","1","169","酒桶塞","2","NMD00047","ELD00011","","","","","EQP00043","EQP00057","","","","","","1550"
"MTR10146","1","170","熊猫酒壶","2","NMD00050","ELD00039","","","","","EQP00064","EQP00078","","","","","","300"
"MTR10147","1","171","醉酒佳酿","4","NMD00075","ELD00064","SPD00009","","","","EQP00087","EQP00110","","","","","","1000"
"MTR10148","1","172","刺客肩甲碎片","2","NMD00027","ELD00017","","","","","EQP00032","EQP00057","","","","","","1600"
"MTR10149","1","173","刺客手套","3","NMD00069","ELD00043","","","","","EQP00064","EQP00084","","","","","","1600"
"MTR10150","1","174","刺客之刃","4","NMD00076","ELD00065","","","","","EQP00090","EQP00113","","","","","","2500"
"MTR10151","1","175","单边奥秘衬肩","2","NMD00041","ELD00006","","","","","EQP00049","EQP00055","","","","","","1000"
"MTR10152","1","176","奥术法裙","3","NMD00036","ELD00025","","","","","EQP00062","EQP00064","","","","","","2500"
"MTR10153","1","177","幻影法杖","4","ELD00058","","","","","","EQP00105","EQP00115","","","","","","3050"
"MTR10154","1","178","骷髅王开裂肩铠","2","NMD00026","ELD00015","SPD00007","","","","EQP00034","EQP00053","","","","","","1000"
"MTR10155","1","179","破损王冠","3","NMD00070","ELD00035","","","","","EQP00073","EQP00082","","","","","","400"
"MTR10156","1","180","幽怨核心","4","ELD00068","","","","","","EQP00093","EQP00113","","","","","","2400"
"MTR10157","1","181","战熊的锐爪","2","NMD00028","ELD00017","SPD00010","","","","EQP00041","EQP00047","","","","","","1000"
"MTR10158","1","182","残缺符文斧","3","NMD00053","ELD00042","","","","","EQP00063","EQP00065","EQP00083","","","","","1050"
"MTR10159","1","183","兽王面罩","4","NMD00059","ELD00049","","","","","EQP00091","","","","","","","1000"
"MTR10160","1","184","巨风卷轴","2","NMD00016","","","","","","EQP00020","","","","","","","1000"
"MTR10161","1","185","光环石锤卷轴","2","NMD00016","","","","","","EQP00021","","","","","","","1000"
"MTR10162","1","186","能量宝珠卷轴","2","NMD00017","","","","","","EQP00022","","","","","","","1000"
"MTR10163","1","187","迅捷动力腿卷轴","2","NMD00017","","","","","","EQP00023","","","","","","","1000"
"MTR10164","1","188","智能动力腿卷轴","2","NMD00018","","","","","","EQP00024","","","","","","","1000"
"MTR10165","1","189","装甲动力腿卷轴","2","NMD00018","","","","","","EQP00025","","","","","","","1000"
"MTR10166","1","190","船长瞄准镜卷轴","2","NMD00009","","","","","","EQP00026","","","","","","","1000"
"MTR10167","1","191","巨人腰带卷轴","2","NMD00010","","","","","","EQP00027","","","","","","","1600"
"MTR10168","1","192","星月法杖卷轴","2","NMD00010","","","","","","EQP00028","","","","","","","1000"
"MTR10169","1","193","银鳞胸甲卷轴","2","NMD00011","","","","","","EQP00029","","","","","","","1000"
"MTR10170","1","194","斩骨剑卷轴","2","NMD00011","","","","","","EQP00030","","","","","","","1000"
"MTR10171","1","195","惩戒之力卷轴","2","NMD00012","SPD00007","","","","","EQP00031","","","","","","","1000"
"MTR10172","1","196","混乱之力卷轴","2","NMD00013","SPD00007","","","","","EQP00032","","","","","","","1000"
"MTR10173","1","197","时光之力卷轴","2","NMD00013","SPD00007","","","","","EQP00033","","","","","","","1000"
"MTR10174","1","198","先锋盾卷轴","2","NMD00013","","","","","","EQP00034","","","","","","","2300"
"MTR10175","1","199","巫毒图腾卷轴","2","NMD00004","ELD00019","","","","","EQP00035","","","","","","","2300"
"MTR10176","1","200","地精炸弹卷轴","2","NMD00005","ELD00019","","","","","EQP00036","","","","","","","2300"
"MTR10177","1","201","干净的礼服卷轴","2","NMD00006","ELD00021","","","","","EQP00037","","","","","","","2300"
"MTR10178","1","202","冥界指环卷轴","2","NMD00008","ELD00022","","","","","EQP00038","","","","","","","2300"
"MTR10179","1","203","库里法杖卷轴","2","NMD00008","ELD00022","","","","","EQP00039","","","","","","","2300"
"MTR10180","1","204","能量核心卷轴","2","NMD00024","ELD00023","","","","","EQP00040","","","","","","","1000"
"MTR10181","1","205","酒吧凶器卷轴","2","NMD00025","ELD00014","","","","","EQP00041","","","","","","","1000"
"MTR10182","1","206","催眠之刃卷轴","2","NMD00026","ELD00015","SPD00010","","","","EQP00042","","","","","","","1000"
"MTR10183","1","207","自动火炮卷轴","2","NMD00026","ELD00016","","","","","EQP00043","","","","","","","1000"
"MTR10184","1","208","飞行鞋卷轴","2","NMD00028","ELD00017","","","","","EQP00044","","","","","","","1000"
"MTR10185","1","209","观察者之盾卷轴","2","NMD00045","ELD00009","","","","","EQP00045","","","","","","","1000"
"MTR10186","1","210","恶魔长袍卷轴","2","NMD00045","ELD00010","","","","","EQP00046","","","","","","","1000"
"MTR10187","1","211","利齿项圈卷轴","2","NMD00046","ELD00010","","","","","EQP00047","","","","","","","1000"
"MTR10188","1","212","真银圣剑卷轴","2","NMD00047","ELD00011","","","","","EQP00048","","","","","","","1000"
"MTR10189","1","213","蓝龙套牌卷轴","2","NMD00039","ELD00013","","","","","EQP00049","","","","","","","1000"
"MTR10190","1","214","虚空套牌卷轴","2","NMD00039","ELD00004","","","","","EQP00050","","","","","","","1000"
"MTR10191","1","215","漩涡套牌卷轴","2","NMD00040","ELD00004","","","","","EQP00051","","","","","","","1000"
"MTR10192","1","216","英雄套牌卷轴","2","NMD00040","ELD00004","","","","","EQP00052","","","","","","","1000"
"MTR10193","1","217","金鳞胸甲卷轴","2","NMD00041","ELD00005","SPD00008","","","","EQP00053","","","","","","","1000"
"MTR10194","1","218","正义之手卷轴","2","NMD00042","ELD00006","SPD00011","","","","EQP00054","","","","","","","1000"
"MTR10195","1","219","奥术秘典卷轴","2","NMD00043","ELD00007","","","","","EQP00055","","","","","","","1550"
"MTR10196","1","220","抗辐射装置卷轴","2","NMD00043","ELD00007","","","","","EQP00056","","","","","","","1300"
"MTR10197","1","221","波纹剑卷轴","2","NMD00043","ELD00008","","","","","EQP00057","","","","","","","2500"
"MTR10198","1","222","毁灭项链卷轴","2","NMD00034","ELD00008","","","","","EQP00058","","","","","","","1650"
"MTR10199","1","223","灼热龙人盾卷轴","2","NMD00034","ELD00024","","","","","EQP00059","","","","","","","1700"
"MTR10200","1","224","世界缩小器卷轴","2","NMD00035","ELD00024","","","","","EQP00060","","","","","","","2500"
"MTR10201","1","225","黑手印记卷轴","2","NMD00035","ELD00024","","","","","EQP00061","","","","","","","1750"
"MTR10202","1","226","救世之环卷轴","3","NMD00035","ELD00025","","","","","EQP00062","","","","","","","1200"
"MTR10203","1","227","奥金斧卷轴","3","NMD00036","ELD00025","","","","","EQP00063","","","","","","","1750"
"MTR10204","1","228","三一护符卷轴","3","NMD00036","ELD00026","","","","","EQP00064","","","","","","","1200"
"MTR10205","1","229","寡妇制造者卷轴","3","NMD00037","ELD00026","","","","","EQP00065","","","","","","","3000"
"MTR10206","1","230","无敌腰带卷轴","3","NMD00037","ELD00027","","","","","EQP00066","","","","","","","400"
"MTR10207","1","231","月布长袍卷轴","3","NMD00038","ELD00028","","","","","EQP00067","","","","","","","1100"
"MTR10208","1","232","白虎之怒卷轴","3","NMD00032","ELD00046","","","","","EQP00068","","","","","","","1200"
"MTR10209","1","233","巨魔的裁决卷轴","3","NMD00032","ELD00046","","","","","EQP00069","","","","","","","3500"
"MTR10210","1","234","青龙之息卷轴","3","NMD00032","ELD00047","","","","","EQP00070","","","","","","","600"
"MTR10211","1","235","玄武之韧卷轴","3","NMD00033","ELD00047","","","","","EQP00071","","","","","","","600"
"MTR10212","1","236","朱雀之仁卷轴","3","NMD00033","ELD00047","","","","","EQP00072","","","","","","","600"
