"id","name","image_name","text","text_1","default_text","levelup_text","attribute","invoke_chain","level_up_reduction","type","positive_state","negative_state","multiplier","point","percent","absorptance","range","turn","blow_off_distance","hp_attack_percent","hp_down_percent","type_attribute","type_attribute_multiplier","effect_point","multi_attack","max_level","skill_value"
"ASK00817","万兽奔腾","SIM00028","对全楼层(63格)造成森属性的大量伤害，高机率降低防御力。","对全楼层(63格)造成森属性###点伤害，高机率降低防御力。","6000","13.3333333","4","180","4","SKT00004","0","11","0","12000","60000","0","1","3","0","0","0","0","0","50000","1","90","15"
"ASK00836","血性狂暴","SIM00034","对纵向3列的敌人造成森属性的大量伤害并击退。","对纵向3列的敌人造成森属性###点伤害并击退。","6000","13.3333333","4","150","3","SKT00014","0","0","0","12000","0","0","2","0","8","0","0","0","0","0","1","90","15"
"ASK00842","惟贤惟德","SIM00026","对菱形范围(12格)内的敌人造成火属性的大量伤害，中几率降低攻击力。","对菱形范围(12格)内的敌人造成火属性###点伤害，中几率降低攻击力。","6000","13.3333333","1","150","2","SKT00016","0","3","0","12000","40000","0","2","3","0","0","0","0","0","0","1","90","15"
"ASK00848","龙胆突击","SIM00018","对十字范围(16格)内的敌人造成水属性的大量伤害，高机率降低防御力。","对十字范围(16格)内的敌人造成水属性###点伤害，高机率降低防御力。","6000","13.3333333","2","150","4","SKT00001","0","11","0","12000","60000","0","4","3","0","0","0","0","0","50000","1","90","15"
"ASK00850","光之冲击","SIM00028","对全楼层(63格)造成雷属性的大量伤害并回复伤害量10%的生命。","对全楼层(63格)造成雷属性###点伤害并回复伤害量10%的生命。","6000","13.3333333","3","180","3","SKT00004","0","0","0","12000","0","10000","1","0","0","0","0","0","0","0","1","90","15"
"ASK00852","青龙祝福","SIM00029","回复生命15%且1回合内玩家防御力增加为2倍。","恢复生命###%且1回合内玩家防御力增加为2倍。","15",".0333333","0","120","3","SKT00024","2","0","0","0","15000","0","0","1","0","0","0","0","0","200000","1","90","15"
"ASK00857","钢铁之星","SIM00034","对纵向3列的敌人造成火属性的大量伤害并击退。","对纵向3列的敌人造成火属性###点伤害并击退。","6000","13.3333333","1","150","1","SKT00014","0","0","0","12000","0","0","2","0","8","0","0","0","0","0","1","90","15"
"ASK00859","凛冬将至","SIM00030","对斜十字范围(16格)内的敌人造成水属性英雄攻击力3倍的水属性伤害。","对斜十字范围(16格)内的敌人造成水属性英雄攻击力###%的水属性伤害。","300",".6666667","2","150","2","SKT00022","0","0","3","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"ASK00867","魔能引导","SIM00029","1回合内因连锁而提升的队伍全体攻击力增加为3倍。","1回合内因连锁而提升的队伍全体攻击力增加为###%。","300",".6666667","0","150","2","SKT00019","3","0","0","0","0","0","0","1","0","0","0","0","0","300000","1","90","15"
"ASK00869","碧玉疾风","SIM00026","对菱形范围(12格)内的敌人造成森属性的大量伤害并回复伤害量20%的生命。","对菱形范围(12格)内的敌人造成森属性###点伤害并回复伤害量20%的生命。","6000","13.3333333","4","150","3","SKT00016","0","0","0","12000","0","20000","2","0","0","0","0","0","0","0","1","90","15"
"ASK00893","元素掌握","SIM00030","对斜十字范围(16格)内的敌人造成雷属性的大量伤害。","对斜十字范围(16格)内的敌人造成雷属性###点伤害。","6000","13.3333333","3","120","2","SKT00022","0","0","0","12000","0","0","2","0","0","0","0","0","0","0","1","90","15"
"ASK00894","元素冲击","SIM00031","对斜十字范围(20格)内的敌人造成雷属性的大量伤害。","对斜十字范围(20格)内的敌人造成雷属性###点伤害。","6000","13.3333333","3","150","2","SKT00022","0","0","0","12000","0","0","3","0","0","0","0","0","0","0","1","90","20"
"ASK00912","复仇之箭","SIM00027","对所有敌人造成敌人当前生命25%的伤害。","对所有敌人造成敌人当前生命###%的伤害。","25",".0555556","2","150","3","SKT00004","0","0","0","0","0","0","1","0","0","0","25000","0","0","0","0","90","15"
"ASK00917","大地恩惠","SIM00033","将纵向1列的元素方块转换成森属性。","将纵向1列的元素方块转换成森属性。","0","0","4","120","3","SKT00028","0","0","0","0","0","0","8","0","0","0","0","0","0","0","1","0","1350"
"ASK00918","蛇之凝视","SIM00033","对纵向1列的敌人造成水属性的中量伤害+高机率中毒。","对纵向1列的敌人造成水属性###点伤害+高机率中毒。","3500","7.7777778","2","150","2","SKT00014","0","1","0","7000","60000","0","1","3","0","0","0","0","0","10000","1","90","15"
"ASK00919","骨之屏障","SIM00029","1回合内敌人的伤害全部变成1。","1回合内敌人的伤害全部变成1。","0","0","0","90","1","SKT00012","2","0","0","0","0","0","0","1","0","0","0","0","0","99999999999","1","0","1350"
"ASK00940","燎原野火","SIM00029","2回合内火属性英雄的物理攻击力增加为2倍。","2回合内火属性英雄的物理攻击力增加为###%。","200",".4444444","1","120","3","SKT00019","9","0","0","0","0","0","0","2","0","0","0","0","0","200000","1","90","15"
"ASK00942","破晓之击","SIM00030","对斜十字范围(16格)内的敌人造成全队雷属性英雄攻击力3倍的雷属性伤害。","对斜十字范围(16格)内的敌人造成全队雷属性英雄攻击力###%的雷属性伤害。","300",".6666667","3","150","3","SKT00022","0","0","3","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"ASK00944","奥术箭雨","SIM00027","对所有敌人造成敌人当前生命20%的伤害，低机率中毒。","对所有敌人造成敌人当前生命###%的伤害，低机率中毒。","20",".0444444","4","150","3","SKT00004","0","1","0","0","20000","0","1","3","0","0","20000","0","0","10000","0","90","15"
"ASK01084","燃火之地","SIM00021","周围（8格）元素方块转为火属性。","周围（8格）元素方块转为火属性。","0","0","1","120","3","SKT00033","0","0","0","0","0","0","1","0|1","0","0","0","0","0","0","0","0","1350"
"ASK00161","火炎之剑","SIM00024","对剑技能范围内的敌人造成火属性的小量伤害+击退。","对剑技能范围内的敌人造成火属性###点伤害并击退。","1500","3.3333333","1","80","2","SKT00005","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00162","爆炎之剑","SIM00024","对剑技能范围内的敌人造成火属性的中量伤害+击退。","对剑技能范围内的敌人造成火属性###点伤害并击退。","3500","7.7777778","1","110","3","SKT00005","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00163","核爆之剑","SIM00024","对剑技能范围内的敌人造成火属性的大量伤害+击退。","对剑技能范围内的敌人造成火属性###点伤害并击退。","6000","13.3333333","1","150","3","SKT00005","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00165","冰霜之剑","SIM00024","对剑技能范围内的敌人造成水属性的小量伤害+击退。","对剑技能范围内的敌人造成水属性###点伤害并击退。","1500","3.3333333","2","80","2","SKT00005","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00166","冰冻之剑","SIM00024","对剑技能范围内的敌人造成水属性的中量伤害+击退。","对剑技能范围内的敌人造成水属性###点伤害并击退。","3500","7.7777778","2","110","3","SKT00005","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00167","暴风雪之剑","SIM00024","对剑技能范围内的敌人造成水属性的大量伤害+击退。","对剑技能范围内的敌人造成水属性###点伤害并击退。","6000","13.3333333","2","150","3","SKT00005","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00168","究极暴风雪之剑","SIM00024","对剑技能范围内的敌人造成水属性的特大伤害+击退。","对剑技能范围内的敌人造成水属性###点伤害并击退。","9000","20","2","190","4","SKT00005","0","0","0","18000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00169","闪光之剑","SIM00024","对剑技能范围内的敌人造成雷属性的大量伤害+击退。","对剑技能范围内的敌人造成雷属性###点伤害并击退。","1500","3.3333333","3","80","2","SKT00005","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00170","雷电之剑","SIM00024","对剑技能范围内的敌人造成雷属性的中量伤害+击退。","对剑技能范围内的敌人造成雷属性###点伤害并击退。","3500","7.7777778","3","110","3","SKT00005","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00171","圣光之剑","SIM00024","对剑技能范围内的敌人造成雷属性的大量伤害+击退。","对剑技能范围内的敌人造成雷属性###点伤害并击退。","6000","13.3333333","3","150","3","SKT00005","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00173","尖刺之剑","SIM00024","对剑技能范围内的敌人造成森属性的小量伤害+击退。","对剑技能范围内的敌人造成森属性###点伤害并击退。","1500","3.3333333","4","80","2","SKT00005","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00174","刺棘之剑","SIM00024","对剑技能范围内的敌人造成森属性的中量伤害+击退。","对剑技能范围内的敌人造成森属性###点伤害并击退。","3500","7.7777778","4","110","3","SKT00005","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00175","荆棘之剑","SIM00024","对剑技能范围内的敌人造成森属性的大量伤害+击退。","对剑技能范围内的敌人造成森属性###点伤害并击退。","6000","13.3333333","4","150","3","SKT00005","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00177","火炎冲击","SIM00025","对斧头技能范围内的敌人造成火属性的小量伤害+昏迷。","对斧头技能范围内的敌人造成火属性###点伤害，中几率昏迷。","1500","3.3333333","1","80","2","SKT00006","0","6","0","3000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00178","爆炎冲击","SIM00025","对斧头技能范围内的敌人造成火属性的中量伤害+昏迷。","对斧头技能范围内的敌人造成火属性###点伤害，中几率昏迷。","3500","7.7777778","1","110","3","SKT00006","0","6","0","7000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00179","核爆冲击","SIM00025","对斧头技能范围内的敌人造成火属性的大量伤害+昏迷。","对斧头技能范围内的敌人造成火属性###点伤害，中几率昏迷。","6000","13.3333333","1","150","3","SKT00006","0","6","0","12000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00181","冰霜冲击","SIM00025","对斧头技能范围内的敌人造成水属性的小量伤害+昏迷。","对斧头技能范围内的敌人造成水属性###点伤害，中几率昏迷。","1500","3.3333333","2","80","2","SKT00006","0","6","0","3000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00182","冰冻冲击","SIM00025","对斧头技能范围内的敌人造成水属性的中量伤害+昏迷。","对斧头技能范围内的敌人造成水属性###点伤害，中几率昏迷。","3500","7.7777778","2","110","3","SKT00006","0","6","0","7000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00183","暴风雪冲击","SIM00025","对斧头技能范围内的敌人造成水属性的大量伤害+昏迷。","对斧头技能范围内的敌人造成水属性###点伤害，中几率昏迷。","6000","13.3333333","2","150","3","SKT00006","0","6","0","12000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00185","闪光冲击","SIM00025","对斧头技能范围内的敌人造成雷属性的小量伤害+昏迷。","对斧头技能范围内的敌人造成雷属性###点伤害，中几率昏迷。","1500","3.3333333","3","80","2","SKT00006","0","6","0","3000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00186","雷电冲击","SIM00025","对斧头技能范围内的敌人造成雷属性的中量伤害+昏迷。","对斧头技能范围内的敌人造成雷属性###点伤害，中几率昏迷。","3500","7.7777778","3","110","3","SKT00006","0","6","0","7000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00187","圣光冲击","SIM00025","对斧头技能范围内的敌人造成雷属性的大量伤害+昏迷。","对斧头技能范围内的敌人造成雷属性###点伤害，中几率昏迷。","6000","13.3333333","3","150","3","SKT00006","0","6","0","12000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00189","尖刺冲击","SIM00025","对斧头技能范围内的敌人造成森属性的小量伤害+昏迷。","对斧头技能范围内的敌人造成森属性###点伤害，中几率昏迷。","1500","3.3333333","4","80","2","SKT00006","0","6","0","3000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00190","刺棘冲击","SIM00025","对斧头技能范围内的敌人造成森属性的中量伤害+昏迷。","对斧头技能范围内的敌人造成森属性###点伤害，中几率昏迷。","3500","7.7777778","4","110","3","SKT00006","0","6","0","7000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00191","荆棘冲击","SIM00025","对斧头技能范围内的敌人造成森属性的大量伤害+昏迷。","对斧头技能范围内的敌人造成森属性###点伤害，中几率昏迷。","6000","13.3333333","4","150","3","SKT00006","0","6","0","12000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00192","究极荆棘冲击","SIM00025","对斧头技能范围内的敌人造成森属性的特大伤害+昏迷。","对斧头技能范围内的敌人造成森属性###点伤害，中几率昏迷。","9000","20","4","190","4","SKT00006","0","6","0","18000","40000","0","1","2","0","0","0","0","0","0","1","90","15"
"ASK00193","火炎之刃","SIM00026","对菱形范围(12格)内的敌人造成火属性的小量伤害。","对菱形范围(12格)内的敌人造成火属性###点伤害。","1500","3.3333333","1","80","2","SKT00007","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00194","爆炎之刃","SIM00026","对菱形范围(12格)内的敌人造成火属性的中量伤害。","对菱形范围(12格)内的敌人造成火属性###点伤害。","3500","7.7777778","1","110","3","SKT00007","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00195","核爆之刃","SIM00026","对菱形范围(12格)内的敌人造成火属性的大量伤害。","对菱形范围(12格)内的敌人造成火属性###点伤害。","6000","13.3333333","1","150","3","SKT00007","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00197","冰霜之刃","SIM00026","对菱形范围(12格)内的敌人造成水属性的小量伤害。","对菱形范围(12格)内的敌人造成水属性###点伤害。","1500","3.3333333","2","80","2","SKT00007","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00198","冰冻之刃","SIM00026","对菱形范围(12格)内的敌人造成水属性的中量伤害。","对菱形范围(12格)内的敌人造成水属性###点伤害。","3500","7.7777778","2","110","3","SKT00007","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00199","暴风雪之刃","SIM00026","对菱形范围(12格)内的敌人造成水属性的大量伤害。","对菱形范围(12格)内的敌人造成水属性###点伤害。","6000","13.3333333","2","150","3","SKT00007","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00201","闪光之刃","SIM00026","对菱形范围(12格)内的敌人造成雷属性的小量伤害。","对菱形范围(12格)内的敌人造成雷属性###点伤害。","1500","3.3333333","3","80","2","SKT00007","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00202","雷电之刃","SIM00026","对菱形范围(12格)内的敌人造成雷属性的中量伤害。","对菱形范围(12格)内的敌人造成雷属性###点伤害。","3500","7.7777778","3","110","3","SKT00007","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00203","圣光之刃","SIM00026","对菱形范围(12格)内的敌人造成雷属性的大量伤害。","对菱形范围(12格)内的敌人造成雷属性###点伤害。","6000","13.3333333","3","150","3","SKT00007","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00204","究极圣光之刃","SIM00026","对菱形范围(12格)内的敌人造成雷属性的特大伤害。","对菱形范围(12格)内的敌人造成雷属性###点伤害。","9000","20","3","190","4","SKT00007","0","0","0","18000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00205","尖刺之刃","SIM00026","对菱形范围(12格)内的敌人造成森属性的小量伤害。","对菱形范围(12格)内的敌人造成森属性###点伤害。","1500","3.3333333","4","80","2","SKT00007","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00206","刺棘之刃","SIM00026","对菱形范围(12格)内的敌人造成森属性的中量伤害。","对菱形范围(12格)内的敌人造成森属性###点伤害。","3500","7.7777778","4","110","3","SKT00007","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00207","荆棘之刃","SIM00026","对菱形范围(12格)内的敌人造成森属性的大量伤害。","对菱形范围(12格)内的敌人造成森属性###点伤害。","6000","13.3333333","4","150","3","SKT00007","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","1","90","15"
"ASK00209","火炎之矢","SIM00027","对所有敌人造成火属性的小量伤害。","对所有敌人造成火属性###点伤害。","1500","3.3333333","1","80","2","SKT00008","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00210","爆炎之矢","SIM00027","对所有敌人造成火属性的中量伤害。","对所有敌人造成火属性###点伤害。","3500","7.7777778","1","110","3","SKT00008","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00211","核爆之矢","SIM00027","对所有敌人造成火属性的大量伤害。","对所有敌人造成火属性###点伤害。","6000","13.3333333","1","150","3","SKT00008","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00212","究极核爆之矢","SIM00027","对所有敌人造成火属性的特大伤害。","对所有敌人造成火属性###点伤害。","9000","20","1","190","4","SKT00008","0","0","0","18000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00213","冰霜之矢","SIM00027","对所有敌人造成水属性的小量伤害。","对所有敌人造成水属性###点伤害。","1500","3.3333333","2","80","2","SKT00008","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00214","冰冻之矢","SIM00027","对所有敌人造成水属性的中量伤害。","对所有敌人造成水属性###点伤害。","3500","7.7777778","2","110","3","SKT00008","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00215","暴风雪之矢","SIM00027","对所有敌人造成水属性的大量伤害。","对所有敌人造成水属性###点伤害。","6000","13.3333333","2","150","3","SKT00008","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00217","闪光之矢","SIM00027","对所有敌人造成雷属性的小量伤害。","对所有敌人造成雷属性###点伤害。","1500","3.3333333","3","80","2","SKT00008","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00218","雷电之矢","SIM00027","对所有敌人造成雷属性的中量伤害。","对所有敌人造成雷属性###点伤害。","3500","7.7777778","3","110","3","SKT00008","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00219","圣光之矢","SIM00027","对所有敌人造成雷属性的大量伤害。","对所有敌人造成雷属性###点伤害。","6000","13.3333333","3","150","3","SKT00008","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00221","尖刺之矢","SIM00027","对所有敌人造成森属性的小量伤害。","对所有敌人造成森属性###点伤害。","1500","3.3333333","4","80","2","SKT00008","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00222","刺棘之矢","SIM00027","对所有敌人造成森属性的中量伤害。","对所有敌人造成森属性###点伤害。","3500","7.7777778","4","110","3","SKT00008","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00223","荆棘之矢","SIM00027","对所有敌人造成森属性的大量伤害。","对所有敌人造成森属性###点伤害。","6000","13.3333333","4","150","3","SKT00008","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00225","火炎爆弹","SIM00027","对所有敌人造成火属性的小量伤害。","对所有敌人造成火属性###点伤害。","1500","3.3333333","1","80","2","SKT00009","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00226","爆炎爆弹","SIM00027","对所有敌人造成火属性的中量伤害。","对所有敌人造成火属性###点伤害。","3500","7.7777778","1","110","3","SKT00009","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00227","核爆爆弹","SIM00027","对所有敌人造成火属性的大量伤害。","对所有敌人造成火属性###点伤害。","6000","13.3333333","1","150","3","SKT00009","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00229","冰霜爆弹","SIM00027","对所有敌人造成水属性的小量伤害。","对所有敌人造成水属性###点伤害。","1500","3.3333333","2","80","2","SKT00009","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00230","冰冻爆弹","SIM00027","对所有敌人造成水属性的中量伤害。","对所有敌人造成水属性###点伤害。","3500","7.7777778","2","110","3","SKT00009","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00231","暴风雪爆弹","SIM00027","对所有敌人造成水属性的大量伤害。","对所有敌人造成水属性###点伤害。","6000","13.3333333","2","150","3","SKT00009","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00233","闪光爆弹","SIM00027","对所有敌人造成雷属性的小量伤害。","对所有敌人造成雷属性###点伤害。","1500","3.3333333","3","80","2","SKT00009","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00234","雷电爆弹","SIM00027","对所有敌人造成雷属性的中量伤害。","对所有敌人造成雷属性###点伤害。","3500","7.7777778","3","110","3","SKT00009","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00235","圣光爆弹","SIM00027","对所有敌人造成雷属性的大量伤害。","对所有敌人造成雷属性###点伤害。","6000","13.3333333","3","150","3","SKT00009","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00237","尖刺爆弹","SIM00027","对所有敌人造成森属性的小量伤害。","对所有敌人造成森属性###点伤害。","1500","3.3333333","4","80","2","SKT00009","0","0","0","3000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00238","刺棘爆弹","SIM00027","对所有敌人造成森属性的中量伤害。","对所有敌人造成森属性###点伤害。","3500","7.7777778","4","110","3","SKT00009","0","0","0","7000","0","0","1","0","0","0","0","0","0","0","0","90","15"
"ASK00239","荆棘爆弹","SIM00027","对所有敌人造成森属性的大量伤害。","对所有敌人造成森属性###点伤害。","6000","13.3333333","4","150","3","SKT00009","0","0","0","12000","0","0","1","0","0","0","0","0","0","0","0","90","15"
