"id","name","text","type","attribute","type_attribute","positive_state","negative_state","point","persent","atk_persent","active_persent","chain_persent","tolerance","skill_value"
"PSK00091","龙之魂I","龙系英雄攻击力提升23%","PST00052","0","6","0","0","0","23000","23000","23000","23000","0","600"
"PSK00092","龙之魂II","龙系英雄攻击力提升28%","PST00052","0","6","0","0","0","28000","28000","28000","28000","0","600"
"PSK00093","新年大吉","关卡结算时额外获得98%的金币","PST00053","0","0","0","0","0","98000","","","","0","600"
"PSK00094","龙神守护I","龙系英雄生命提升28%","PST00054","0","6","0","0","0","28000","","","","0","600"
"PSK00095","龙神守护II","龙系英雄生命提升38%","PST00054","0","6","0","0","0","38000","","","","0","600"
"PSK00096","闪电抗性","一定几率无视麻痹效果","PST00018","0","0","0","2","0","0","","","","0","600"
"PSK00097","旅店老板女儿的祝福","恢复系技能、道具的效果1.2倍","PST00057","0","0","0","0","0","20000","","","","0","600"
"PSK10001","灼热护甲I","遭受火属性敌人攻击时伤害减少12%","PST00042","1","0","0","0","0","12000","","","","0","600"
"PSK10002","灼热护甲II","遭受火属性敌人攻击时伤害减少17%","PST00042","1","0","0","0","0","17000","","","","0","600"
"PSK10003","灼热护甲III","遭受火属性敌人攻击时伤害减少22%","PST00042","1","0","0","0","0","22000","","","","0","600"
"PSK10004","寒冰护甲I","遭受水属性敌人攻击时伤害减少12%","PST00042","2","0","0","0","0","12000","","","","0","600"
"PSK10005","寒冰护甲II","遭受水属性敌人攻击时伤害减少17%","PST00042","2","0","0","0","0","17000","","","","0","600"
"PSK10006","寒冰护甲III","遭受水属性敌人攻击时伤害减少22%","PST00042","2","0","0","0","0","22000","","","","0","600"
"PSK10007","雷鸣铠甲I","遭受雷属性敌人攻击时伤害减少12%","PST00042","2","0","0","0","0","12000","","","","0","600"
"PSK10008","雷鸣铠甲II","遭受雷属性敌人攻击时伤害减少17%","PST00042","3","0","0","0","0","17000","","","","0","600"
"PSK10009","雷鸣铠甲III","遭受雷属性敌人攻击时伤害减少22%","PST00042","3","0","0","0","0","22000","","","","0","600"
"PSK10010","山岳之容I","遭受森属性敌人攻击时伤害减少12%","PST00042","4","0","0","0","0","12000","","","","0","600"
"PSK10011","山岳之容II","遭受森属性敌人攻击时伤害减少17%","PST00042","4","0","0","0","0","17000","","","","0","600"
"PSK10012","山岳之容III","遭受森属性敌人攻击时伤害减少22%","PST00042","4","0","0","0","0","22000","","","","0","600"
"PSK10013","赫拉的庇护I","火属性英雄生命提升12%","PST00007","1","0","0","0","0","12000","","","","0","600"
"PSK10014","赫拉的庇护II","火属性英雄生命提升22%","PST00007","1","0","0","0","0","22000","","","","0","600"
"PSK10015","赫拉的庇护III","火属性英雄生命提升33%","PST00007","1","0","0","0","0","33000","","","","0","600"
"PSK10016","波塞冬的庇护I","水属性英雄生命提升12%","PST00007","2","0","0","0","0","12000","","","","0","600"
"PSK10017","波塞冬的庇护II","水属性英雄生命提升22%","PST00007","2","0","0","0","0","22000","","","","0","600"
"PSK10018","波塞冬的庇护III","水属性英雄生命提升33%","PST00007","2","0","0","0","0","33000","","","","0","600"
"PSK10019","宙斯的庇护I ","雷属性英雄生命提升12%","PST00007","3","0","0","0","0","12000","","","","0","600"
"PSK10020","宙斯的庇护II","雷属性英雄生命提升22%","PST00007","3","0","0","0","0","22000","","","","0","600"
"PSK10021","宙斯的庇护III","雷属性英雄生命提升33%","PST00007","3","0","0","0","0","33000","","","","0","600"
"PSK10022","盖亚的庇护I","森属性英雄生命提升12%","PST00007","4","0","0","0","0","12000","","","","0","600"
"PSK10023","盖亚的庇护II","森属性英雄生命提升22%","PST00007","4","0","0","0","0","22000","","","","0","600"
"PSK10024","盖亚的庇护III","森属性英雄生命提升33%","PST00007","4","0","0","0","0","33000","","","","0","600"
"PSK10025","生命之歌 I","主角生命+520","PST00006","0","0","0","0","520","0","","","","0","600"
"PSK10026","生命之歌II","主角生命+1020","PST00006","0","0","0","0","1020","0","","","","0","600"
"PSK10027","生命之歌II","主角生命+1520","PST00006","0","0","0","0","1520","0","","","","0","600"
"PSK10028","生命之歌IV","主角生命+2020","PST00006","0","0","0","0","2020","0","","","","0","600"
"PSK10029","战歌增幅","队伍全体成员生命提升22%","PST00001","0","0","0","0","0","22000","","","","0","600"
"PSK10030","狂战士的暴怒I","主角暴击率提升7%","PST00002","0","0","0","0","0","7000","","","","0","600"
"PSK10031","狂战士的暴怒II","主角暴击率提升17%","PST00002","0","0","0","0","0","17000","","","","0","600"
"PSK10032","狂战士的暴怒III","主角暴击率提升22%","PST00002","0","0","0","0","0","22000","","","","0","600"
"PSK10033","龙息I","火属性英雄攻击力提升13%","PST00003","1","0","1","0","0","13000","13000","13000","13000","0","600"
"PSK10034","龙息II","火属性英雄攻击力提升18%","PST00003","1","0","1","0","0","18000","18000","18000","18000","0","600"
"PSK10035","龙息III","火属性英雄攻击力提升23%","PST00003","1","0","1","0","0","23000","23000","23000","23000","0","600"
"PSK10036","冰凌I","水属性英雄攻击力提升12%","PST00003","2","0","1","0","0","12000","12000","12000","12000","0","600"
"PSK10037","冰凌II","水属性英雄攻击力提升17%","PST00003","2","0","1","0","0","17000","17000","17000","17000","0","600"
"PSK10038","冰凌III","水属性英雄攻击力提升22%","PST00003","2","0","1","0","0","22000","22000","22000","22000","0","600"
"PSK10039","电闪I","雷属性英雄攻击力提升11%","PST00003","3","0","1","0","0","11000","11000","11000","11000","0","600"
"PSK10040","电闪II","雷属性英雄攻击力提升17%","PST00003","3","0","1","0","0","17000","17000","17000","17000","0","600"
"PSK10041","电闪III","雷属性英雄攻击力提升23%","PST00003","3","0","1","0","0","23000","23000","23000","23000","0","600"
"PSK10042","妖精的陪伴I","森属性英雄攻击力提升11%","PST00003","4","0","1","0","0","11000","11000","11000","11000","0","600"
"PSK10043","妖精的陪伴II","森属性英雄攻击力提升17%","PST00003","4","0","1","0","0","17000","17000","17000","17000","0","600"
"PSK10044","妖精的陪伴II","森属性英雄攻击力提升23%","PST00003","4","0","1","0","0","23000","23000","23000","23000","0","600"
"PSK10045","天赐I","7连锁以上时己方全体成员攻击力提高20%","PST00011","0","0","1","0","7","20000","","","","0","600"
"PSK10046","天赐II","7连锁以上时己方全体成员攻击力提高27%","PST00011","0","0","1","0","7","27000","","","","0","600"
"PSK10047","天赐III","7连锁以上时己方全体成员攻击力提高40%","PST00011","0","0","1","0","7","40000","","","","0","600"
"PSK10048","战场动员I","满血时，己方全体成员攻击力提高35%","PST00013","0","0","1","0","0","35000","","","","0","600"
"PSK10049","战场动员II","满血时，己方全体成员攻击力提高50%","PST00013","0","0","1","0","0","50000","","","","0","600"
"PSK10050","战场动员III","满血时，己方全体成员攻击力提高70%","PST00013","0","0","1","0","0","70000","","","","0","600"
"PSK10051","战神的勇气I","主角技能伤害提升17%","PST00015","0","0","1","0","0","17000","","","","0","600"
"PSK10052","战神的勇气II","主角技能伤害提升30%","PST00015","0","0","1","0","0","30000","","","","0","600"
"PSK10053","战神的勇气III","主角技能伤害提升45%","PST00015","0","0","1","0","0","45000","","","","0","600"
"PSK10054","天锁I","主角连锁技能伤害提升25%","PST00014","0","0","1","0","0","25000","","","","0","600"
"PSK10055","天锁II","主角连锁技能伤害提升40%","PST00014","0","0","1","0","0","40000","","","","0","600"
"PSK10056","天锁III","主角连锁技能伤害提升60%","PST00014","0","0","1","0","0","60000","","","","0","600"
"PSK10057","剑术大师I","剑系攻击力提升18%","PST00043","0","0","1","0","0","18000","","","","0","600"
"PSK10058","剑术大师II","剑系攻击力提升23%","PST00043","0","0","1","0","0","23000","","","","0","600"
"PSK10059","剑术大师III","剑系攻击力提升28%","PST00043","0","0","1","0","0","28000","","","","0","600"
"PSK10060","狂战士I","斧系攻击力提升18%","PST00044","0","0","1","0","0","18000","","","","0","600"
"PSK10061","狂战士II","斧系攻击力提升22%","PST00044","0","0","1","0","0","22000","","","","0","600"
"PSK10062","狂战士III","斧系攻击力提升28%","PST00044","0","0","1","0","0","28000","","","","0","600"
"PSK10063","暗夜行者I","匕首系的攻击力提升18%","PST00045","0","0","1","0","0","18000","","","","0","600"
"PSK10064","暗夜行者II","匕首系的攻击力提升22%","PST00045","0","0","1","0","0","22000","","","","0","600"
"PSK10065","暗夜行者III","匕首系的攻击力提升28%","PST00045","0","0","1","0","0","28000","","","","0","600"
"PSK10066","百步穿杨I","弓系攻击力提升18%","PST00046","0","0","1","0","0","18000","","","","0","600"
"PSK10067","百步穿杨II","弓系攻击力提升22%","PST00046","0","0","1","0","0","22000","","","","0","600"
"PSK10068","百步穿杨III","弓系攻击力提升28%","PST00046","0","0","1","0","0","28000","","","","0","600"
"PSK10069","元素之灵I","杖系攻击力提升18%","PST00047","0","0","1","0","0","18000","","","","0","600"
"PSK10070","元素之灵II","杖系攻击力提升22%","PST00047","0","0","1","0","0","22000","","","","0","600"
"PSK10071","元素之灵III","杖系攻击力提升28%","PST00047","0","0","1","0","0","28000","","","","0","600"
"PSK10072","无法撼动之力","无法被击飞","PST00032","0","0","0","0","0","0","","","","0","600"
"PSK10073","生命回复","通过单层副本时，生命恢复5%","PST00050","0","0","0","0","0","5000","","","","0","600"
"PSK10074","无坚不摧之力(测试)","无视兽夹的效果","PST00051","0","0","0","0","0","0","","","","0","600"
"PSK10075","炎龙的咆哮IV","火属性英雄攻击力提升35%","PST00003","1","0","1","0","0","35000","35000","35000","35000","0","600"
"PSK10076","冰寒之泪IV","水属性英雄攻击力提升35%","PST00003","2","0","1","0","0","35000","35000","35000","35000","0","600"
"PSK10077","天罚IV","雷属性英雄攻击力提升35%","PST00003","3","0","1","0","0","35000","35000","35000","35000","0","600"
"PSK10078","守护者IV","森属性英雄攻击力提升35%","PST00003","4","0","1","0","0","35000","35000","35000","35000","0","600"
"PSK10079","战力狂涌I","满血时，己方全体成员攻击力提升55%","PST00013","0","0","1","0","0","55000","","","","0","600"
"PSK10080","战力狂涌II","满血时，己方全体成员攻击力提升80%","PST00013","0","0","1","0","0","80000","","","","0","600"
"PSK10081","电光守护","雷属性英雄生命提高35%","PST00007","3","0","0","0","0","35000","","","","0","600"
"PSK10082","战争律动","队伍中全体成员的生命提升27%","PST00001","0","0","0","0","0","27000","","","","0","600"
"PSK10083","千层浪","水属性英雄生命提升35%","PST00007","2","0","0","0","0","35000","","","","0","600"
"PSK10084","树神的恩惠","森属性英雄生命提升35%","PST00007","4","0","0","0","0","35000","","","","0","600"
"PSK10085","战争达人I","通过单层副本时，生命恢复5%","PST00050","0","0","0","0","0","5000","","","","0","600"
"PSK10086","战争达人II","通过单层副本时，生命恢复7%","PST00050","0","0","0","0","0","7000","","","","0","600"
"PSK10087","战争达人III","通过单层副本时，生命恢复10%","PST00050","0","0","0","0","0","10000","","","","0","600"
"PSK10088","大吉大利","关卡结算时额外获得52%的金币","PST00053","0","0","0","0","0","52000","","","","0","600"
"PSK10089","火焰抗性","不受烧伤的伤害","PST00055","0","0","0","12","0","0","","","","0","600"
"PSK10090","毒液免疫","中毒的伤害减半","PST00055","0","0","0","1","0","0","","","","0","600"
"PSK10091","巨龙巢穴I","龙系英雄攻击力提升27%","PST00052","0","6","0","0","0","27000","27000","27000","27000","0","600"
"PSK10092","巨龙巢穴II","龙系英雄攻击力提升32%","PST00052","0","6","0","0","0","32000","32000","32000","32000","0","600"
"PSK10093","财神送福","关卡结算时额外获得102%的金币","PST00053","0","0","0","0","0","102000","","","","0","600"
"PSK10094","龙佑I","龙系英雄生命提升32%","PST00054","0","6","0","0","0","32000","","","","0","600"
"PSK10095","龙佑II","龙系英雄生命提升42%","PST00054","0","6","0","0","0","42000","","","","0","600"
"PSK10096","麻痹抵抗","一定几率无视麻痹效果","PST00018","0","0","0","2","0","0","","","","0","600"
"PSK10097","旅店老板的女儿的祝福","恢复系技能、道具的效果1.8倍","PST00057","0","0","0","0","0","80000","","","","0","600"
