"id","type","sort_id","user_equipment_name","item_id","rarity","req_gold","rarity_3_material","rarity_3_quantity","rarity_4_material","rarity_4_quantity","rarity_5_material","rarity_5_quantity","coming_soon"
"10014","1","14","灵弦长弓","WPN34001|WPN34002|WPN34003","3|4|5","3000|30000|150000","MTR00004|MTR00010|MTR00012","3|2|1","MTR00004|MTR00010|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00010|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10015","1","15","搜魂者","WPN35001|WPN35002|WPN35003","3|4|5","3000|30000|150000","MTR00004|MTR00007|MTR00012","3|2|1","MTR00004|MTR00007|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00007|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10016","1","16","时空利刃","WPN41001|WPN41002|WPN41003","3|4|5","3000|30000|150000","MTR00001|MTR00011|MTR00012","3|2|1","MTR00001|MTR00011|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00011|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10017","1","17","月牙符文斧","WPN42001|WPN42002|WPN42003","3|4|5","3000|30000|150000","MTR00001|MTR00009|MTR00012","3|2|1","MTR00001|MTR00009|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00009|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10018","1","18","染血毒牙","WPN43001|WPN43002|WPN43003","3|4|5","3000|30000|150000","MTR00001|MTR00008|MTR00012","3|2|1","MTR00001|MTR00008|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00008|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10019","1","19","剧毒之刺","WPN44001|WPN44002|WPN44003","3|4|5","3000|30000|150000","MTR00001|MTR00010|MTR00012","3|2|1","MTR00001|MTR00010|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00010|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10020","1","20","暮光之塔","WPN45001|WPN45002|WPN45003","3|4|5","3000|30000|150000","MTR00001|MTR00007|MTR00012","3|2|1","MTR00001|MTR00007|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00007|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10021","1","21","火凤之弓","WPN14004|WPN14005","4|5","30000|150000","","","MTR00003|MTR00010|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00010|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10022","1","22","青龙利刃","WPN21004|WPN21005","4|5","30000|150000","","","MTR00002|MTR00011|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00011|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10023","1","23","白虎之咬","WPN33004|WPN33005","4|5","30000|150000","","","MTR00004|MTR00008|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00008|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"10024","1","24","玄龟钝斧","WPN42004|WPN42005","4|5","30000|150000","","","MTR00001|MTR00009|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00009|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20001","2","25","蛮力面甲","HEL10001|HEL10002|HEL10003","3|4|5","3000|30000|150000","MTR00003|MTR00005|MTR00012","3|2|1","MTR00003|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20002","2","26","剑士头盔","HEL10004|HEL10005|HEL10006","3|4|5","3000|30000|150000","MTR00003|MTR00005|MTR00012","3|2|1","MTR00003|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20003","2","27","恶魔角饰","HEL10007|HEL10008|HEL10009","3|4|5","3000|30000|150000","MTR00003|MTR00005|MTR00012","3|2|1","MTR00003|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20004","2","28","放血头巾","HEL20001|HEL20002|HEL20003","3|4|5","3000|30000|150000","MTR00002|MTR00005|MTR00012","3|2|1","MTR00002|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20005","2","29","迅捷之帽","HEL20004|HEL20005|HEL20006","3|4|5","3000|30000|150000","MTR00002|MTR00005|MTR00012","3|2|1","MTR00002|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20006","2","30","秩序头盔","HEL20007|HEL20008|HEL20009","3|4|5","3000|30000|150000","MTR00002|MTR00005|MTR00012","3|2|1","MTR00002|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20007","2","31","奥法师头冠","HEL30001|HEL30002|HEL30003","3|4|5","3000|30000|150000","MTR00004|MTR00005|MTR00012","3|2|1","MTR00004|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20008","2","32","真言头饰","HEL30004|HEL30005|HEL30006","3|4|5","3000|30000|150000","MTR00004|MTR00005|MTR00012","3|2|1","MTR00004|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20009","2","33","雷霆面甲","HEL30007|HEL30008|HEL30009","3|4|5","3000|30000|150000","MTR00004|MTR00005|MTR00012","3|2|1","MTR00004|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20010","2","34","巨人头盔","HEL40001|HEL40002|HEL40003","3|4|5","3000|30000|150000","MTR00001|MTR00005|MTR00012","3|2|1","MTR00001|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20011","2","35","野兽罩帽","HEL40004|HEL40005|HEL40006","3|4|5","3000|30000|150000","MTR00001|MTR00005|MTR00012","3|2|1","MTR00001|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"20012","2","36","平衡头盔","HEL40007|HEL40008|HEL40009","3|4|5","3000|30000|150000","MTR00001|MTR00005|MTR00012","3|2|1","MTR00001|MTR00005|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00005|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30001","3","37","蛮力铠甲","AMR10001|AMR10002|AMR10003","3|4|5","3000|30000|150000","MTR00003|MTR00006|MTR00012","3|2|1","MTR00003|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30002","3","38","剑士装甲","AMR10004|AMR10005|AMR10006","3|4|5","3000|30000|150000","MTR00003|MTR00006|MTR00012","3|2|1","MTR00003|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30003","3","39","恶魔长袍","AMR10007|AMR10008|AMR10009","3|4|5","3000|30000|150000","MTR00003|MTR00006|MTR00012","3|2|1","MTR00003|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00003|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30004","3","40","放血胸甲","AMR20001|AMR20002|AMR20003","3|4|5","3000|30000|150000","MTR00002|MTR00006|MTR00012","3|2|1","MTR00002|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30005","3","41","迅捷外套","AMR20004|AMR20005|AMR20006","3|4|5","3000|30000|150000","MTR00002|MTR00006|MTR00012","3|2|1","MTR00002|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30006","3","42","秩序铠甲","AMR20007|AMR20008|AMR20009","3|4|5","3000|30000|150000","MTR00002|MTR00006|MTR00012","3|2|1","MTR00002|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00002|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30007","3","43","奥法师长袍","AMR30001|AMR30002|AMR30003","3|4|5","3000|30000|150000","MTR00004|MTR00006|MTR00012","3|2|1","MTR00004|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30008","3","44","真言束衣","AMR30004|AMR30005|AMR30006","3|4|5","3000|30000|150000","MTR00004|MTR00006|MTR00012","3|2|1","MTR00004|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30009","3","45","雷霆战裙","AMR30007|AMR30008|AMR30009","3|4|5","3000|30000|150000","MTR00004|MTR00006|MTR00012","3|2|1","MTR00004|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00004|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30010","3","46","巨人胸甲","AMR40001|AMR40002|AMR40003","3|4|5","3000|30000|150000","MTR00001|MTR00006|MTR00012","3|2|1","MTR00001|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30011","3","47","野兽外套","AMR40004|AMR40005|AMR40006","3|4|5","3000|30000|150000","MTR00001|MTR00006|MTR00012","3|2|1","MTR00001|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
"30012","3","48","平衡胸甲","AMR40007|AMR40008|AMR40009","3|4|5","3000|30000|150000","MTR00001|MTR00006|MTR00012","3|2|1","MTR00001|MTR00006|MTR00012|MTR00013","20|10|5|3","MTR00001|MTR00006|MTR00012|MTR00013|MTR00014","75|40|25|15|5","0"
