"id","name","image_name","text","attribute","invoke_chain","level_up_reduction","type","positive_state","negative_state","multiplier","point","percent","absorptance","range","turn","blow_off_distance","hp_attack_percent","hp_down_percent","type_attribute","type_attribute_multiplier","effect_point","multi_attack","max_level","skill_value"
"ASK00193","火炎之刃","SIM00026","对菱形范围(12格)内的敌人造成火属性的小量伤害","1","80","2","SKT00007","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00194","爆炎之刃","SIM00026","对菱形范围(12格)内的敌人造成火属性的中量伤害","1","110","3","SKT00007","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00195","核爆之刃","SIM00026","对菱形范围(12格)内的敌人造成火属性的大量伤害","1","150","3","SKT00007","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00197","冰霜之刃","SIM00026","对菱形范围(12格)内的敌人造成水属性的小量伤害","2","80","2","SKT00007","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00198","冰冻之刃","SIM00026","对菱形范围(12格)内的敌人造成水属性的中量伤害","2","110","3","SKT00007","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00199","暴风雪之刃","SIM00026","对菱形范围(12格)内的敌人造成水属性的大量伤害","2","150","3","SKT00007","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00201","闪光之刃","SIM00026","对菱形范围(12格)内的敌人造成雷属性的小量伤害","3","80","2","SKT00007","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00202","雷电之刃","SIM00026","对菱形范围(12格)内的敌人造成雷属性的中量伤害","3","110","3","SKT00007","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00203","圣光之刃","SIM00026","对菱形范围(12格)内的敌人造成雷属性的大量伤害","3","150","3","SKT00007","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00204","究极圣光之刃","SIM00026","对菱形范围(12格)内的敌人造成雷属性的特大伤害","3","190","4","SKT00007","0","0","0","8000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00205","尖刺之刃","SIM00026","对菱形范围(12格)内的敌人造成森属性的小量伤害","4","80","2","SKT00007","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00206","刺棘之刃","SIM00026","对菱形范围(12格)内的敌人造成森属性的中量伤害","4","110","3","SKT00007","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00207","荆棘之刃","SIM00026","对菱形范围(12格)内的敌人造成森属性的大量伤害","4","150","3","SKT00007","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","1","40","30"
"ASK00209","火炎之矢","SIM00027","对所有敌人造成火属性的小量伤害","1","80","2","SKT00008","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00210","爆炎之矢","SIM00027","对所有敌人造成火属性的中量伤害","1","110","3","SKT00008","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00211","核爆之矢","SIM00027","对所有敌人造成火属性的大量伤害","1","150","3","SKT00008","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00212","究极核爆之矢","SIM00027","对所有敌人造成火属性的特大伤害","1","190","4","SKT00008","0","0","0","8000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00213","冰霜之矢","SIM00027","对所有敌人造成水属性的小量伤害","2","80","2","SKT00008","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00214","冰冻之矢","SIM00027","对所有敌人造成水属性的中量伤害","2","110","3","SKT00008","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00215","暴风雪之矢","SIM00027","对所有敌人造成水属性的大量伤害","2","150","3","SKT00008","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00217","闪光之矢","SIM00027","对所有敌人造成雷属性的小量伤害","3","80","2","SKT00008","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00218","雷电之矢","SIM00027","对所有敌人造成雷属性的中量伤害","3","110","3","SKT00008","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00219","圣光之矢","SIM00027","对所有敌人造成雷属性的大量伤害","3","150","3","SKT00008","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00221","尖刺之矢","SIM00027","对所有敌人造成森属性的小量伤害","4","80","2","SKT00008","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00222","刺棘之矢","SIM00027","对所有敌人造成森属性的中量伤害","4","110","3","SKT00008","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00223","荆棘之矢","SIM00027","对所有敌人造成森属性的大量伤害","4","150","3","SKT00008","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00225","火炎爆弹","SIM00027","对所有敌人造成火属性的小量伤害","1","80","2","SKT00009","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00226","爆炎爆弹","SIM00027","对所有敌人造成火属性的中量伤害","1","110","3","SKT00009","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00227","核爆爆弹","SIM00027","对所有敌人造成火属性的大量伤害","1","150","3","SKT00009","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00229","冰霜爆弹","SIM00027","对所有敌人造成水属性的小量伤害","2","80","2","SKT00009","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00230","冰冻爆弹","SIM00027","对所有敌人造成水属性的中量伤害","2","110","3","SKT00009","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00231","暴风雪爆弹","SIM00027","对所有敌人造成水属性的大量伤害","2","150","3","SKT00009","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00233","闪光爆弹","SIM00027","对所有敌人造成雷属性的小量伤害","3","80","2","SKT00009","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00234","雷电爆弹","SIM00027","对所有敌人造成雷属性的中量伤害","3","110","3","SKT00009","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00235","圣光爆弹","SIM00027","对所有敌人造成雷属性的大量伤害","3","150","3","SKT00009","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00237","尖刺爆弹","SIM00027","对所有敌人造成森属性的小量伤害","4","80","2","SKT00009","0","0","0","2000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00238","刺棘爆弹","SIM00027","对所有敌人造成森属性的中量伤害","4","110","3","SKT00009","0","0","0","4000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00239","荆棘爆弹","SIM00027","对所有敌人造成森属性的大量伤害","4","150","3","SKT00009","0","0","0","6000","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00265","力量祝福","SIM00029","3回合内玩家角色攻击力增加为2倍","0","120","2","SKT00012","1","0","0","0","0","0","0","3","0","0","0","0","0","200000","1","40","30"
"ASK00316","自然缠绕","SIM00016","对十字范围(8格)内的敌人造成自己攻击力10倍的森属性伤害","4","90","2","SKT00001","0","0","5","0","0","0","2","0","0","0","0","0","0","0","1","40","30"
"ASK00419","烈焰烧讨","SIM00028","对全楼层的敌人造成自己攻击力10倍的火属性伤害","1","180","4","SKT00004","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","40","30"
"ASK00741","暗影伏击","SIM00017","对十字范围(12格)内的敌人造成火属性的大量伤害并回复伤害量20%的生命","1","150","5","SKT00001","0","0","0","6000","0","20000","3","0","0","0","0","0","0","0","1","40","30"
"ASK00765","雷霆漩涡","SIM00027","将水属性元素方块转换成雷属性(最多7个)","2|3","120","5","SKT00010","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","1200"
"ASK00776","蛇之凝视","SIM00029","将雷属性元素方块转换成水属性(最多7个)","3|2","120","3","SKT00010","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","1200"
"ASK00795","冰霜之环","SIM00027","对所有敌人造成水属性的中量伤害+高机率昏迷","2","150","5","SKT00004","0","6","0","3500","60000","0","1","2","0","0","0","0","0","0","0","40","30"
"ASK00809","强效治疗","SIM00029","恢复玩家生命的25%","0","150","2","SKT00011","0","0","0","0","25000","0","0","0","0","0","0","0","0","0","1","40","30"
"ASK00817","猛兽奔腾","SIM00028","对全楼层(63格)造成森属性的大量伤害+高机率降低防御力","4","180","4","SKT00004","0","11","0","6000","60000","0","1","2","0","0","0","0","0","50000","1","40","30"
"ASK00836","血性狂暴","SIM00034","对纵向3列的敌人造成森属性的大量伤害+击退","4","150","3","SKT00014","0","0","0","6000","0","0","2","0","8","0","0","0","0","0","1","40","30"
"ASK00842","惟贤惟德","SIM00026","对菱形范围(12格)内的敌人造成火属性的大量伤害+中几率降低攻击力","1","150","2","SKT00007","0","3","0","6000","40000","0","2","2","0","0","0","0","0","0","1","40","30"
"ASK00848","龙胆突击","SIM00017","对十字范围(12格)内的敌人造成水属性的大量伤害+高机率降低防御力","2","150","4","SKT00001","0","11","0","6000","60000","0","3","2","0","0","0","0","0","50000","1","40","30"
"ASK00850","光之冲击","SIM00028","对全楼层(63格)造成雷属性的大量伤害并回复伤害量10%的生命","3","180","3","SKT00004","0","0","0","6000","0","10000","1","0","0","0","0","0","0","0","1","40","30"
"ASK00852","丰饶之惠","SIM00029","回复生命15%+1回合内玩家角色防御力增加为2倍","0","120","3","SKT00024","2","0","0","0","15000","0","0","1","0","0","0","0","0","200000","1","40","30"
"ASK00857","钢铁之星","SIM00034","对纵向3列的敌人造成火属性的大量伤害+击退","1","150","1","SKT00014","0","0","0","6000","0","0","2","0","8","0","0","0","0","0","1","40","30"
"ASK00859","凛冬将至","SIM00030","对斜十字范围(16格)内的敌人造成水属性英雄攻击力3倍的水属性伤害","2","150","2","SKT00022","0","0","3","0","0","0","2","0","0","0","0","0","0","0","1","40","30"
"ASK00867","魔能引导","SIM00029","1回合内因连锁而提升的队伍全体攻击力增加为3倍","0","150","2","SKT00019","3","0","0","0","0","0","0","1","0","0","0","0","0","300000","1","40","30"
"ASK00869","碧玉疾风","SIM00026","对菱形范围(12格)内的敌人造成森属性的大量伤害并回复伤害量20%的生命","4","150","3","SKT00016","0","0","0","6000","0","20000","2","0","0","0","0","0","0","0","1","40","30"
"ASK00893","元素掌握","SIM00030","对斜十字范围(16格)内的敌人造成雷属性的大量伤害","3","120","2","SKT00022","0","0","0","6000","0","0","2","0","0","0","0","0","0","0","1","40","30"
"ASK00894","元素冲击","SIM00031","对斜十字范围(24格)内的敌人造成雷属性的大量伤害","3","150","2","SKT00022","0","0","0","6000","0","0","3","0","0","0","0","0","0","0","1","40","40"
"ASK00912","阴恨之箭","SIM00027","对所有敌人造成敌人当前生命25%的伤害","2","150","3","SKT00004","0","0","0","0","0","0","1","0","0","0","25000","0","0","0","0","40","30"
"ASK00917","大地恩惠","SIM00033","将纵向1列的元素方块转换成森属性","4","120","3","SKT00028","0","0","0","0","0","0","8","0","0","0","0","0","0","0","1","0","1200"
"ASK00918","戏命之毒","SIM00033","对纵向1列的敌人造成水属性的中量伤害+高机率中毒","2","150","2","SKT00014","0","1","0","3500","60000","0","1","2","0","0","0","0","0","10000","1","40","30"
"ASK00919","骨之屏障","SIM00029","1回合内敌人的伤害全部变成1","0","90","1","SKT00012","2","0","0","0","0","0","0","1","0","0","0","0","0","99999999999","1","0","1200"
"ASK00940","燎原野火","SIM00029","2回合内火属性英雄的物理攻击力增加为2倍","1","120","3","SKT00019","9","0","0","0","0","0","0","2","0","0","0","0","0","200000","1","40","30"
"ASK00942","破晓之击","SIM00030","对斜十字范围(16格)内的敌人造成雷属性英雄攻击力3倍的雷属性伤害","3","150","3","SKT00022","0","0","3","0","0","0","2","0","0","0","0","0","0","0","1","40","30"
"ASK00944","奥术箭雨","SIM00027","对所有敌人造成敌人当前生命20%的伤害+低机率中毒","4","150","3","SKT00004","0","1","0","0","20000","0","1","2","0","0","20000","0","0","10000","0","40","30"
"ASK01084","燃火之地","SIM00021","周围（8格）元素方块转为火属性","1","120","3","SKT00033","0","0","0","0","0","0","1","0|1","0","0","0","0","0","0","0","0","1200"
