"number","name","level","color","description","hp","attack","defense","critical","missing","magic_power","craft_gold","craft_component1","craft_component_quantity1","craft_component2","craft_component_quantity2","craft_component3","craft_component_quantity3","craft_component4","craft_component_quantity4","craft_component5","craft_component_quantity5"
"EQP00016","老兵外套","12","1","别称“老司机外套”。","5","2","1","0","0","0","2400","MTR10024","3","MTR10030","2","","","","","",""
"EQP00017","食人魔结晶","13","1","今年送礼只送食人魔结晶。","3","1","0","0","0","2","2600","MTR10029","3","MTR10035","4","","","","","",""
"EQP00018","虔信手套","14","1","愿圣光与你同在。","4","2","0","0","0","2","2800","MTR10016","3","MTR10037","2","","","","","",""
"EQP00019","劈颅者","15","1","你想被我蛰一下吗？","3","5","0","0","0","0","3000","MTR10013","3","MTR10052","3","","","","","",""
"EQP00020","巨风","16","2","愿风指引你的道路。","5","7","0","0","0","0","4800","MTR10160","5","MTR10039","2","MTR10028","2","","","",""
"EQP00021","光环石锤","17","2","这把武器被用来当做橙斧的材料了。","2","8","0","0","0","1","5100","MTR10161","5","MTR10142","2","MTR10118","2","","","",""
"EQP00022","能量宝珠","18","2","听说有个自大的法师很喜欢它。","4","2","0","0","0","4","5400","MTR10162","5","MTR10112","2","MTR10026","2","","","",""
"EQP00023","迅捷动力腿","19","2","地精：“你想成为博尔特吗，穿上它试试。”","4","0","3","0","0","2","5700","MTR10163","5","MTR10273","3","MTR10028","2","","","",""
"EQP00024","智能动力腿","19","2","地精：“少年，你还在为考试发愁吗，穿上它逢考必过。”","0","3","1","0","0","4","5700","MTR10164","5","MTR10273","3","MTR10038","2","","","",""
"EQP00025","装甲动力腿","19","2","地精：“你想成为猛男吗？”结果只是一双鞋。","2","4","0","0","0","4","5700","MTR10165","5","MTR10273","3","MTR10036","2","","","",""
"EQP00026","船长瞄准镜","20","2","潮汐：Kunkka！","4","4","3","0","0","0","6000","MTR10166","5","MTR10090","1","MTR10263","3","","","",""
"EQP00027","巨人腰带","21","2","巨人的腰带，这真的穿上不会掉下来么。","17","0","2","0","0","0","6300","MTR10167","5","MTR10017","4","MTR10039","3","","","",""
"EQP00028","星月法杖","22","2","纳鲁没有忘记我们。","0","1","0","0","0","5","6600","MTR10168","5","MTR10027","2","MTR10142","4","","","",""
"EQP00029","银鳞胸甲","23","2","银鳞胸甲，五金一件。","17","0","2","0","0","0","6900","MTR10169","5","MTR10139","2","MTR10066","2","","","",""
"EQP00030","斩骨剑","24","2","多数时候被人借去当菜刀用。","0","10","0","0","0","0","7200","MTR10170","5","MTR10023","2","MTR10123","2","","","",""
"EQP00031","惩戒之力","25","2","自从有了惩戒之力打野特别快。","4","7","1","0","0","0","7500","MTR10171","8","MTR10127","1","MTR10053","5","","","",""
"EQP00032","混乱之力","25","2","不知道是神马东西，但是看起来很强大。","9","2","3","0","0","0","7500","MTR10172","8","MTR10148","1","MTR10053","5","","","",""
"EQP00033","时光之力","25","2","“掌握了时光之力，就可以穿梭时空。”","3","3","0","0","0","4","7500","MTR10173","8","MTR10136","1","MTR10053","5","","","",""
"EQP00034","先锋盾","25","2","打完这场仗，我就回老家结婚。","8","2","3","0","0","0","7500","MTR10174","5","MTR10154","2","MTR10124","2","","","",""
"EQP00035","巫毒图腾","26","2","你永远不知道，下一个神抽图腾是什么。","5","2","1","0","0","3","7800","MTR10175","5","MTR10031","2","MTR10014","5","","","",""
"EQP00036","地精炸弹 ","27","2","它可以炸掉你所有想炸的，呃和不想炸的东西。","4","3","0","0","0","4","8100","MTR10176","5","MTR10090","2","MTR10266","4","","","",""
"EQP00037","干净的礼服","28","2","真希望亡灵们也能穿上这样的衣服。而不是穿那些和身体一样破破烂烂的玩意。","0","7","1","0","0","1","8400","MTR10177","5","MTR10041","6","MTR10042","2","","","",""
"EQP00038","冥界指环","29","2","地精：“有了它！你就能制造自己的亡灵大军！”。","4","4","1","0","0","2","8700","MTR10178","5","MTR10259","3","","","","","",""
"EQP00039","库里法杖","30","2","Stephen's Magic。","2","2","0","0","0","5","9000","MTR10179","5","MTR10027","3","MTR10264","5","","","",""
"EQP00040","能量核心","31","2","内含巨大的能量，可是到底是谁丢的？","7","4","0","0","0","3","9300","MTR10180","5","MTR10112","4","MTR10022","2","","","",""
"EQP00041","酒吧凶器","32","2","就是个啤酒瓶。","0","12","0","0","0","0","9600","MTR10181","5","MTR10031","5","MTR10157","2","","","",""
"EQP00042","催眠之刃","33","2","希望拥有这把刀的男人，与希望有隐身能力的男人一样多。","0","5","1","0","0","3","9900","MTR10182","5","MTR10023","4","MTR10123","3","","","",""
"EQP00043","自动火炮","34","2","根本停不下来！","4","10","0","0","0","0","10200","MTR10183","5","MTR10145","2","MTR10089","3","","","",""
"EQP00044","飞行鞋","35","2","使用中如果爆炸，我可不负责!","10","4","2","0","0","0","10500","MTR10184","5","MTR10260","2","MTR10043","3","","","",""
"EQP00045","观察者之盾","36","2","是观察者不是偷窥者。","24","2","0","0","0","0","10800","MTR10185","5","MTR10036","3","MTR10133","2","","","",""
"EQP00046","恶魔长袍","37","2","我的魅魔呢？","0","0","1","0","0","7","11100","MTR10186","5","MTR10043","6","MTR10042","4","","","",""
"EQP00047","利齿项圈","38","2","到底用什么猛兽的牙齿组成的没人知道。","10","8","1","0","0","0","11400","MTR10187","5","MTR10157","3","MTR10022","3","","","",""
"EQP00048","真银圣剑","39","2","要看看我的“大保健”么？","5","9","0","0","0","1","11700","MTR10188","5","MTR10076","5","MTR10118","4","","","",""
"EQP00049","蓝龙套牌","40","2","南侬套牌，你值得拥有。","9","10","0","0","0","0","12000","MTR10189","5","MTR10003","7","MTR10151","2","","","",""
"EQP00050","虚空套牌","40","2","“虚空吞噬你。”不知道从哪里来的声音。","9","2","1","0","0","4","12000","MTR10190","5","MTR10005","7","MTR10139","2","","","",""
"EQP00051","漩涡套牌","40","2","跟漩涡鸣人真的没有关系。","5","5","1","0","0","3","12000","MTR10191","5","MTR10004","7","MTR10124","2","","","",""
"EQP00052","英雄套牌","40","2","一位曾经的英雄佩戴过的套牌，现在传到了你的手中。","5","10","1","0","0","0","12000","MTR10192","5","MTR10002","7","MTR10130","2","","","",""
"EQP00053","金鳞胸甲","41","2","喂，那边卖银鳞胸甲的，我先来的！。","4","0","4","0","0","4","12300","MTR10193","5","MTR10154","3","MTR10077","3","","","",""
"EQP00054","正义之手","42","2","正义会庇护着你，我的骑士。","2","14","0","0","0","0","12600","MTR10194","5","MTR10130","3","MTR10038","3","","","",""
"EQP00055","奥术秘典","43","2","里面都是不能给人看的小秘密。","2","0","0","0","0","8","12900","MTR10195","5","MTR10115","5","MTR10151","3","","","",""
"EQP00056","抗辐射装置","44","2","时间就是金钱，我的朋友。","0","9","0","0","0","4","13200","MTR10196","5","MTR10065","3","MTR10127","2","","","",""
"EQP00057","波纹剑","45","2","这是一把剑！","0","16","0","0","0","0","13500","MTR10197","5","MTR10148","3","MTR10145","3","","","",""
"EQP00058","毁灭项链","46","2","神铁打造，具有毁灭天地之能。","2","9","1","0","0","4","13800","MTR10198","5","MTR10259","5","MTR10089","1","","","",""
"EQP00059","灼热龙人盾","47","2","“为了红龙女王”。","15","0","2","0","0","4","14100","MTR10199","5","MTR10124","2","MTR10026","3","","","",""
"EQP00060","世界缩小器","48","2","牛头人：“天哪，你真高！”，侏儒：“嘿！这是我的台词！”。","17","7","0","0","0","2","14400","MTR10200","5","MTR10065","3","MTR10133","2","","","",""
"EQP00061","黑手印记","49","2","谁都知道“黑手”印记有什么效果。","12","13","0","0","0","0","14700","MTR10201","5","MTR10066","3","MTR10136","3","","","",""
"EQP00062","救世之环","50","3","欧洲的船票。","19","5","0","0","0","5","25000","MTR10202","5","MTR10134","3","MTR10152","2","MTR10055","2","",""
"EQP00063","奥金斧","51","3","为了大酋长！Lok'Tarogar!。","10","20","0","0","0","0","25500","MTR10203","8","MTR10125","2","MTR10158","2","MTR10056","2","",""
"EQP00064","三一护符","52","3","穿上它，为你塑造完美身材。","7","7","2","0","0","7","26000","MTR10204","5","MTR10152","3","MTR10149","2","MTR10146","1","",""
"EQP00065","寡妇制造者","52","3","此武器号称小蛋刀，传说当年伊利丹用它来刺杀玛法里奥。","10","21","0","0","0","0","26000","MTR10205","5","MTR10158","3","MTR10055","3","MTR10262","5","",""
"EQP00066","无敌腰带","53","3","千万不要在危急时刻使用它！","34","11","0","0","0","0","26500","MTR10206","5","MTR10121","3","MTR10113","2","MTR10091","2","",""
"EQP00067","月布长袍","54","3","“这是送给女神的礼物。”","9","2","1","0","0","10","27000","MTR10207","5","MTR10113","3","MTR10047","2","MTR10044","4","",""
"EQP00068","白虎之怒","55","3","迎接白虎的愤怒吧，不是白喵。","7","5","2","0","0","9","27500","MTR10208","10","MTR10009","5","MTR10079","4","MTR10047","3","",""
"EQP00069","巨魔的裁决","55","3","巨魔的品位。","22","17","0","0","0","0","27500","MTR10209","8","MTR10131","7","MTR10121","3","MTR10069","2","",""
"EQP00070","青龙之息","55","3","要想佩戴它，要先得到青龙的认可。","30","5","0","0","0","5","27500","MTR10210","10","MTR10010","5","MTR10069","3","MTR10056","3","",""
"EQP00071","玄武之韧","55","3","防御力很强，但其实是个龟壳。","5","3","11","0","0","0","27500","MTR10211","10","MTR10008","5","MTR10100","2","MTR10068","1","",""
"EQP00072","朱雀之仁","55","3","“生活不止眼前的苟且，还有诗跟远方。”","0","7","1","0","0","11","27500","MTR10212","10","MTR10007","5","MTR10067","5","MTR10078","2","",""
"EQP00073","强袭装甲","56","3","光环呢！","5","17","4","0","0","0","28000","MTR10213","8","MTR10155","2","MTR10068","2","MTR10046","4","",""
"EQP00003","暴击猎枪","57","3","虽然叫暴击猎枪但是不加暴击。","0","27","0","0","0","0","28500","MTR10214","8","MTR10091","3","MTR10092","2","MTR10093","2","",""
"EQP00074","恶魔系带","57","3","恶魔也是需要腰带的。","15","15","0","0","0","4","28500","MTR10215","8","MTR10131","7","MTR10078","3","MTR10125","1","",""
"EQP00075","冰刺长矛","58","3","为奥特兰克而战。","6","23","1","0","0","0","29000","MTR10216","8","MTR10128","2","MTR10143","6","MTR10021","7","",""
"EQP00076","月神祝福","59","3","黑海岸的爱情故事和月神之光的亲情故事一直是我最难忘的感动。","11","2","0","0","0","13","29500","MTR10217","8","MTR10116","2","MTR10101","5","MTR10134","3","",""
"EQP00077","碧空长歌","60","3","地球时代的第一把法伤剑。","7","0","0","0","0","15","30000","MTR10218","8","MTR10102","10","MTR10116","3","MTR10055","4","",""
"EQP00078","至尊二戒","61","3","你有鱼竿么?不管怎么说，它可比至尊一戒强多了。","5","7","0","0","0","12","30500","MTR10219","8","MTR10054","1","MTR10100","3","MTR10146","2","",""
"EQP00079","救赎","62","3","这把法杖是生前他所爱之人，留下的。","9","11","7","0","0","0","31000","MTR10220","8","MTR10116","4","MTR10119","2","MTR10054","2","",""
"EQP00080","灵魂之书","63","3","你要小心那些活着的家伙。","4","3","1","0","0","14","31500","MTR10221","8","MTR10140","2","MTR10265","6","MTR10006","5","",""
"EQP00081","粉碎之力","64","3","粉碎之力，砸核桃有力。","5","29","1","0","0","0","32000","MTR10222","8","MTR10056","4","MTR10093","2","MTR10125","3","",""
"EQP00082","氪金重枪","65","3","有钱，任性！","18","25","0","0","0","0","32500","MTR10223","8","MTR10155","3","MTR10091","2","MTR10092","3","",""
"EQP00083","氪金圣剑","66","3","excaliburrrrr！","14","14","0","0","0","9","33000","MTR10224","8","MTR10054","3","MTR10137","2","MTR10158","3","",""
"EQP00084","兄弟会之剑","67","3","兄弟会之剑一出，从此再无兄弟。","19","7","5","0","0","6","33500","MTR10225","8","MTR10149","3","MTR10119","3","MTR10113","4","",""
"EQP00085","蛇杖","68","3","你可以额外召唤一只多头蛇。","0","12","2","0","0","12","34000","MTR10226","8","MTR10025","7","MTR10069","4","MTR10068","3","",""
"EQP00086","背叛者眼罩","69","3","这个眼罩中埋藏着无尽的悔恨，痛苦与背叛。","23","7","0","0","0","12","34500","MTR10227","8","MTR10137","3","MTR10140","3","MTR10128","3","",""
"EQP00087","不动之印","70","4","1，2，3，不准动！","4","12","18","0","0","0","63000","MTR10228","12","MTR10051","5","MTR10105","5","MTR10063","5","MTR10147","6"
"EQP00088","全见者","70","4","我就不说我是大师的作品。","0","0","0","500","500","0","63000","MTR10229","12","MTR10085","2","MTR10103","8","MTR10063","5","MTR10141","8"
"EQP00089","岩石之心","70","4","嗯，不知道有没有心跳声。","72","11","2","0","0","0","63000","MTR10230","12","MTR10080","3","MTR10107","3","MTR10063","5","MTR10126","8"
"EQP00090","饮血者","70","4","德古拉先生的日常饮料。","12","13","0","0","500","0","63000","MTR10231","12","MTR10107","4","MTR10084","2","MTR10063","5","MTR10150","6"
"EQP00091","永恒之赐","70","4","希曼啊，赐予我力量吧！","11","0","0","0","500","7","63000","MTR10232","12","MTR10080","5","MTR10081","3","MTR10063","5","MTR10159","8"
"EQP00092","急性鞋 ","71","4","穿上这双鞋子的人，都感觉时间变慢了，而实际上是他们变快了。","12","5","9","0","0","10","63900","MTR10233","12","MTR10094","2","MTR10070","3","MTR10096","2","MTR10074","3"
"EQP00093","赛特圣甲虫","72","4","他保护沙漠中的商队，但同时又发起沙暴袭击他们。","34","18","7","0","0","0","64800","MTR10234","12","MTR10156","2","MTR10034","2","MTR10048","4","MTR10075","4"
"EQP00094","罗克迪手杖","73","4","只有与恶魔奋战的勇士，才有资格使用他们留下的武器。","11","0","0","0","0","24","65700","MTR10235","12","MTR10095","3","MTR10050","4","MTR10117","7","MTR10072","5"
"EQP00095","毁灭利刃","74","4","当有人把它拿在手中，不管是否愿意，世界终将走向灭亡。","0","4","0","1000","0","0","66600","MTR10236","12","MTR10060","5","MTR10082","5","MTR10049","10","MTR10033","5"
"EQP00096","荷鲁斯之眼","75","4","神明的庇佑与至高无上的君权。","7","7","1","500","0","4","67500","MTR10237","12","MTR10097","4","MTR10086","3","MTR10135","3","",""
"EQP00097","咒逐","76","4","召唤祈福。","4","12","1","0","0","19","68400","MTR10238","15","MTR10050","6","MTR10122","6","MTR10114","8","MTR10111","10"
"EQP00098","灰烬使者","77","4","灰烬使者死了，这个名号将不再属于除他以外的任何人。","0","6","0","1000","0","0","69300","MTR10239","15","MTR10051","6","MTR10061","5","MTR10084","8","MTR10120","10"
"EQP00099","所罗门宝藏","78","4","无尽的怨恨与愤怒，却仍有太多人对他抱有贪婪之心。","17","0","1","0","0","22","70200","MTR10240","15","MTR10270","5","MTR10096","3","MTR10095","5","",""
"EQP00100","赫尔神使杖","79","4","拥有它的人能成为，穿越边界的旅行者。","7","3","1","0","0","24","71100","MTR10241","15","MTR10083","6","MTR10271","10","MTR10061","8","MTR10058","5"
"EQP00101","尼伯龙根","79","4","获得这枚戒指的途径只有两条，要么被龙族选择要么死后进入那个世界。","20","41","0","0","0","0","71100","MTR10242","15","MTR10081","4","MTR10085","4","MTR10109","3","MTR10034","3"
"EQP00102","朗基姆斯","80","4","这把枪被冠有刺神枪之名。","24","12","0","0","0","17","72000","MTR10243","20","MTR10083","8","MTR10129","6","MTR10059","15","MTR10057","12"
"EQP00103","欧西里天平","81","4","或左或右的倾斜，确定了即将到来的命运。","17","17","0","0","0","17","72900","MTR10244","20","MTR10135","4","MTR10129","8","MTR10109","4","MTR10094","5"
"EQP00104","誓约胜利剑","82","4","只有被选中的人，才能拔出它。","41","31","2","0","0","0","73800","MTR10245","20","MTR10108","12","MTR10132","8","MTR10082","8","MTR10032","12"
"EQP00105","美杜莎之盾","83","4","所有妄想对这盾牌发起攻击的人，都已经石化了。","34","0","16","0","0","4","74700","MTR10246","20","MTR10073","30","MTR10071","30","MTR10062","12","MTR10153","12"
"EQP00106","雷神之锤","84","4","只有被认可的人，才能使用这把锤子。","25","25","1","0","0","12","75600","MTR10247","20","MTR10058","8","MTR10086","10","MTR10104","15","",""
"EQP00107","炎魔之锤","85","4","火焰之王面前，人人平等。","12","18","4","0","0","17","76500","MTR10248","20","MTR10032","15","MTR10033","8","MTR10272","10","MTR10268","13"
"EQP00108","奶锤","85","4","创造之力在这把武器中流动。","27","11","1","0","0","21","76500","MTR10249","20","MTR10270","3","MTR10110","20","MTR10120","10","MTR10105","10"
"EQP00109","雷霆之怒","86","4","英雄，愿你有一份不悔的爱情。","7","36","3","0","0","10","77400","MTR10250","20","MTR10057","10","MTR10059","25","MTR10098","30","",""
"EQP00110","守护传说杖","86","4","制造一个传送门，将穿越它的队友传送到。","17","2","2","500","500","11","77400","MTR10251","20","MTR10132","8","MTR10144","10","MTR10267","5","MTR10147","8"
"EQP00111","群星之怒","87","4","太阳的能量流遍全身。","10","4","2","0","0","31","78300","MTR10252","20","MTR10135","5","MTR10108","10","MTR10099","25","MTR10087","30"
"EQP00112","蛋刀","88","4","你们永远也得不到另一把！","0","4","3","0","1000","0","79200","MTR10253","20","MTR10138","25","MTR10106","30","MTR10110","25","MTR10267","15"
"EQP00113","龙之父","88","4","他们想将被我握在掌中，并且盯紧我。","8","6","0","1000","0","0","79200","MTR10254","20","MTR10156","12","MTR10060","25","MTR10150","6","MTR10269","30"
"EQP00114","橙斧","89","4","熔炉整夜燃烧，鼓风机不知停息。","13","67","1","0","0","1","80100","MTR10255","20","MTR10141","8","MTR10062","15","MTR10097","8","MTR10126","8"
"EQP00115","蓝龙寄魂杖","89","4","除了拥有强大的力量，英雄们也能通过这柄法杖，化身为蓝龙的幻影。","9","5","0","500","500","14","80100","MTR10256","20","MTR10153","15","MTR10144","9","MTR10117","7","MTR10122","8"
