"id","monster_id","name","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_piece","drop_piece_number","drop_level"
"EEN02031","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","34","","","","","","","","",""
"EEN02032","MON10070","火重火炮","0","MAI00006","1","AAI00110","2","","","","6","99","1001","100000","0","100000","0","3","-1","-1","1","9","","","","","","","","",""
"EEN02033","MON10070","火重火炮","0","MAI00006","1","AAI00110","2","","","","6","99","1001","100000","0","100000","0","3","-1","-1","1","10","","","","","","","","",""
"EEN02034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02036","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","26","MTR10077","100000","","","","","","",""
"EEN02037","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","29","","","","","","","","",""
"EEN02038","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","29","","","","","","","","",""
"EEN02039","MON10068","火灵兔","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1072","99","1","229","0","100000","0","3","-1","-1","1","11","","","","","","","","",""
"EEN02040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02041","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","29","","","","","","","","",""
"EEN02042","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","34","","","","","","","","",""
"EEN02043","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","26","","","","","","","","",""
"EEN02044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02046","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","33","MTR10193","100000","","","","","","",""
"EEN02047","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","35","","","","","","","","",""
"EEN02048","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02051","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","36","MTR10151","100000","","","","","","",""
"EEN02052","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","30","","","","","","","","",""
"EEN02053","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","39","","","","","","","","",""
"EEN02054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02056","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","26","","","","","","","","",""
"EEN02057","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","29","","","","","","","","",""
"EEN02058","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","32","","","","","","","","",""
"EEN02059","MON10051","燃烧南瓜","0","MAI00005","2","AAI00002","1","","","","6","99","1148","4500","0","100000","0","3","-1","-1","1","12","PUM10001","50000","STS00001","50000","","","","",""
"EEN02060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02061","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","36","MTR10133","100000","","","","","","",""
"EEN02062","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02063","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","36","","","","","","","","",""
"EEN02064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02066","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","29","","","","","","","","",""
"EEN02067","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","26","","","","","","","","",""
"EEN02068","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02071","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","32","MTR10194","100000","","","","","","",""
"EEN02072","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","35","","","","","","","","",""
"EEN02073","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","32","","","","","","","","",""
"EEN02074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02076","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","37","MTR10115","100000","","","","","","",""
"EEN02077","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","30","","","","","","","","",""
"EEN02078","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","30","","","","","","","","",""
"EEN02079","MON10068","火灵兔","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1072","99","1","229","0","100000","0","3","-1","-1","1","11","","","","","","","","",""
"EEN02080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02081","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","36","","","","","","","","",""
"EEN02082","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","37","","","","","","","","",""
"EEN02083","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","38","","","","","","","","",""
"EEN02084","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02086","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","31","MTR10195","100000","","","","","","",""
"EEN02087","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","25","","","","","","","","",""
"EEN02088","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","32","","","","","","","","",""
"EEN02089","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","28","","","","","","","","",""
"EEN02090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02091","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","28","","","","","","","","",""
"EEN02092","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","29","","","","","","","","",""
"EEN02093","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02094","MON10051","燃烧南瓜","0","MAI00005","2","AAI00002","1","","","","6","99","1148","4500","0","100000","0","3","-1","-1","1","11","PUM10001","50000","STS00001","50000","","","","",""
"EEN02095","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02096","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","28","MTR10196","100000","","","","","","",""
"EEN02097","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02098","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","32","","","","","","","","",""
"EEN02099","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","26","","","","","","","","",""
"EEN02100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02101","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","31","MTR10197","100000","","","","","","",""
"EEN02102","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","26","","","","","","","","",""
"EEN02103","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","35","","","","","","","","",""
"EEN02104","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","29","","","","","","","","",""
"EEN02105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02106","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02107","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","33","","","","","","","","",""
"EEN02108","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","30","","","","","","","","",""
"EEN02109","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","29","","","","","","","","",""
"EEN02110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02111","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","35","MTR10065","100000","","","","","","",""
"EEN02112","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","32","","","","","","","","",""
"EEN02113","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","27","","","","","","","","",""
"EEN02114","MON10051","燃烧南瓜","0","MAI00005","2","AAI00002","1","","","","6","99","1148","4500","0","100000","0","3","-1","-1","1","12","PUM10001","50000","STS00001","50000","","","","",""
"EEN02115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02116","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02117","MON10001","火元素","0","MAI00005","1","AAI00002","1","","","","2288","99","965","114","0","100000","0","3","-1","-1","1","36","","","","","","","","",""
"EEN02118","MON10005","燃烧蝙蝠","0","MAI00005","3","AAI00002","1","","","","1788","99","1251","29","0","100000","0","3","-1","-1","1","32","","","","","","","","",""
"EEN02119","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","31","","","","","","","","",""
"EEN02120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02121","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","28","MTR10198","100000","","","","","","",""
"EEN02122","MON10008","燃烧猫头鹰","0","MAI00005","2","AAI00029","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","1","27","","","","","","","","",""
"EEN02123","MON10007","狂怒的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","786","99","2788","0","0","100000","0","3","-1","-1","1","34","","","","","","","","",""
"EEN02124","MON10003","狂怒矿工","0","MAI00005","2","AAI00002","1","","","","1573","99","1359","0","0","100000","0","3","-1","-1","1","28","","","","","","","","",""
"EEN02125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02126","MON10002","强力火元素","1","MAI00005","2","AAI00002","1","","","","23241","99","1572","515","0","100000","0","3","-1","-1","1","248","MTR00003","100000","","","","","","",""
"EEN02127","MON10054","卡尔","1","MAI00006|MAI00005|MAI00006","1|1|1","AAI00018|AAI00019|AAI00018","1|1|1","ACT00001","33000","0","44701","99","2575","486","0","100000","0","3","-1","-1","1","454","MTR00006","100000","","","","","MOP10001","1",""
"EEN02128","MON10015","龙人暴怒者","1","MAI00005","2","AAI00010","1","","","","18802","99","2217","687","0","100000","0","3","-1","-1","1","225","MTR00003","100000","","","","","","",""
"EEN02129","MON10010","迪菲亚女法师","1","MAI00006","2","AAI00003","1","","","0","17873","99","1966","172","0","100000","0","3","-1","-1","1","175","MTR00003","100000","","","","","","",""
"EEN02130","MON10060","蛋总","1","MAI00005|MAI00005|MAI00005","2|2|2","AAI00007|AAI00036|AAI00007","1|1|1","ACT00001","33000","0","41485","99","2574","172","0","100000","0","3","-1","-1","1","485","MTR00008","100000","","","","","MOP10009","1",""
"EEN02131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN02150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03001","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","29","MTR10043","100000","","","","","","",""
"EEN03002","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","27","","","","","","","","",""
"EEN03003","MON20003","冷酷矿工","0","MAI00005","2","AAI00002","1","","","","1391","99","1198","0","0","100000","0","3","-1","-1","2","28","","","","","","","","",""
"EEN03004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03006","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","29","","","","","","","","",""
"EEN03007","MON20007","冷酷的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","733","99","2547","0","0","100000","0","3","-1","-1","2","28","","","","","","","","",""
"EEN03008","MON20007","冷酷的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","733","99","2547","0","0","100000","0","3","-1","-1","2","33","","","","","","","","",""
"EEN03009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03011","MON20005","冰冷蝙蝠","0","MAI00005","3","AAI00002","1","","","","1547","99","1120","23","0","100000","0","3","-1","-1","2","25","MTR10185","100000","","","","","","",""
"EEN03012","MON20069","水小恶魔","0","MAI00005","2","AAI00002","2","","","","1701","99","1352","47","0","100000","0","3","-1","-1","2","33","","","","","","","","",""
"EEN03013","MON20069","水小恶魔","0","MAI00005","2","AAI00002","2","","","","1701","99","1352","47","0","100000","0","3","-1","-1","2","33","","","","","","","","",""
"EEN03014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03016","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","24","","","","","","","","",""
"EEN03017","MON20005","冰冷蝙蝠","0","MAI00005","3","AAI00002","1","","","","1547","99","1120","23","0","100000","0","3","-1","-1","2","26","","","","","","","","",""
"EEN03018","MON20007","冷酷的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","733","99","2547","0","0","100000","0","3","-1","-1","2","37","","","","","","","","",""
"EEN03019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03021","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","26","MTR10136","100000","","","","","","",""
"EEN03022","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","29","","","","","","","","",""
"EEN03023","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","25","","","","","","","","",""
"EEN03024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03026","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","27","MTR10186","100000","","","","","","",""
"EEN03027","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","28","","","","","","","","",""
"EEN03028","MON20003","冷酷矿工","0","MAI00005","2","AAI00002","1","","","","1391","99","1198","0","0","100000","0","3","-1","-1","2","29","","","","","","","","",""
"EEN03029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03031","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","24","","","","","","","","",""
"EEN03032","MON20070","水重火炮","0","MAI00006","1","AAI00111","2","","","","6","99","889","100000","0","100000","0","3","-1","-1","2","9","","","","","","","","",""
"EEN03033","MON20070","水重火炮","0","MAI00006","1","AAI00111","2","","","","6","99","889","100000","0","100000","0","3","-1","-1","2","9","","","","","","","","",""
"EEN03034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03036","MON20005","冰冷蝙蝠","0","MAI00005","3","AAI00002","1","","","","1547","99","1120","23","0","100000","0","3","-1","-1","2","26","MTR10259","100000","","","","","","",""
"EEN03037","MON20003","冷酷矿工","0","MAI00005","2","AAI00002","1","","","","1391","99","1198","0","0","100000","0","3","-1","-1","2","24","","","","","","","","",""
"EEN03038","MON20003","冷酷矿工","0","MAI00005","2","AAI00002","1","","","","1391","99","1198","0","0","100000","0","3","-1","-1","2","25","","","","","","","","",""
"EEN03039","MON20068","水灵兔","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","966","99","1","186","0","100000","0","3","-1","-1","2","10","","","","","","","","",""
"EEN03040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03041","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","30","","","","","","","","",""
"EEN03042","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","27","","","","","","","","",""
"EEN03043","MON20008","冰冷猫头鹰","0","MAI00005","2","AAI00030","1","","","","1701","99","849","0","0","100000","0","3","-1","-1","2","23","","","","","","","","",""
"EEN03044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03046","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","32","MTR10187","100000","","","","","","",""
"EEN03047","MON20005","冰冷蝙蝠","0","MAI00005","3","AAI00002","1","","","","1547","99","1120","23","0","100000","0","3","-1","-1","2","25","","","","","","","","",""
"EEN03048","MON20005","冰冷蝙蝠","0","MAI00005","3","AAI00002","1","","","","1547","99","1120","23","0","100000","0","3","-1","-1","2","28","","","","","","","","",""
"EEN03049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03051","MON20007","冷酷的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","733","99","2547","0","0","100000","0","3","-1","-1","2","34","MTR10076","100000","","","","","","",""
"EEN03052","MON20001","水元素","0","MAI00005","1","AAI00002","1","","","","2010","99","850","93","0","100000","0","3","-1","-1","2","27","","","","","","","","",""
"EEN03053","MON20007","冷酷的奥格瑞玛步兵","0","MAI00005","1","AAI00001","1","","","","733","99","2547","0","0","100000","0","3","-1","-1","2","32","","","","","","","","",""
"EEN03054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEN03055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
