"id","area_id","name","sub_name","sub_disp_name","attribute","lost_block_attribute","integrate_release_condition","next_dungeon_id1","next_dungeon_id2","next_dungeon_id3","next_dungeon_id4","stamina","floor_count","reward_stone_type","reward_stone_free","boss_bgm","guerilla_boss_bgm","daily_limit","sync_id","max_skip_ticket","skip_drop_rate","boss_icon1","boss_icon2","material_drop1","material_drop2","material_drop3","material_drop4","quest1","quest2","quest3"
"NMD00024","NMA00006","5-1 古怪的要塞","","2015/6/1","1|2|3|4","0","","NMD00025","","","","6","3","","","","","","SYD0024","1","33333","MON30028","MON40028","MTR00005","MTR10038","MTR10180","MTR10139","DSR12002","DSR07009","DSR14004"
"NMD00025","NMA00006","5-2 龙人乱舞","","2015/6/2","1|2|3|4","0","","NMD00026","","","","6","3","","","","","","SYD0025","1","33333","MON10015","MON30015","MTR00009","MTR10181","MTR10026","MTR10042","DSR12002","DSR07009","DSR14004"
"NMD00026","NMA00006","5-3 秘法交锋","","2015/6/3","1|2|3|4","0","","NMD00027","","","","6","3","","","","","","SYD0026","1","33333","MON10010","MON20010","MTR00006","MTR10154","MTR10182","MTR10183","DSR12002","DSR07009","DSR14004"
"NMD00027","NMA00006","5-4 魔法对抗","","2015/6/4","1|2|3|4","0","","NMD00028","","","","6","3","","","","","","SYD0027","1","33333","MON30067","MON40010","MTR00012","MTR10127","MTR10022","MTR10148","DSR12002","DSR07009","DSR14004"
"NMD00028","NMA00006","5-5 远古的恐怖","","2015/6/5","1|2|3|4","0","","NMD00044","","","","6","3","","","","","","SYD0028","2","25000","MON30038","","MTR00013","MTR10157","MTR10184","MTR10260","DSR12003","DSR07009","DSR14004"
"NMD00044","NMA00010","6-1 无尽的骷髅","","2016/7/1","4","0","","NMD00045","","","","6","3","","","","","","SYD0044","1","33333","MON40010","","MTR00001","MTR10066","MTR10124","MTR10043","DSR06002","DSR09002","DSR15002"
"NMD00045","NMA00010","6-2 来到丛林","","2016/7/2","4","0","","NMD00046","","","","6","3","","","","","","SYD0045","1","33333","MON40073","","MTR00001","MTR10185","MTR10136","MTR10186","DSR06002","DSR09002","DSR15002"
"NMD00046","NMA00010","6-3 密林看守","","2016/7/3","4","0","","NMD00047","","","","6","3","","","","","","SYD0046","1","33333","MON40028","","MTR00001","MTR10259","MTR10187","MTR10076","DSR06002","DSR09002","DSR15002"
"NMD00047","NMA00010","6-4 危机四伏","","2016/7/4","4","0","","NMD00048","","","","6","3","","","","","","SYD0047","1","33333","MON40057","","MTR00010","MTR10188","MTR10145","MTR10089","DSR06002","DSR09002","DSR15002"
"NMD00048","NMA00010","6-5 对决熊猫人","","2016/7/5","4","0","","NMD00039","","","","6","3","","","","","","SYD0048","2","25000","MON40064","","MTR00012","MTR10002","MTR10003","MTR10004","DSR06003","DSR09003","DSR15003"
"NMD00039","NMA00009","7-1 沙尘暴","","2016/8/1","3","0","","NMD00040","","","","6","3","","","","","","SYD0039","1","33333","MON30010","","MTR00004","MTR10005","MTR10189","MTR10190","DSR05002","DSR08002","DSR09009"
"NMD00040","NMA00009","7-2 无声的沙漠","","2016/8/2","3","0","","NMD00041","","","","6","3","","","","","","SYD0040","1","33333","MON30038","","MTR00004","MTR10191","MTR10192","MTR10130","DSR05002","DSR08002","DSR09009"
"NMD00041","NMA00009","7-3 看门的傀儡","","2016/8/3","3","0","","NMD00042","","","","6","3","","","","","","SYD0041","1","33333","MON30028","","MTR00004","MTR10077","MTR10193","MTR10151","DSR05002","DSR08002","DSR09009"
"NMD00042","NMA00009","7-4 魔法的流沙","","2016/8/4","3","0","","NMD00043","","","","6","3","","","","","","SYD0042","1","33333","MON30067","","MTR00012","MTR10133","MTR10194","MTR10115","DSR05002","DSR08002","DSR09009"
"NMD00043","NMA00009","7-5 救世的使命","","2016/8/5","3","0","","NMD00034","","","","6","3","","","","","","SYD0043","2","25000","MON30057","","MTR00006","MTR10195","MTR10196","MTR10197","DSR05002","DSR08002","DSR09009"
"NMD00034","NMA00008","8-1 腥臭洞穴","","2016/9/1","2","0","","NMD00035","","","","6","3","","","","","","SYD0034","1","33333","MON20010","","MTR00002","MTR10065","MTR10198","MTR10199","DSR11003","DSR14003","DSR04003"
"NMD00035","NMA00008","8-2 无面者","","2016/9/2","2","0","","NMD00036","","","","6","3","","","","","","SYD0035","1","33333","MON20073","","MTR00002","MTR10200","MTR10201","MTR10202","DSR11003","DSR14003","DSR04003"
"NMD00036","NMA00008","8-3 无情的傀儡","","2016/9/3","2","0","","NMD00037","","","","6","3","","","","","","SYD0036","1","33333","MON20028","","MTR00002","MTR10152","MTR10203","MTR10204","DSR11003","DSR14003","DSR04003"
"NMD00037","NMA00008","8-4 前往深处","","2016/9/4","2","0","","NMD00038","","","","6","3","","","","","","SYD0037","1","33333","MON20054","","MTR00005","MTR10205","MTR10262","MTR10206","DSR11003","DSR14003","DSR04003"
"NMD00038","NMA00008","8-5 冰奥的秘密","","2016/9/5","2","0","","NMD00029","","","","6","3","","","","","","SYD0038","2","25000","MON20065","","MTR00007","MTR10121","MTR10044","MTR10207","DSR11003","DSR14003","DSR04003"
"NMD00029","NMA00007","9-1 深渊入口","","2016/10/1","1","0","","NMD00030","","","","6","3","","","","","","SYD0029","1","33333","MON10010","","MTR00003","MTR10134","MTR10047","MTR10055","DSR12003","DSR09010","DSR13004"
"NMD00030","NMA00007","9-2 移动的火山","","2016/10/2","1","0","","NMD00031","","","","6","3","","","","","","SYD0030","1","33333","MON10073","","MTR00003","MTR10007","MTR10008","MTR10009","DSR12003","DSR09010","DSR13004"
"NMD00031","NMA00007","9-3 灼热的熔岩","","2016/10/3","1","0","","NMD00032","","","","6","3","","","","","","SYD0031","1","33333","MON10028","","MTR00003","MTR10010","MTR10067","MTR10079","DSR12003","DSR09010","DSR13004"
"NMD00032","NMA00007","9-4 暗影刺客","","2016/10/4","1","0","","NMD00033","","","","6","3","","","","","","SYD0032","1","33333","MON10065","","MTR00008","MTR10208","MTR10209","MTR10210","DSR12003","DSR09010","DSR13004"
"NMD00033","NMA00007","9-5 暴君之治","","2016/10/5","1","0","","NMD00049","","","","6","3","","","","","","SYD0033","2","25000","MON10057","","MTR00009","MTR10211","MTR10212","MTR10078","DSR12003","DSR09010","DSR13004"
"NMD00049","NMA00011","10-1 战争狂","","2016/11/1","1|2|3|4","0","","NMD00050","","","","6","3","","","","","","SYD0049","1","33333","MON10057","","MTR00011","MTR10131","MTR10046","MTR10213","DSR06004","DSR10002","DSR14004"
"NMD00050","NMA00011","10-2 暴风雪","","2016/11/2","1|2|3|4","0","","NMD00051","","","","6","3","","","","","","SYD0050","1","33333","MON20063","","MTR00012","MTR10146","MTR10214","MTR10215","DSR06004","DSR10002","DSR14004"
"NMD00051","NMA00011","10-3 元素嘶吼","","2016/11/3","1|2|3|4","0","","NMD00052","","","","6","3","","","","","","SYD0051","1","33333","MON30057","","MTR00013","MTR10056","MTR10125","MTR10100","DSR06004","DSR10002","DSR14004"
"NMD00052","NMA00011","10-4 守护秘密","","2016/11/4","1|2|3|4","0","","NMD00053","","","","6","3","","","","","","SYD0052","1","33333","MON40064","","MTR00005","MTR10021","MTR10143","MTR10216","DSR06004","DSR10002","DSR14004"
"NMD00053","NMA00011","10-5 大地的暗影","","2016/11/5","1|2|3|4","0","","NMD00069","","","","6","3","","","","","","SYD0053","2","25000","MON30076","","MTR00013","MTR10158","MTR10091","MTR10101","DSR06004","DSR10002","DSR14004"
"NMD00069","NMA00015","11-1 自然的审判","","2016/12/1","4","0","","NMD00070","","","","6","3","","","","","","SYD0069","1","33333","MON40073","","MTR00001","MTR10217","MTR10149","MTR10113","DSR11004","DSR08001","DSR13004"
"NMD00070","NMA00015","11-2 寂静的森林","","2016/12/2","4","0","","NMD00071","","","","6","3","","","","","","SYD0070","1","33333","MON40028","","MTR00001","MTR10102","MTR10218","MTR10155","DSR11004","DSR08001","DSR13004"
"NMD00071","NMA00015","11-3 野兽之心","","2016/12/3","4","0","","NMD00072","","","","6","3","","","","","","SYD0071","1","33333","MON40062","MON40010","MTR00001","MTR10093","MTR10116","MTR10092","DSR11004","DSR08001","DSR13004"
"NMD00072","NMA00015","11-4 迷雾深处","","2016/12/4","4","0","","NMD00073","","","","6","3","","","","","","SYD0072","1","33333","MON40060","MON40008","MTR00012","MTR10219","MTR10068","MTR10069","DSR11004","DSR08001","DSR13004"
"NMD00073","NMA00015","11-5 面具仪式","","2016/12/5","4","0","","NMD00064","","","","6","3","","","","","","SYD0073","2","25000","MON40055","","MTR00010","MTR10220","MTR10006","MTR10221","DSR11004","DSR08001","DSR13004"
"NMD00064","NMA00014","12-1 野兽半神","","2016/1/13","3","0","","NMD00065","","","","6","3","","","","","","SYD0064","1","33333","MON30038","","MTR00004","MTR10265","MTR10128","MTR10054","DSR12004","DSR04003","DSR06003"
"NMD00065","NMA00014","12-2 守门人","","2016/2/13","3","0","","NMD00066","","","","6","3","","","","","","SYD0065","1","33333","MON30028","","MTR00004","MTR10222","MTR10119","MTR10223","DSR12004","DSR04003","DSR06003"
"NMD00066","NMA00014","12-3 奥术充能","","2016/3/13","3","0","","NMD00067","","","","6","3","","","","","","SYD0066","1","33333","MON30060","MON30010","MTR00004","MTR10140","MTR10224","MTR10225","DSR12004","DSR04003","DSR06003"
"NMD00067","NMA00014","12-4 元素结界","","2016/4/13","3","0","","NMD00068","","","","6","3","","","","","","SYD0067","1","33333","MON30058","MON30008","MTR00005","MTR10137","MTR10025","MTR10226","DSR12004","DSR04003","DSR06003"
"NMD00068","NMA00014","12-5 光之大法师","","2016/5/13","3","0","","NMD00059","","","","6","3","","","","","","SYD0068","2","25000","MON30055","","MTR00012","MTR10227","MTR10063","MTR10080","DSR12004","DSR04003","DSR06003"
"NMD00059","NMA00013","13-1 古神的触须","","2016/1/14","2","0","","NMD00060","","","","6","3","","","","","","SYD0059","1","33333","MON20073","","MTR00002","MTR10103","MTR10107","MTR10159","DSR11005","DSR10001","DSR04004"
"NMD00060","NMA00013","13-2 墓地守护者","","2016/2/14","2","0","","NMD00061","","","","6","3","","","","","","SYD0060","1","33333","MON20028","","MTR00002","MTR10228","MTR10229","MTR10230","DSR11005","DSR10001","DSR04004"
"NMD00061","NMA00013","13-3 王子的援助","","2016/3/14","2","0","","NMD00062","","","","6","3","","","","","","SYD0061","1","33333","MON20055","MON20010","MTR00002","MTR10231","MTR10232","MTR10070","DSR11005","DSR10001","DSR04004"
"NMD00062","NMA00013","13-4 寒风的低语","","2016/4/14","2","0","","NMD00063","","","","6","3","","","","","","SYD0062","1","33333","MON20061","MON20008","MTR00006","MTR10074","MTR10233","MTR10048","DSR11005","DSR10001","DSR04004"
"NMD00063","NMA00013","13-5 被遗忘者","","2016/5/14","2","0","","NMD00054","","","","6","3","","","","","","SYD0063","2","25000","MON20058","","MTR00011","MTR10075","MTR10234","MTR10072","DSR11005","DSR10001","DSR04004"
"NMD00054","NMA00012","14-1 火焰巨人","","2016/1/15","1","0","","NMD00055","","","","6","3","","","","","","SYD0054","1","33333","MON10073","","MTR00003","MTR10235","MTR10051","MTR10084","DSR05003","DSR07008","DSR14006"
"NMD00055","NMA00012","14-2 狂乱傀儡","","2016/2/15","1","0","","NMD00056","","","","6","3","","","","","","SYD0055","1","33333","MON10028","","MTR00003","MTR10049","MTR10236","MTR10081","DSR05003","DSR07008","DSR14006"
"NMD00056","NMA00012","14-3 最后的刺客","","2016/3/15","1","0","","NMD00057","","","","6","3","","","","","","SYD0056","1","33333","MON10063","MON10010","MTR00003","MTR10085","MTR10096","MTR10050","DSR05003","DSR07008","DSR14006"
"NMD00057","NMA00012","14-4 恐惧的怒吼","","2016/4/15","1","0","","NMD00058","","","","6","3","","","","","","SYD0057","1","33333","MON10058","MON10008","MTR00009","MTR10237","MTR10034","MTR10095","DSR05003","DSR07008","DSR14006"
"NMD00058","NMA00012","14-5 极端的信条","","2016/5/15","1","0","","NMD00074","","","","6","3","","","","","","SYD0058","2","25000","MON10061","","MTR00012","MTR10094","MTR10111","MTR10114","DSR05003","DSR07008","DSR14006"
"NMD00074","NMA00016","15-1 遗迹古城","","2016/1/16","1|2|3|4","0","","NMD00075","","","","6","3","","","","","","SYD0074","1","33333","MON10028","MON40028","MTR00012","MTR10238","MTR10239","MTR10105","DSR12005","DSR10003","DSR13004"
"NMD00075","NMA00016","15-2 深渊监视者","","2016/2/16","1|2|3|4","0","","NMD00076","","","","6","3","","","","","","SYD0075","1","33333","MON10063","MON40010","MTR00008","MTR10147","MTR10082","MTR10061","DSR12005","DSR10003","DSR13004"
"NMD00076","NMA00016","15-3 吞噬大地","","2016/3/16","1|2|3|4","0","","NMD00077","","","","6","3","","","","","","SYD0076","1","33333","MON40055","MON20055","MTR00007","MTR10240","MTR10150","MTR10241","DSR12005","DSR10003","DSR13004"
"NMD00077","NMA00016","15-4 亡者军团","","2016/4/16","1|2|3|4","0","","NMD00078","","","","6","3","","","","","","SYD0077","1","33333","MON30062","MON20061","MTR00013","MTR10242","MTR10271","MTR10126","DSR12005","DSR10003","DSR13004"
"NMD00078","NMA00016","15-5 混乱之治","","2016/5/16","1|2|3|4","0","","END","","","","6","3","","","","","","SYD0078","2","25000","MON10062","MON20064","MTR00014","MTR10141","MTR10033","","DSR12005","DSR10003","DSR13004"
