"id","name","monster_id","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_material4","material_rate4","drop_piece","drop_level"
"SEN03009","雷鸣南瓜国王","MON30053","0","MAI00005","2","AAI00002","1","","","","18","99","1242","11500","1000","100000","0","3","-1","-1","3","118","PUM30003","50000","STS00003","50000","","","","","",""
"SEN03010","石化南瓜","MON40051","0","MAI00005","1","AAI00002","1","","","","6","99","1219","10500","1000","100000","0","3","-1","-1","4","138","PUM40001","50000","STS00001","50000","","","","","",""
"SEN03011","石化南瓜男爵","MON40052","0","MAI00005","2","AAI00002","1","","","","12","99","1363","11000","1000","100000","0","3","-1","-1","4","144","PUM40002","50000","STS00002","50000","","","","","",""
"SEN03012","石化南瓜国王","MON40053","0","MAI00005","2","AAI00002","1","","","","18","99","1296","11500","1000","100000","0","3","-1","-1","4","137","PUM40003","50000","STS00003","50000","","","","","",""
"SEN03013","燃烧南瓜国王","MON10053","1","MAI00005","2","AAI00002","1","","","","18","99","1802","11500","3000","100000","0","3","-1","-1","1","193","PUM10003","50000","STS00003","50000","","","","","",""
"SEN03014","冰冷南瓜国王","MON20053","1","MAI00005","2","AAI00002","1","","","","18","99","1568","11500","3000","100000","0","3","-1","-1","2","155","PUM20003","50000","STS00003","50000","","","","","",""
"SEN03015","雷鸣南瓜国王","MON30053","1","MAI00005","2","AAI00002","1","","","","18","99","1488","11500","3000","100000","0","3","-1","-1","3","134","PUM30003","50000","STS00003","50000","","","","","",""
"SEN03016","石化南瓜国王","MON40053","1","MAI00005","2","AAI00002","1","","","","18","99","1628","11500","3000","100000","0","3","-1","-1","4","188","PUM40003","50000","STS00003","50000","","","","","",""
"SEN04001","金龙","MON30064","0","MAI00005","1","AAI00002","1","","","","360","99","477","2250","1000","100000","0","3","-1","-1","3","72","MTR10274","100000","","","","","","","",""
"SEN04002","金龙","MON30065","0","MAI00005","2","AAI00002","1","","","","1276","99","719","1500","1000","100000","0","3","-1","-1","3","194","MTR10275","100000","","","","","","","",""
"SEN04003","金龙","MON30065","1","MAI00005","2","AAI00002","1","","","","2380","99","1167","1500","3000","100000","0","3","-1","-1","3","326","MTR10275","100000","","","","","","","",""
"SEN05001","金龙","MON30064","0","MAI00005","1","AAI00002","1","","","","2720","99","734","2250","1000","100000","0","3","-1","-1","3","332","MTR10274","100000","","","","","","","",""
"SEN05002","金龙","MON30065","0","MAI00005","2","AAI00002","1","","","","3808","99","1238","1500","1000","100000","0","3","-1","-1","3","545","MTR10275","100000","","","","","","","",""
"SEN05003","金龙","MON30066","1","MAI00005","2","AAI00002","1","","","","9400","99","1625","1500","3000","100000","0","3","-1","-1","3","1268","MTR10276","100000","","","","","","","",""
"SEN06001","金龙","MON30065","0","MAI00005","2","AAI00002","1","","","","5474","99","1501","1500","1000","100000","0","3","-1","-1","3","691","MTR10275","100000","","","","","","","",""
"SEN06002","金龙","MON30066","0","MAI00005","2","AAI00002","1","","","","9886","99","1671","1500","1000","100000","0","3","-1","-1","3","1144","MTR10276","100000","","","","","","","",""
"SEN06003","金龙","MON30066","1","MAI00005","2","AAI00002","1","","","","21446","99","2199","1500","3000","100000","0","3","-1","-1","3","2365","MTR10276","100000","","","","","","","",""
"SEN07001","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1137","99","659","0","0","100000","0","3","-1","-1","1","17","MTR10053","100000","","","","","","","",""
"SEN07002","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1137","99","659","0","0","100000","0","3","-1","-1","1","16","","","","","","","","","",""
"SEN07003","火JJ怪","MON10072","0","MAI00005|MAI00005","1|0","AAI00002|AAI00102","1|1","ACT00004","50000","","1455","99","773","212","0","100000","0","3","-1","-1","1","23","","","","","","","","","",""
"SEN07004","雷咒术魔书","MON30074","0","MAI00006","2","AAI00030","1","","","","1137","99","659","0","0","100000","0","3","-1","-1","3","20","","","","","","","","","",""
"SEN07005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07006","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00028","1","","","","1525","99","788","0","0","100000","0","3","-1","-1","1","24","","","","","","","","","",""
"SEN07007","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","1172","99","671","0","0","100000","0","3","-1","-1","2","18","","","","","","","","","",""
"SEN07008","雷鸣猫头鹰","MON30008","0","MAI00005","2","AAI00030","1","","","","1525","99","788","0","0","100000","0","3","-1","-1","3","21","","","","","","","","","",""
"SEN07009","森咒术魔书","MON40071","0","MAI00006","2","AAI00031","1","","","","1172","99","671","0","0","100000","0","3","-1","-1","4","19","","","","","","","","","",""
"SEN07010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07011","火JJ怪","MON10072","0","MAI00005|MAI00005","1|0","AAI00002|AAI00102","1|1","ACT00004","50000","","1505","99","803","223","0","100000","0","3","-1","-1","1","21","MTR10172","100000","","","","","","","",""
"SEN07012","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","1207","99","682","0","0","100000","0","3","-1","-1","2","17","","","","","","","","","",""
"SEN07013","雷JJ怪","MON30075","0","MAI00005","2","AAI00102","1","","","","1505","99","803","223","0","100000","0","3","-1","-1","3","21","","","","","","","","","",""
"SEN07014","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","1207","99","682","0","0","100000","0","3","-1","-1","2","19","","","","","","","","","",""
"SEN07015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07016","冰冷猫头鹰","MON20008","0","MAI00005","2","AAI00029","1","","","","1612","99","818","0","0","100000","0","3","-1","-1","2","21","","","","","","","","","",""
"SEN07017","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1242","99","694","0","0","100000","0","3","-1","-1","1","21","","","","","","","","","",""
"SEN07018","水JJ怪","MON20072","0","MAI00005","2","AAI00102","1","","","","1530","99","818","229","0","100000","0","3","-1","-1","2","21","","","","","","","","","",""
"SEN07019","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1242","99","694","0","0","100000","0","3","-1","-1","1","16","","","","","","","","","",""
"SEN07020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07021","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1278","99","706","0","0","100000","0","3","-1","-1","1","19","","","","","","","","","",""
"SEN07022","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00028","1","","","","1656","99","834","0","0","100000","0","3","-1","-1","1","22","","","","","","","","","",""
"SEN07023","雷咒术魔书","MON30074","0","MAI00006","2","AAI00030","1","","","","1278","99","706","0","0","100000","0","3","-1","-1","3","19","","","","","","","","","",""
"SEN07024","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1278","99","706","0","0","100000","0","3","-1","-1","1","22","","","","","","","","","",""
"SEN07025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07026","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","1315","99","718","0","0","100000","0","3","-1","-1","2","19","","","","","","","","","",""
"SEN07027","冰冷猫头鹰","MON20008","0","MAI00005","2","AAI00029","1","","","","1701","99","849","0","0","100000","0","3","-1","-1","2","23","","","","","","","","","",""
"SEN07028","森咒术魔书","MON40071","0","MAI00006","2","AAI00031","1","","","","1315","99","718","0","0","100000","0","3","-1","-1","4","19","","","","","","","","","",""
"SEN07029","隐匿猫头鹰","MON40008","0","MAI00005","2","AAI00031","1","","","","1701","99","849","0","0","100000","0","3","-1","-1","4","28","","","","","","","","","",""
"SEN07030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07031","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","1351","99","730","0","0","100000","0","3","-1","-1","2","24","","","","","","","","","",""
"SEN07032","水JJ怪","MON20072","0","MAI00005","2","AAI00102","1","","","","1608","99","865","246","0","100000","0","3","-1","-1","2","25","","","","","","","","","",""
"SEN07033","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","1351","99","730","0","0","100000","0","3","-1","-1","2","20","","","","","","","","","",""
"SEN07034","森JJ怪","MON40072","0","MAI00005","2","AAI00102","1","","","","1608","99","865","246","0","100000","0","3","-1","-1","4","25","","","","","","","","","",""
"SEN07035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07036","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1388","99","742","0","0","100000","0","3","-1","-1","1","19","","","","","","","","","",""
"SEN07037","隐匿猫头鹰","MON40008","0","MAI00005","2","AAI00031","1","","","","1792","99","881","0","0","100000","0","3","-1","-1","4","29","","","","","","","","","",""
"SEN07038","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1388","99","742","0","0","100000","0","3","-1","-1","1","21","","","","","","","","","",""
"SEN07039","森JJ怪","MON40072","0","MAI00005","2","AAI00102","1","","","","1635","99","881","252","0","100000","0","3","-1","-1","4","29","","","","","","","","","",""
"SEN07040","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1388","99","742","0","0","100000","0","3","-1","-1","1","19","","","","","","","","","",""
"SEN07041","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","1426","99","754","0","0","100000","0","3","-1","-1","1","21","","","","","","","","","",""
"SEN07042","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","1426","99","754","0","0","100000","0","3","-1","-1","2","22","","","","","","","","","",""
"SEN07043","雷咒术魔书","MON30074","0","MAI00006","2","AAI00030","1","","","","1426","99","754","0","0","100000","0","3","-1","-1","3","19","","","","","","","","","",""
"SEN07044","森咒术魔书","MON40071","0","MAI00006","2","AAI00031","1","","","","1426","99","754","0","0","100000","0","3","-1","-1","4","19","","","","","","","","","",""
"SEN07045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07046","森咒术魔书","MON40071","0","MAI00006","2","AAI00031","1","","","","1464","99","767","0","0","100000","0","3","-1","-1","4","20","","","","","","","","","",""
"SEN07047","水JJ怪","MON20072","0","MAI00005","2","AAI00102","1","","","","1688","99","913","264","0","100000","0","3","-1","-1","2","25","","","","","","","","","",""
"SEN07048","雷鸣猫头鹰","MON30008","0","MAI00005","2","AAI00030","1","","","","1884","99","913","0","0","100000","0","3","-1","-1","3","27","","","","","","","","","",""
"SEN07049","隐匿猫头鹰","MON40008","0","MAI00005","2","AAI00031","1","","","","1884","99","913","0","0","100000","0","3","-1","-1","4","31","","","","","","","","","",""
"SEN07050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07051","火JJ怪","MON10072","0","MAI00005|MAI00005","1|0","AAI00002|AAI00102","1|1","ACT00004","50000","","1716","99","929","270","0","100000","0","3","-1","-1","1","30","","","","","","","","","",""
"SEN07052","隐匿猫头鹰","MON40008","0","MAI00005","2","AAI00031","1","","","","1931","99","929","0","0","100000","0","3","-1","-1","4","25","","","","","","","","","",""
"SEN07053","雷咒术魔书","MON30074","0","MAI00006","2","AAI00030","1","","","","1502","99","779","0","0","100000","0","3","-1","-1","3","22","","","","","","","","","",""
"SEN07054","森JJ怪","MON40072","0","MAI00005","2","AAI00102","1","","","","1716","99","929","270","0","100000","0","3","-1","-1","4","24","","","","","","","","","",""
"SEN07055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07056","女王","MON20057","1","MAI00005|MAI00002|MAI00005","2|2|2","AAI00051|AAI00054|AAI00051","1|1|1","ACT00001","33000","","31471","99","1859","486","0","100000","0","3","-1","-1","2","380","MTR10002","100000","","","","","","","",""
"SEN07057","蛋总","MON10060","1","MAI00005|MAI00006|MAI00005","2|2|2","AAI00007|AAI00036|AAI00007","1|1|1","ACT00001","33000","","52935","99","1945","314","0","100000","0","3","-1","-1","1","615","MTR10173","100000","","","","","","","",""
"SEN07058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN07059","光法","MON30067","1","MAI00005|MAI00005|MAI00005","2|2|1","AAI00022|AAI00023|AAI00022","1|1|1","ACT00001","33000","","42206","99","1981","229","0","100000","0","3","-1","-1","3","477","","","","","","","","","",""
"SEN07060","兽王","MON40065","1","MAI00005|MAI00005|MAI00005|MAI00005","2|2|2|2","AAI00007|AAI00007|AAI00047|AAI00007","1|1|1|1","ACT00005","33000","40000","35761","99","3575","172","0","100000","0","3","-1","-1","4","389","","","","","","","","","",""
"SEN08001","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","1","29","MTR10219","100000","","","","","","","",""
"SEN08002","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","1","35","","","","","","","","","",""
"SEN08003","龙人暴怒者","MON10015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","1","70","","","","","","","","","",""
"SEN08004","龙人暴怒者","MON10015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","1","60","","","","","","","","","",""
"SEN08005","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","3194","99","1340","184","0","100000","0","3","-1","-1","1","44","","","","","","","","","",""
"SEN08006","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","2","31","","","","","","","","","",""
"SEN08007","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","2","28","","","","","","","","","",""
"SEN08008","龙人猎潮者","MON20015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","2","80","","","","","","","","","",""
"SEN08009","龙人猎潮者","MON20015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","2","72","","","","","","","","","",""
"SEN08010","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","3194","99","1340","184","0","100000","0","3","-1","-1","2","40","","","","","","","","","",""
"SEN08011","雷咒术魔书","MON30074","0","MAI00006","2","AAI00030","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","3","28","MTR10222","100000","","","","","","","",""
"SEN08012","雷咒术魔书","MON30074","0","MAI00006","2","AAI00030","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","3","27","","","","","","","","","",""
"SEN08013","龙人唤雷者","MON30015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","3","63","","","","","","","","","",""
"SEN08014","龙人唤雷者","MON30015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","3","81","","","","","","","","","",""
"SEN08015","雷元素","MON30001","0","MAI00005","1","AAI00002","1","","","","3194","99","1340","184","0","100000","0","3","-1","-1","3","50","","","","","","","","","",""
"SEN08016","森咒术魔书","MON40071","0","MAI00006","2","AAI00031","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","4","28","","","","","","","","","",""
"SEN08017","森咒术魔书","MON40071","0","MAI00006","2","AAI00031","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","4","28","","","","","","","","","",""
"SEN08018","龙人撼地者","MON40015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","4","62","","","","","","","","","",""
"SEN08019","龙人撼地者","MON40015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","4","70","","","","","","","","","",""
"SEN08020","森元素","MON40001","0","MAI00005","1","AAI00002","1","","","","3194","99","1340","184","0","100000","0","3","-1","-1","4","50","","","","","","","","","",""
"SEN08021","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","1","32","","","","","","","","","",""
"SEN08022","雷咒术魔书","MON30074","0","MAI00006","2","AAI00030","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","3","29","","","","","","","","","",""
"SEN08023","龙人暴怒者","MON10015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","1","66","","","","","","","","","",""
"SEN08024","龙人唤雷者","MON30015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","3","69","","","","","","","","","",""
"SEN08025","雷灵兔","MON30071","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","","1421","99","1","368","0","100000","0","3","-1","-1","3","15","","","","","","","","","",""
"SEN08026","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","2","32","","","","","","","","","",""
"SEN08027","森咒术魔书","MON40071","0","MAI00006","2","AAI00031","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","4","33","","","","","","","","","",""
"SEN08028","龙人猎潮者","MON20015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","2","70","","","","","","","","","",""
"SEN08029","龙人撼地者","MON40015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","4","65","","","","","","","","","",""
"SEN08030","雷灵兔","MON30071","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","","1421","99","1","368","0","100000","0","3","-1","-1","3","16","","","","","","","","","",""
"SEN08031","雷灵兔","MON30071","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","","1421","99","1","368","0","100000","0","3","-1","-1","3","16","","","","","","","","","",""
"SEN08032","雷灵兔","MON30071","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","","1421","99","1","368","0","100000","0","3","-1","-1","3","16","","","","","","","","","",""
"SEN08033","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","1","30","","","","","","","","","",""
"SEN08034","雷咒术魔书","MON30074","0","MAI00006","2","AAI00030","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","3","28","","","","","","","","","",""
"SEN08035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN08036","暴躁矿工","MON30003","0","MAI00005","2","AAI00002","1","","","","2165","99","1881","0","0","100000","0","3","-1","-1","3","35","","","","","","","","","",""
"SEN08037","暴躁矿工","MON30003","0","MAI00005","2","AAI00002","1","","","","2165","99","1881","0","0","100000","0","3","-1","-1","3","46","","","","","","","","","",""
"SEN08038","水咒术魔书","MON20071","0","MAI00006","2","AAI00029","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","2","35","","","","","","","","","",""
"SEN08039","森咒术魔书","MON40071","0","MAI00006","2","AAI00031","1","","","","2111","99","979","0","0","100000","0","3","-1","-1","4","29","","","","","","","","","",""
"SEN08040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN08041","隐匿蝙蝠","MON40005","0","MAI00005","3","AAI00002","1","","","","2571","99","1678","46","0","100000","0","3","-1","-1","4","43","","","","","","","","","",""
"SEN08042","隐匿蝙蝠","MON40005","0","MAI00005","3","AAI00002","1","","","","2571","99","1678","46","0","100000","0","3","-1","-1","4","42","","","","","","","","","",""
"SEN08043","龙人暴怒者","MON10015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","1","65","","","","","","","","","",""
"SEN08044","龙人猎潮者","MON20015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","2","65","","","","","","","","","",""
"SEN08045","龙人唤雷者","MON30015","0","MAI00005","2","AAI00002","1","","","","4698","99","2419","276","0","100000","0","3","-1","-1","3","63","","","","","","","","","",""
"SEN08046","雷灵兔","MON30071","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","","1421","99","1","368","0","100000","0","3","-1","-1","3","14","","","","","","","","","",""
"SEN08047","雷灵兔","MON30071","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","","1421","99","1","368","0","100000","0","3","-1","-1","3","14","","","","","","","","","",""
"SEN08048","暴躁矿工","MON30003","0","MAI00005","2","AAI00002","1","","","","2165","99","1881","0","0","100000","0","3","-1","-1","3","35","","","","","","","","","",""
"SEN08049","暴躁矿工","MON30003","0","MAI00005","2","AAI00002","1","","","","2165","99","1881","0","0","100000","0","3","-1","-1","3","43","","","","","","","","","",""
"SEN08050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN08051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN08052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN08053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN08054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN08055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN08056","冰女","MON20063","1","MAI00005|MAI00002|MAI00005","2|2|2","AAI00020|AAI00021|AAI00020","1|1|1","ACT00001","33000","","48317","99","3459","844","0","100000","0","3","-1","-1","2","590","MTR10220","100000","","","","","","","",""
"SEN08057","火卡","MON10055","1","MAI00006|MAI00005|MAI00006","1|2|1","AAI00018|AAI00019|AAI00018","1|1|1","ACT00001","33000","","64285","99","3654","660","0","100000","0","3","-1","-1","1","659","MTR10131","100000","","","","","","","",""
"SEN08058","女王","MON20058","1","MAI00005|MAI00002|MAI00005","2|2|2","AAI00051|AAI00054|AAI00051","1|1|1","ACT00001","33000","","45745","99","2503","660","0","100000","0","3","-1","-1","2","468","","","","","","","","","",""
"SEN08059","白虎","MON40058","1","MAI00007|MAI00002|MAI00007","3|3|3","AAI00114|AAI00109|AAI00114","1|1|1","ACT00001","33000","","49936","99","3125","384","0","100000","0","3","-1","-1","4","536","","","","","","","","","",""
"SEN08060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
