"id","type","positive_state","negative_state","attribute1","attribute2","attribute_change_count","percent","multiplier","range","range2","target","attack_through","turn","point","point2","absorptance","blow_off_distance","blow_off_vector","non_target_attack","attackable_areas","attack_area","animation","animation_effect","animation_se","animation_ccb","animation_motion_label","animation_speed","animation_speed
(输入用）","animation_easing","animation_effect_count","animation_effect_interval","animation_shake_timing"
"AAI00001","AAT00005","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00061","AAT00005","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","AAE00011","","","0","3750",".0375","200","0","0","0"
"AAI00062","AAT00005","0","0","0","0","0","0","125000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00011","AAE00011","","1","3750",".0375","200","0","0","0"
"AAI00063","AAT00012","0","0","0","0","0","0","100000","1","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00007","","","","0","0","0","0","0","0","0"
"AAI00064","AAT00014","0","3","0","0","0","50000","100000","8","0","","0","3","0","0","0","8","0_0","0","0","0_0","AAA00002","AAE00019","AAE00019","","1","7500",".075","0","0","0","0"
"AAI00065","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","3","0_0","0","0","0_0","AAA00007","","","","0","0","0","0","0","0","0"
"AAI00066","AAT00032","2","0","0","0","0","400000","0","0","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00017","AAE00031","","","1","0","0","0","0","0","0"
"AAI00067","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00068","AAT00032","1","0","0","0","0","300000","0","0","0","","0","2","0","0","0","0","0_0","0","0","0_0","AAA00017","AAE00034","AAE00034","","1","0","0","0","0","0","0"
"AAI00069","AAT00033","0","0","0","0","0","0","100000","2","0","","0","0","0","0","0","0","0_0","1","0","0_0","AAA00007","AAE00033","AAE00033","","2","0","0","0","0","0","0"
"AAI00070","AAT00021","0","1","0","0","0","35000","100000","1","0","","0","3","5000","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00071","AAT00021","0","3","0","0","0","35000","100000","1","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00072","AAT00021","0","2","0","0","0","10000","100000","1","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00073","AAT00005","0","11","0","0","0","35000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00003","","","","0","7500",".075","0","0","0","0"
"AAI00074","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00075","AAT00023","0","2","0","0","0","30000","85000","0","0","","0","1","0","0","0","0","0_0","0","6","0_0","AAA00009","AAE00035","","","1","0","0","0","0","20000","2"
"AAI00076","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00077","AAT00016","0","1","0","0","0","100000","80000","0","0","","0","3","10000","0","0","0","0_0","0","0","0_0","AAA00005","AAE00036","AAE00001","","1","0","0","0","20","5000","0"
"AAI00078","AAT00012","0","0","0","0","0","0","200000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00007","AAE00037","AAE00037","","0","0","0","0","0","0","0"
"AAI00079","AAT00034","0","0","0","0","0","100000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00018","AAE00042","AAE00042","","1","0","0","0","0","5000","0"
"AAI00080","AAT00012","0","0","0","0","0","0","300000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00007","AAE00043","AAE00043","","2","0","0","0","0","0","0"
"AAI00081","AAT00016","0","0","0","0","0","0","100000","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00005","AAE00038","AAE00038","","1","0","0","0","20","5000","2"
"AAI00082","AAT00014","0","0","0","0","0","100000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00018","AAE00042","AAE00042","","1","0","0","0","0","10000","0"
"AAI00083","AAT00005","0","8","0","0","0","50000","100000","1","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00084","AAT00005","0","10","0","0","0","50000","100000","1","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00085","AAT00005","0","9","0","0","0","50000","100000","1","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00086","AAT00014","0","0","0","0","0","0","50000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00039","","","1","7500",".075","0","0","0","0"
"AAI00087","AAT00005","0","0","0","0","0","0","200000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00007","AAE00040","AAE00040","","2","0","0","0","0","0","0"
"AAI00088","AAT00005","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00089","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00046","","","1","7500",".075","0","0","0","0"
"AAI00090","AAT00012","0","0","0","0","0","0","200000","1","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00007","AAE00047","AAE00047","","2","0","0","0","0","0","0"
"AAI00091","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","2","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00092","AAT00025","0","12","0","0","0","35000","150000","8","0","","0","3","5000","30000","0","0","0_0","0","0","0_0","AAA00019","AAE00050","AAE00050","","2","0","0","0","0","10000","0"
"AAI00093","AAT00005","0","12","0","0","0","35000","100000","8","0","","0","3","5000","30000","0","0","0_0","0","0","0_0","AAA00003","AAE00049","AAE00049","","1","7500",".075","0","0","0","0"
"AAI00094","AAT00035","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00020"," ","AAE00051","","1","0","0","0","0","0","0"
"AAI00095","AAT00035","0","0","0","0","0","0","200000","2","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00020","AAE00052","AAE00051","","1","0","0","0","0","0","0"
"AAI00096","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00097","AAT00030","0","0","0","0","0","15000","0","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00016","","","","1","0","0","0","0","0","0"
"AAI00098","AAT00034","0","0","0","0","0","100000","150000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00053","","","2","7500",".075","0","0","0","0"
"AAI00099","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00100","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00007","AAE00054","","","1","0","0","0","0","0","0"
"AAI00101","AAT00014","0","1","0","0","0","35000","200000","8","0","","0","3","5000","0","0","8","0_0","0","0","0_0","AAA00003","AAE00055","","","2","7500",".075","0","0","0","0"
"AAI00102","AAT00028","0","12","0","0","0","35000","300000","1","0","","0","3","5000","70000","0","1","0_0","0","0","0_0","AAA00014","AAE00029","AAE00029","","1","0","0","0","0","0","2"
"AAI00103","AAT00005","0","3","0","0","0","40000","100000","8","0","","0","3","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00062","AAE00062","","1","7500",".075","0","0","0","0"
"AAI00104","AAT00027","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00013","AAE00063","AAE00028","","2","10000",".1","150","0","0","2"
"AAI00105","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","2","0_0","0","0","0_0","AAA00001","","","","1","0","0","0","0","0","0"
"AAI00106","AAT00020","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00006","AAE00007","AAE00006","","1","0","0","0","0","0","0"
"AAI00107","AAT00020","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00006","AAE00008","AAE00006","","1","0","0","0","0","0","0"
"AAI00108","AAT00020","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","1","0_0","0","0","0_0","AAA00006","AAE00009","AAE00006","","1","0","0","0","0","0","0"
"AAI00109","AAT00016","0","6","0","0","0","33333","100000","0","0","","0","1","0","0","0","0","0_0","0","0","0_0","AAA00005","AAE00002","AAE00002","","1","0","0","0","20","5000","2"
"AAI00110","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00013","","","0","7500",".075","0","0","0","0"
"AAI00111","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00014","","","0","7500",".075","0","0","0","0"
"AAI00112","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00015","","","0","7500",".075","0","0","0","0"
"AAI00113","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00016","","","0","7500",".075","0","0","0","0"
"AAI00114","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00018","","","0","3750",".0375","200","0","0","0"
"AAI00115","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00056","","","0","7500",".075","0","0","0","0"
"AAI00116","AAT00005","0","0","0","0","0","0","100000","8","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","AAE00057","","","0","7500",".075","0","0","0","0"
"AAI00117","AAT00029","0","0","0","0","0","0","100000","1","3","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00015","AAE00045","","","0","0","0","0","0","0","0"
"AAI00118","AAT00005","0","0","0","0","0","0","100000","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","","","","1","7500",".075","0","0","0","0"
"AAI00119","AAT00005","0","1","0","0","0","60000","100000","8","0","","0","3","5000","0","0","0","0_0","0","0","0_0","AAA00003","AAE00065","AAE00065","","1","7500",".075","0","0","0","0"
"AAI00120","AAT00005","0","0","0","0","0","0","100000","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00003","","","","1","7500",".075","0","0","0","0"
"AAI00121","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00122","AAT00012","0","0","0","0","0","0","200000","1","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00007","AAE00064","AAE00007","","1","0","0","0","0","0","0"
"AAI00123","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00001","","","","0","0","0","0","0","0","0"
"AAI00124","AAT00037","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","0","0_0","1","0","0_0","AAA00021","","AAE00063","","1","0","0","0","0","0","0"
"AAI00125","AAT00038","0","0","0","0","0","0","200000","8","0","","0","0","0","0","0","8","0_0","0","0","0_0","AAA00022","","AAE00059","","2","10000",".1","0","0","0","3"
"AAI00139","AAT00005","0","12","0","0","0","50000","125000","8","0","","0","3","5000","30000","0","0","0_0","0","0","0_0","AAA00003","AAE00066","AAE00010","","1","7500",".075","0","0","10000","0"
"AAI00140","AAT00040","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0_0","0","0","0_0","AAA00024","AAE00068","AAE00068","","2","0","0","0","0","0","0"
"AAI00141","AAT00039","0","0","0","0","0","0","200000","1","0","","0","0","0","0","200000","0","0_0","0","0","0_0","AAA00023","AAE00067","AAE00010","","0","0","0","0","0","0","0"
"AAI00142","AAT00012","0","0","0","0","0","0","100000","1","0","","0","0","0","0","0","2","0_0","0","0","0_0","AAA00007","AAE00067","AAE00010","","0","0","0","0","0","0","0"
