"id","dungeon_id","probability","exp","door_x","player_x","player_y","boss_map","boss","boss_piece_drop_rate","boss_coin_drop_rate","boss_material_drop_rate","enemy_1","piece_drop_rate_1","coin_drop_rate_1","material_drop_rate_1","enemy_2","piece_drop_rate_2","coin_drop_rate_2","material_drop_rate_2","enemy_3","piece_drop_rate_3","coin_drop_rate_3","material_drop_rate_3","enemy_4","piece_drop_rate_4","coin_drop_rate_4","material_drop_rate_4","enemy_5","piece_drop_rate_5","coin_drop_rate_5","material_drop_rate_5","enemy_6","piece_drop_rate_6","coin_drop_rate_6","material_drop_rate_6","gimmick_id1","gimmick_id2","gimmick_id3","gimmick_id4","gimmick_id5","gimmick_id6","gimmick_id7","gimmick_id8","gimmick_id9","gimmick_id10","gimmick_id11","gimmick_id12","gimmick_id13","gimmick_id14","gimmick_id15","gimmick_id16","gimmick_id17","gimmick_id18","gimmick_id19","gimmick_id20","gimmick_id21","gimmick_id22","gimmick_id23","gimmick_id24","gimmick_id25","gimmick_id26","gimmick_id27","gimmick_id28","gimmick_id29","gimmick_id30","gimmick_id31","gimmick_id32","gimmick_id33","gimmick_id34","gimmick_id35","gimmick_id36","gimmick_id37","gimmick_id38","gimmick_id39","gimmick_id40","item_id1","item_id2","item_id3","item_id4","item_id5"
"SPM00011","SPD00002","25000","2","3","3","1","0","","","","","SEN02006","0","25000","75000","SEN02006","0","25000","75000","SEN02005","0","25000","75000","SEN02005","0","25000","75000","SEN02005","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00012","SPD00002","25000","2","3","3","1","0","","","","","SEN02008","0","25000","75000","SEN02008","0","25000","75000","SEN02007","0","25000","75000","SEN02007","0","25000","75000","SEN02007","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00013","SPD00002","25000","5","3","3","1","1","SEN02009","0","0","100000","SEN02002","0","25000","75000","SEN02002","0","25000","75000","SEN02001","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00014","SPD00002","25000","5","3","3","1","1","SEN02010","0","0","100000","SEN02004","0","25000","75000","SEN02004","0","25000","75000","SEN02003","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00015","SPD00002","25000","5","3","3","1","1","SEN02011","0","0","100000","SEN02006","0","25000","75000","SEN02006","0","25000","75000","SEN02005","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00016","SPD00002","25000","5","3","3","1","1","SEN02012","0","0","100000","SEN02008","0","25000","75000","SEN02008","0","25000","75000","SEN02007","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00017","SPD00003","12500","2","3","3","1","0","","","","","SEN03002","0","25000","75000","SEN03002","0","25000","75000","SEN03002","0","25000","75000","SEN03002","0","25000","75000","SEN03001","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00018","SPD00003","12500","2","3","3","1","0","","","","","SEN03005","0","25000","75000","SEN03005","0","25000","75000","SEN03005","0","25000","75000","SEN03005","0","25000","75000","SEN03004","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00019","SPD00003","12500","2","3","3","1","0","","","","","SEN03008","0","25000","75000","SEN03008","0","25000","75000","SEN03008","0","25000","75000","SEN03008","0","25000","75000","SEN03007","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00020","SPD00003","12500","2","3","3","1","0","","","","","SEN03011","0","25000","75000","SEN03011","0","25000","75000","SEN03011","0","25000","75000","SEN03011","0","25000","75000","SEN03010","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00021","SPD00003","12500","2","3","3","1","0","","","","","SEN03002","0","25000","75000","SEN03002","0","25000","75000","SEN03002","0","25000","75000","SEN03003","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00022","SPD00003","12500","2","3","3","1","0","","","","","SEN03005","0","25000","75000","SEN03005","0","25000","75000","SEN03005","0","25000","75000","SEN03006","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00023","SPD00003","12500","2","3","3","1","0","","","","","SEN03008","0","25000","75000","SEN03008","0","25000","75000","SEN03008","0","25000","75000","SEN03009","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00024","SPD00003","12500","2","3","3","1","0","","","","","SEN03011","0","25000","75000","SEN03011","0","25000","75000","SEN03011","0","25000","75000","SEN03012","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00025","SPD00003","25000","5","3","3","1","1","SEN03013","0","0","100000","SEN03002","0","25000","75000","SEN03002","0","25000","75000","SEN03001","0","25000","75000","SEN03001","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00026","SPD00003","25000","5","3","3","1","1","SEN03014","0","0","100000","SEN03005","0","25000","75000","SEN03005","0","25000","75000","SEN03004","0","25000","75000","SEN03004","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00027","SPD00003","25000","5","3","3","1","1","SEN03015","0","0","100000","SEN03008","0","25000","75000","SEN03008","0","25000","75000","SEN03007","0","25000","75000","SEN03007","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00028","SPD00003","25000","5","3","3","1","1","SEN03016","0","0","100000","SEN03011","0","25000","75000","SEN03011","0","25000","75000","SEN03010","0","25000","75000","SEN03010","0","25000","75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00029","SPD00004","50000","2","3","3","1","0","","","","","SEN04001","0","20000","80000","SEN04001","0","20000","80000","SEN04001","0","20000","80000","SEN04002","0","60000","40000","SEN04001","0","20000","80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00031","SPD00004","50000","2","3","3","1","0","","","","","SEN04001","0","20000","80000","SEN04001","0","20000","80000","SEN04001","0","20000","80000","SEN04002","0","60000","40000","SEN04001","0","20000","80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00039","SPD00004","50000","5","3","3","1","1","SEN04003","0","20000","80000","SEN04001","0","20000","80000","SEN04001","0","20000","80000","SEN04001","0","20000","80000","SEN04002","0","60000","40000","SEN04001","0","20000","80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00040","SPD00004","50000","5","3","3","1","1","SEN04003","0","20000","80000","SEN04001","0","20000","80000","SEN04001","0","20000","80000","SEN04001","0","20000","80000","SEN04002","0","60000","40000","SEN04001","0","20000","80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00041","SPD00005","50000","2","3","3","1","0","","","","","SEN05002","0","60000","40000","SEN05002","0","60000","40000","SEN05001","0","20000","80000","SEN05001","0","20000","80000","SEN05001","0","20000","80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00043","SPD00005","50000","2","3","3","1","0","","","","","SEN05002","0","60000","40000","SEN05002","0","60000","40000","SEN05001","0","20000","80000","SEN05001","0","20000","80000","SEN05001","0","20000","80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00051","SPD00005","50000","5","3","3","1","1","SEN05003","0","70000","30000","SEN05002","0","60000","40000","SEN05002","0","60000","40000","SEN05002","0","60000","40000","SEN05002","0","60000","40000","SEN05001","0","20000","80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00052","SPD00005","50000","5","3","3","1","1","SEN05003","0","50000","50000","SEN05002","0","60000","40000","SEN05002","0","60000","40000","SEN05001","0","20000","80000","SEN05001","0","20000","80000","SEN05001","0","20000","80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00053","SPD00006","40000","2","3","3","1","0","","","","","SEN06001","0","40000","60000","SEN06002","0","85000","15000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00055","SPD00006","40000","2","3","3","1","0","","","","","SEN06001","0","40000","60000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00058","SPD00006","20000","2","3","3","1","0","","","","","SEN06002","0","85000","15000","SEN06002","0","85000","15000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","SEN06002","0","85000","15000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00059","SPD00006","50000","5","3","3","1","1","SEN06003","0","70000","30000","SEN06002","0","85000","15000","SEN06002","0","85000","15000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00060","SPD00006","50000","5","3","3","1","1","SEN06003","0","50000","50000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","SEN06001","0","40000","60000","SEN06002","0","85000","15000","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00061","SPD00007","25000","2","3","3","1","0","","","","","SEN07001","0","50000","50000","SEN07002","0","100000","0","SEN07003","0","100000","0","SEN07004","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00062","SPD00007","25000","2","3","3","1","0","","","","","SEN07006","0","100000","0","SEN07007","0","100000","0","SEN07008","0","100000","0","SEN07009","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00063","SPD00007","25000","2","3","3","1","0","","","","","SEN07011","0","50000","50000","SEN07012","0","100000","0","SEN07013","0","100000","0","SEN07014","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00064","SPD00007","25000","2","3","3","1","0","","","","","SEN07016","0","100000","0","SEN07017","0","100000","0","SEN07018","0","100000","0","SEN07019","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00067","SPD00007","50000","5","3","3","1","1","SEN07056","0","20000","80000","SEN07031","0","100000","0","SEN07032","0","100000","0","SEN07033","0","100000","0","SEN07034","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00068","SPD00007","50000","5","3","3","1","1","SEN07057","0","20000","80000","SEN07036","0","100000","0","SEN07037","0","100000","0","SEN07038","0","100000","0","SEN07039","0","100000","0","SEN07040","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00082","SPD00008","25000","2","3","3","1","0","","","","","SEN08001","0","50000","50000","SEN08002","0","100000","0","SEN08003","0","100000","0","SEN08004","0","100000","0","SEN08005","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00083","SPD00008","25000","2","3","3","1","0","","","","","SEN08006","0","100000","0","SEN08007","0","100000","0","SEN08008","0","100000","0","SEN08009","0","100000","0","SEN08010","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00084","SPD00008","25000","2","3","3","1","0","","","","","SEN08011","0","50000","50000","SEN08012","0","100000","0","SEN08013","0","100000","0","SEN08014","0","100000","0","SEN08015","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00085","SPD00008","25000","2","3","3","1","0","","","","","SEN08016","0","100000","0","SEN08017","0","100000","0","SEN08018","0","100000","0","SEN08019","0","100000","0","SEN08020","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00088","SPD00008","50000","5","3","3","1","1","SEN08056","0","20000","80000","SEN08031","0","100000","0","SEN08032","0","100000","0","SEN08033","0","100000","0","SEN08034","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00089","SPD00008","50000","5","3","3","1","1","SEN08057","0","20000","80000","SEN08036","0","100000","0","SEN08037","0","100000","0","SEN08038","0","100000","0","SEN08039","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00102","SPD00009","25000","2","3","3","1","0","","","","","SEN09001","0","50000","50000","SEN09002","0","100000","0","SEN09003","0","100000","0","SEN09004","0","100000","0","SEN09005","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00103","SPD00009","25000","2","3","3","1","0","","","","","SEN09006","0","100000","0","SEN09007","0","100000","0","SEN09008","0","100000","0","SEN09009","0","100000","0","SEN09010","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00104","SPD00009","25000","2","3","3","1","0","","","","","SEN09011","0","50000","50000","SEN09012","0","100000","0","SEN09013","0","100000","0","SEN09014","0","100000","0","SEN09015","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00105","SPD00009","25000","2","3","3","1","0","","","","","SEN09016","0","100000","0","SEN09017","0","100000","0","SEN09018","0","100000","0","SEN09019","0","100000","0","SEN09020","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00108","SPD00009","50000","5","3","3","1","1","SEN09056","0","20000","80000","SEN09031","0","100000","0","SEN09032","0","100000","0","SEN09033","0","100000","0","SEN09034","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00109","SPD00009","50000","5","3","3","1","1","SEN09057","0","20000","80000","SEN09036","0","100000","0","SEN09037","0","100000","0","SEN09038","0","100000","0","SEN09039","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00072","SPD00010","25000","2","3","3","1","0","","","","","SEN10001","0","50000","50000","SEN10002","0","100000","0","SEN10003","0","100000","0","SEN10004","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00073","SPD00010","25000","2","3","3","1","0","","","","","SEN10006","0","100000","0","SEN10007","0","100000","0","SEN10008","0","100000","0","SEN10009","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00074","SPD00010","25000","2","3","3","1","0","","","","","SEN10011","0","50000","50000","SEN10012","0","100000","0","SEN10013","0","100000","0","SEN10014","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00075","SPD00010","25000","2","3","3","1","0","","","","","SEN10016","0","100000","0","SEN10017","0","100000","0","SEN10018","0","100000","0","SEN10019","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00080","SPD00010","50000","5","3","3","1","1","SEN10056","0","20000","80000","SEN10041","0","100000","0","SEN10042","0","100000","0","SEN10043","0","100000","0","SEN10044","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00081","SPD00010","50000","5","3","3","1","1","SEN10057","0","20000","80000","SEN10046","0","100000","0","SEN10047","0","100000","0","SEN10048","0","100000","0","SEN10049","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00092","SPD00011","25000","2","3","3","1","0","","","","","SEN11001","0","50000","50000","SEN11002","0","100000","0","SEN11003","0","100000","0","SEN11004","0","100000","0","SEN11005","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00093","SPD00011","25000","2","3","3","1","0","","","","","SEN11006","0","100000","0","SEN11007","0","100000","0","SEN11008","0","100000","0","SEN11009","0","100000","0","SEN11010","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00094","SPD00011","25000","2","3","3","1","0","","","","","SEN11011","0","50000","50000","SEN11012","0","100000","0","SEN11013","0","100000","0","SEN11014","0","100000","0","SEN11015","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00095","SPD00011","25000","2","3","3","1","0","","","","","SEN11016","0","100000","0","SEN11017","0","100000","0","SEN11018","0","100000","0","SEN11019","0","100000","0","SEN11020","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00098","SPD00011","50000","5","3","3","1","1","SEN11056","0","20000","80000","SEN11031","0","100000","0","SEN11032","0","100000","0","SEN11033","0","100000","0","SEN11034","0","100000","0","SEN11035","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00099","SPD00011","50000","5","3","3","1","1","SEN11057","0","20000","80000","SEN11036","0","100000","0","SEN11037","0","100000","0","SEN11038","0","100000","0","SEN11039","0","100000","0","SEN11040","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00113","SPD00012","25000","2","3","3","1","0","","","","","SEN12001","0","50000","50000","SEN12002","0","100000","0","SEN12003","0","100000","0","SEN12004","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00114","SPD00012","25000","2","3","3","1","0","","","","","SEN12006","0","100000","0","SEN12007","0","100000","0","SEN12008","0","100000","0","SEN12009","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00115","SPD00012","25000","2","3","3","1","0","","","","","SEN12011","0","50000","50000","SEN12012","0","100000","0","SEN12013","0","100000","0","SEN12014","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00116","SPD00012","25000","2","3","3","1","0","","","","","SEN12016","0","100000","0","SEN12017","0","100000","0","SEN12018","0","100000","0","SEN12019","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00119","SPD00012","50000","5","3","3","1","1","SEN12056","0","20000","80000","SEN12031","0","100000","0","SEN12032","0","100000","0","SEN12033","0","100000","0","SEN12034","0","100000","0","SEN12035","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPM00120","SPD00012","50000","5","3","3","1","1","SEN12057","0","20000","80000","SEN12036","0","100000","0","SEN12037","0","100000","0","SEN12038","0","100000","0","SEN12039","0","100000","0","SEN12040","0","100000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
