"id","name","monster_id","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_piece","drop_level"
"NEN02042","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","22","","","","","","","",""
"NEN02043","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02046","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","21","MTR10036","100000","","","","","",""
"NEN02047","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","17","","","","","","","",""
"NEN02048","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02051","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","20","MTR10118","100000","","","","","",""
"NEN02052","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02053","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","30","","","","","","","",""
"NEN02054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02056","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","17","","","","","","","",""
"NEN02057","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","22","","","","","","","",""
"NEN02058","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02059","燃烧南瓜","MON10051","0","MAI00005","2","AAI00002","1","","","","6","99","990","4500","0","100000","0","3","-1","-1","1","9","PUM10001","50000","STS00001","50000","","","",""
"NEN02060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02061","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","31","MTR10041","100000","","","","","",""
"NEN02062","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02063","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","24","","","","","","","",""
"NEN02064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02066","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02067","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02068","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02071","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","30","MTR10177","100000","","","","","",""
"NEN02072","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","18","","","","","","","",""
"NEN02073","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02076","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","22","MTR10023","100000","","","","","",""
"NEN02077","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02078","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02079","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","769","99","1","107","0","100000","0","3","-1","-1","1","7","","","","","","","",""
"NEN02080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02081","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02082","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","24","","","","","","","",""
"NEN02083","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","27","","","","","","","",""
"NEN02084","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","18","","","","","","","",""
"NEN02085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02086","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","20","MTR10123","100000","","","","","",""
"NEN02087","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02088","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","22","","","","","","","",""
"NEN02089","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02091","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02092","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02093","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02094","燃烧南瓜","MON10051","0","MAI00005","2","AAI00002","1","","","","6","99","990","4500","0","100000","0","3","-1","-1","1","9","PUM10001","50000","STS00001","50000","","","",""
"NEN02095","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02096","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","24","MTR10031","100000","","","","","",""
"NEN02097","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","17","","","","","","","",""
"NEN02098","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02099","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02101","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","17","MTR10178","100000","","","","","",""
"NEN02102","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02103","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02104","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02106","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","22","","","","","","","",""
"NEN02107","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02108","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02109","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","19","","","","","","","",""
"NEN02110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02111","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","24","MTR10179","100000","","","","","",""
"NEN02112","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","26","","","","","","","",""
"NEN02113","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","18","","","","","","","",""
"NEN02114","燃烧南瓜","MON10051","0","MAI00005","2","AAI00002","1","","","","6","99","990","4500","0","100000","0","3","-1","-1","1","11","PUM10001","50000","STS00001","50000","","","",""
"NEN02115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02116","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","23","","","","","","","",""
"NEN02117","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","1499","99","639","54","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02118","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","1104","99","879","13","0","100000","0","3","-1","-1","1","21","","","","","","","",""
"NEN02119","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","18","","","","","","","",""
"NEN02120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02121","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","18","MTR10264","100000","","","","","",""
"NEN02122","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","1278","99","701","0","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02123","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","634","99","2104","0","0","100000","0","3","-1","-1","1","25","","","","","","","",""
"NEN02124","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","1057","99","903","0","0","100000","0","3","-1","-1","1","20","","","","","","","",""
"NEN02125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02126","强力火元素","MON10002","1","MAI00005","2","AAI00002","1","","","","15418","99","1269","242","0","100000","0","3","-1","-1","1","185","MTR00003","100000","","","","","",""
"NEN02127","卡尔","MON10054","1","MAI00006|MAI00005|MAI00006","1|1|1","AAI00018|AAI00019|AAI00018","1|1|1","ACT00001","33000","0","27612","99","1633","334","0","100000","0","3","-1","-1","1","301","MTR00006","100000","","","","","",""
"NEN02128","龙人暴怒者","MON10015","1","MAI00005","2","AAI00010","1","","","","13866","99","1518","322","0","100000","0","3","-1","-1","1","160","MTR00003","100000","","","","","",""
"NEN02129","迪菲亚女法师","MON10010","1","MAI00006","2","AAI00003","1","","","","13164","99","1533","81","0","100000","0","3","-1","-1","1","132","MTR00003","100000","","","","","",""
"NEN02130","蛋总","MON10060","1","MAI00005|MAI00005|MAI00005","2|2|2","AAI00007|AAI00036|AAI00007","1|1|1","ACT00001","33000","0","24776","99","1739","81","0","100000","0","3","-1","-1","1","265","MTR00008","100000","","","","","",""
"NEN02131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN02150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03001","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","18","MTR10142","100000","","","","","",""
"NEN03002","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","18","","","","","","","",""
"NEN03003","冷酷矿工","MON20003","0","MAI00005","2","AAI00002","1","","","","907","99","771","0","0","100000","0","3","-1","-1","2","19","","","","","","","",""
"NEN03004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03006","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","16","","","","","","","",""
"NEN03007","冷酷的奥格瑞玛步兵","MON20007","0","MAI00005","1","AAI00001","1","","","","590","99","1906","0","0","100000","0","3","-1","-1","2","22","","","","","","","",""
"NEN03008","冷酷的奥格瑞玛步兵","MON20007","0","MAI00005","1","AAI00001","1","","","","590","99","1906","0","0","100000","0","3","-1","-1","2","26","","","","","","","",""
"NEN03009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03011","冰冷蝙蝠","MON20005","0","MAI00005","3","AAI00002","1","","","","906","99","771","9","0","100000","0","3","-1","-1","2","17","MTR10166","100000","","","","","",""
"NEN03012","水小恶魔","MON20069","0","MAI00005","2","AAI00002","2","","","","1088","99","953","18","0","100000","0","3","-1","-1","2","23","","","","","","","",""
"NEN03013","水小恶魔","MON20069","0","MAI00005","2","AAI00002","2","","","","1088","99","953","18","0","100000","0","3","-1","-1","2","21","","","","","","","",""
"NEN03014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03016","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","19","","","","","","","",""
"NEN03017","冰冷蝙蝠","MON20005","0","MAI00005","3","AAI00002","1","","","","906","99","771","9","0","100000","0","3","-1","-1","2","14","","","","","","","",""
"NEN03018","冷酷的奥格瑞玛步兵","MON20007","0","MAI00005","1","AAI00001","1","","","","590","99","1906","0","0","100000","0","3","-1","-1","2","23","","","","","","","",""
"NEN03019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03021","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","16","MTR10263","100000","","","","","",""
"NEN03022","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","20","","","","","","","",""
"NEN03023","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","15","","","","","","","",""
"NEN03024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03026","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","20","MTR10017","100000","","","","","",""
"NEN03027","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","20","","","","","","","",""
"NEN03028","冷酷矿工","MON20003","0","MAI00005","2","AAI00002","1","","","","907","99","771","0","0","100000","0","3","-1","-1","2","17","","","","","","","",""
"NEN03029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03031","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","16","","","","","","","",""
"NEN03032","水重火炮","MON20070","0","MAI00006","1","AAI00111","2","","","","5","99","590","100000","0","100000","0","3","-1","-1","2","5","","","","","","","",""
"NEN03033","水重火炮","MON20070","0","MAI00006","1","AAI00111","2","","","","5","99","590","100000","0","100000","0","3","-1","-1","2","6","","","","","","","",""
"NEN03034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03036","冰冷蝙蝠","MON20005","0","MAI00005","3","AAI00002","1","","","","906","99","771","9","0","100000","0","3","-1","-1","2","19","MTR10167","100000","","","","","",""
"NEN03037","冷酷矿工","MON20003","0","MAI00005","2","AAI00002","1","","","","907","99","771","0","0","100000","0","3","-1","-1","2","17","","","","","","","",""
"NEN03038","冷酷矿工","MON20003","0","MAI00005","2","AAI00002","1","","","","907","99","771","0","0","100000","0","3","-1","-1","2","16","","","","","","","",""
"NEN03039","水灵兔","MON20068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","681","99","1","72","0","100000","0","3","-1","-1","2","8","","","","","","","",""
"NEN03040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03041","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","16","","","","","","","",""
"NEN03042","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","17","","","","","","","",""
"NEN03043","冰冷猫头鹰","MON20008","0","MAI00005","2","AAI00030","1","","","","1088","99","635","0","0","100000","0","3","-1","-1","2","19","","","","","","","",""
"NEN03044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03046","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","19","MTR10168","100000","","","","","",""
"NEN03047","冰冷蝙蝠","MON20005","0","MAI00005","3","AAI00002","1","","","","906","99","771","9","0","100000","0","3","-1","-1","2","15","","","","","","","",""
"NEN03048","冰冷蝙蝠","MON20005","0","MAI00005","3","AAI00002","1","","","","906","99","771","9","0","100000","0","3","-1","-1","2","18","","","","","","","",""
"NEN03049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03051","冷酷的奥格瑞玛步兵","MON20007","0","MAI00005","1","AAI00001","1","","","","590","99","1906","0","0","100000","0","3","-1","-1","2","25","MTR10169","100000","","","","","",""
"NEN03052","水元素","MON20001","0","MAI00005","1","AAI00002","1","","","","1270","99","544","36","0","100000","0","3","-1","-1","2","16","","","","","","","",""
"NEN03053","冷酷的奥格瑞玛步兵","MON20007","0","MAI00005","1","AAI00001","1","","","","590","99","1906","0","0","100000","0","3","-1","-1","2","28","","","","","","","",""
"NEN03054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEN03056","冰冷蝙蝠","MON20005","0","MAI00005","3","AAI00002","1","","","","906","99","771","9","0","100000","0","3","-1","-1","2","16","","","","","","","",""
"NEN03057","冷酷矿工","MON20003","0","MAI00005","2","AAI00002","1","","","","907","99","771","0","0","100000","0","3","-1","-1","2","16","","","","","","","",""
"NEN03058","冷酷矿工","MON20003","0","MAI00005","2","AAI00002","1","","","","907","99","771","0","0","100000","0","3","-1","-1","2","18","","","","","","","",""
"NEN03059","冰冷南瓜","MON20051","0","MAI00005","2","AAI00002","1","","","","6","99","944","4500","0","100000","0","3","-1","-1","2","9","PUM20001","50000","STS00001","50000","","","",""
"NEN03060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
