"id","sort_id","mission_type","stage","icon_no","title","content","dungeon_condition","material_condition","mission_count","level","reward_item_id1","reward_number1","reward_item_id2","reward_number2"
"101303","35","TYPE_HELMET_5_STARS","3","3","头盔收藏家：史诗","拥有10件五星及以上的头盔","","","10","","STS00003","5","",""
"101304","36","TYPE_HELMET_5_STARS","4","4","头盔收藏家：史诗","拥有20件五星及以上的头盔","","","20","","STS00003","5","",""
"101401","37","TYPE_MONSTER_EVOLUTION_4_STARS","1","1","英雄之路：四星","拥有1名四星及以上英雄","","","1","","STN00001","30","PUM10002","10"
"101402","38","TYPE_MONSTER_EVOLUTION_4_STARS","2","2","英雄之路：四星","拥有5名四星及以上英雄","","","5","","STN00001","30","PUM20002","10"
"101403","39","TYPE_MONSTER_EVOLUTION_4_STARS","3","3","英雄之路：四星","拥有10名四星及以上英雄","","","10","","STN00001","30","PUM30002","10"
"101404","40","TYPE_MONSTER_EVOLUTION_4_STARS","4","4","英雄之路：四星","拥有20名四星及以上英雄","","","20","","STN00001","30","PUM40002","10"
"101501","41","TYPE_MONSTER_EVOLUTION_5_STARS","1","1","英雄之路：五星","拥有1名五星及以上英雄","","","1","","STN00001","40","PUM10003","5"
"101502","42","TYPE_MONSTER_EVOLUTION_5_STARS","2","2","英雄之路：五星","拥有5名五星及以上英雄","","","5","","STN00001","40","PUM20003","5"
"101503","43","TYPE_MONSTER_EVOLUTION_5_STARS","3","3","英雄之路：五星","拥有10名五星及以上英雄","","","10","","STN00001","40","PUM20003","5"
"101504","44","TYPE_MONSTER_EVOLUTION_5_STARS","4","4","英雄之路：五星","拥有20名五星及以上英雄","","","20","","STN00001","40","PUM40003","5"
"101601","45","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","1","1","征战之旅","通过普通副本第1章","NMD00023","","1","","STN00001","20","",""
"101602","46","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","2","1","征战之旅","通过普通副本第2章","NMD00018","","2","","STN00001","20","",""
"101603","47","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","3","1","征战之旅","通过普通副本第3章","NMD00013","","3","","STN00001","20","",""
"101604","48","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","4","1","征战之旅","通过普通副本第4章","NMD00008","","4","","STN00001","20","",""
"101605","49","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","5","1","征战之旅","通过普通副本第5章","NMD00028","","5","","STN00001","20","",""
"101606","50","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","6","2","征战之旅","通过普通副本第6章","NMD00048","","6","","STN00001","20","",""
"101607","51","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","7","2","征战之旅","通过普通副本第7章","NMD00043","","7","","STN00001","20","",""
"101608","52","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","8","2","征战之旅","通过普通副本第8章","NMD00038","","8","","STN00001","20","",""
"101609","53","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","9","2","征战之旅","通过普通副本第9章","NMD00033","","9","","STN00001","20","",""
"101610","54","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","10","2","征战之旅","通过普通副本第10章","NMD00053","","10","","STN00001","20","",""
"101611","55","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","11","3","征战之旅","通过普通副本第11章","NMD00073","","11","","STN00001","20","",""
"101612","56","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","12","3","征战之旅","通过普通副本第12章","NMD00068","","12","","STN00001","20","",""
"101613","57","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","13","3","征战之旅","通过普通副本第13章","NMD00063","","13","","STN00001","20","",""
"101614","58","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","14","3","征战之旅","通过普通副本第14章","NMD00058","","14","","STN00001","20","",""
"101615","59","TYPE_DUNGEON_CLEAR_NORMAL_DUNGEON_ID","15","3","征战之旅","通过普通副本第15章","NMD00078","","15","","STN00001","20","",""
"101701","60","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","1","2","精英之途","通过精英副本第1章","ELD00023","","1","","STN00001","30","",""
"101702","61","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","2","2","精英之途","通过精英副本第2章","ELD00018","","2","","STN00001","30","",""
"101703","62","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","3","2","精英之途","通过精英副本第3章","ELD00013","","3","","STN00001","30","",""
"101704","63","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","4","2","精英之途","通过精英副本第4章","ELD00008","","4","","STN00001","30","",""
"101705","64","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","5","2","精英之途","通过精英副本第5章","ELD00028","","5","","STN00001","30","",""
"101706","65","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","6","3","精英之途","通过精英副本第6章","ELD00048","","6","","STN00001","30","",""
"101707","66","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","7","3","精英之途","通过精英副本第7章","ELD00043","","7","","STN00001","30","",""
"101708","67","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","8","3","精英之途","通过精英副本第8章","ELD00038","","8","","STN00001","30","",""
"101709","68","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","9","3","精英之途","通过精英副本第9章","ELD00033","","9","","STN00001","30","",""
"101710","69","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","10","3","精英之途","通过精英副本第10章","ELD00053","","10","","STN00001","30","",""
"101711","70","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","11","4","精英之途","通过精英副本第11章","ELD00073","","11","","STN00001","30","",""
"101712","71","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","12","4","精英之途","通过精英副本第12章","ELD00068","","12","","STN00001","30","",""
"101713","72","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","13","4","精英之途","通过精英副本第13章","ELD00063","","13","","STN00001","30","",""
"101714","73","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","14","4","精英之途","通过精英副本第14章","ELD00058","","14","","STN00001","30","",""
"101715","74","TYPE_DUNGEON_CLEAR_ELITE_DUNGEON_ID","15","4","精英之途","通过精英副本第15章","ELD00078","","15","","STN00001","30","",""
"101801","75","TYPE_LEVEL_UP","1","1","指挥官的里程碑","主角等级达到10级","","","","10","STN00001","20","",""
"101802","76","TYPE_LEVEL_UP","2","1","指挥官的里程碑","主角等级达到20级","","","","20","STN00001","30","",""
"101803","77","TYPE_LEVEL_UP","3","1","指挥官的里程碑","主角等级达到30级","","","","30","STN00001","40","",""
"101804","78","TYPE_LEVEL_UP","4","2","指挥官的里程碑","主角等级达到40级","","","","40","STN00001","50","",""
"101805","79","TYPE_LEVEL_UP","5","2","指挥官的里程碑","主角等级达到50级","","","","50","STN00001","60","",""
"101806","80","TYPE_LEVEL_UP","6","2","指挥官的里程碑","主角等级达到60级","","","","60","STN00001","70","",""
"101807","81","TYPE_LEVEL_UP","7","3","指挥官的里程碑","主角等级达到70级","","","","70","STN00001","80","",""
"101808","82","TYPE_LEVEL_UP","8","3","指挥官的里程碑","主角等级达到80级","","","","80","STN00001","90","",""
"101809","83","TYPE_LEVEL_UP","9","4","指挥官的里程碑","主角等级达到90级","","","","90","STN00001","100","",""
"101901","84","TYPE_GUILD_JOIN","1","1","找到组织啦","成为公会一员","","","","","STN00001","20","",""
"102001","85","TYPE_GUILD_LEAD","1","3","呼风唤雨","成为公会的会长或副会长","","","","","STN00001","20","",""
"102101","86","TYPE_ACCUMULATE_PUMPKIN","1","1","勤劳的农夫","累计获得100个巨型南瓜","","PUM10003|PUM20003|PUM30003|PUM40003","100","","STN00001","20","",""
"102201","87","TYPE_ACCUMULATE_STRONGSTONE","1","1","藏石家","累计获得100个超级强化石","","STS00003","100","","STN00001","20","",""
"102301","88","TYPE_ACCUMULATE_COIN","1","1","大富豪","累计获得100000金币","","","100000","","STN00001","20","",""
"102401","89","TYPE_ACCUMULATE_SKIP_TICKET","1","1","弯道超车","累计获得100张副本扫荡券","","","100","","STN00001","20","",""
"102501","90","TYPE_DUNGEON_CLEAR_COUNT_ACRANE_DUNGEON","1","1","读书人","累计过关奥术神殿5次","SPD00007|SPD00008|SPD00009","","5","","STN00001","20","",""
"102502","91","TYPE_DUNGEON_CLEAR_COUNT_ACRANE_DUNGEON","2","2","读书人","累计过关奥术神殿50次","SPD00007|SPD00008|SPD00009","","50","","STN00001","30","",""
"102503","92","TYPE_DUNGEON_CLEAR_COUNT_ACRANE_DUNGEON","3","3","读书人","累计过关奥术神殿200次","SPD00007|SPD00008|SPD00009","","200","","STN00001","40","",""
"102601","93","TYPE_DUNGEON_CLEAR_COUNT_POWER_DUNGEON","1","1","壮汉","累计过关神力山峰5次","SPD00010|SPD00011|SPD00012","","5","","STN00001","20","",""
"102602","94","TYPE_DUNGEON_CLEAR_COUNT_POWER_DUNGEON","2","2","壮汉","累计过关神力山峰50次","SPD00010|SPD00011|SPD00012","","50","","STN00001","30","",""
"102603","95","TYPE_DUNGEON_CLEAR_COUNT_POWER_DUNGEON","3","3","壮汉","累计过关神力山峰200次","SPD00010|SPD00011|SPD00012","","200","","STN00001","40","",""
"102701","96","TYPE_DUNGEON_CLEAR_COUNT_PUMPKIN_DUNGEON","1","1","派对常客","累计过关南瓜派对5次","SPD00001|SPD00002|SPD00003","","5","","STN00001","20","",""
"102702","97","TYPE_DUNGEON_CLEAR_COUNT_PUMPKIN_DUNGEON","2","2","派对常客","累计过关南瓜派对50次","SPD00001|SPD00002|SPD00003","","50","","STN00001","30","",""
"102703","98","TYPE_DUNGEON_CLEAR_COUNT_PUMPKIN_DUNGEON","3","3","派对常客","累计过关南瓜派对200次","SPD00001|SPD00002|SPD00003","","200","","STN00001","40","",""
"102801","99","TYPE_DUNGEON_CLEAR_COUNT_GOLD_DUNGEON","1","1","峡谷旅人","累计过关金龙峡谷5次","SPD00004|SPD00005|SPD00006","","5","","STN00001","20","",""
"102802","100","TYPE_DUNGEON_CLEAR_COUNT_GOLD_DUNGEON","2","2","峡谷旅人","累计过关金龙峡谷50次","SPD00004|SPD00005|SPD00006","","50","","STN00001","30","",""
"102803","101","TYPE_DUNGEON_CLEAR_COUNT_GOLD_DUNGEON","3","3","峡谷旅人","累计过关金龙峡谷200次","SPD00004|SPD00005|SPD00006","","200","","STN00001","40","",""
"102901","102","TYPE_GUILD_SEND_MONSTER","1","1","奉献者","累计派遣5次公会助战","","","5","","STN00001","20","",""
"102902","103","TYPE_GUILD_SEND_MONSTER","2","2","奉献者","累计派遣20次公会助战","","","20","","STN00001","30","",""
"102903","104","TYPE_GUILD_SEND_MONSTER","3","3","奉献者","累计派遣100次公会助战","","","100","","STN00001","40","",""
"103001","105","TYPE_GUILD_INVITE_MONSTER","1","1","帮帮我吧","累计邀请5次公会助战","","","5","","STN00001","20","",""
"103002","106","TYPE_GUILD_INVITE_MONSTER","2","2","帮帮我吧","累计邀请50次公会助战","","","50","","STN00001","30","",""
"103003","107","TYPE_GUILD_INVITE_MONSTER","3","3","帮帮我吧","累计邀请200次公会助战","","","200","","STN00001","40","",""
"103101","108","TYPE_LOGIN_DAYS","1","1","爱上我了吗","累计登录7天","","","7"," ","STN00001","20","",""
"103102","109","TYPE_LOGIN_DAYS","2","2","爱上我了吗","累计登录30天","","","30","","STN00001","30","",""
"103103","110","TYPE_LOGIN_DAYS","3","3","爱上我了吗","累计登录365天","","","365","","STN00001","40","",""
"103201","111","TYPE_QUEST_TRAP","1","1","猎人还是猎物","累计在副本中踩到10个陷阱","","","10","","STN00001","10","",""
"103202","112","TYPE_QUEST_TRAP","2","2","猎人还是猎物","累计在副本中踩到100个陷阱","","","100","","STN00001","20","",""
"103301","113","TYPE_QUEST_ACTIVE_SKILL","1","1","亮了就点","累计在副本中施放100次主动技","","","100","","STN00001","10","",""
"103302","114","TYPE_QUEST_ACTIVE_SKILL","2","2","亮了就点","累计在副本中施放999次主动技","","","999","","STN00001","20","",""
"103401","115","TYPE_QUEST_CHAIN_SKILL","1","1","连连看","累计在副本中施放100次连锁技","","","100","","STN00001","10","",""
"103402","116","TYPE_QUEST_CHAIN_SKILL","2","2","连连看","累计在副本中施放999次连锁技","","","999","","STN00001","20","",""
"103501","117","TYPE_QUEST_BRAVELY_CHAIN","1","1","魔鬼的步伐","累计在副本中触发10次极限连锁","","","10","","STN00001","10","",""
"103502","118","TYPE_QUEST_BRAVELY_CHAIN","2","2","魔鬼的步伐","累计在副本中触发100次极限连锁","","","100","","STN00001","20","",""
"103601","119","TYPE_QUEST_DIE","1","1","大侠请重新来过","累计在副本中阵亡10次","","","10","","STN00001","10","",""
"103602","120","TYPE_QUEST_DIE","2","2","大侠请重新来过","累计在副本中阵亡100次","","","100","","STN00001","20","",""
"103701","121","TYPE_QUEST_MAX_HP_CLEAR","1","3","完美无缺","满血通过任意副本","","","100000","","STN00001","40","",""
"103801","122","TYPE_QUEST_LITTLE_HP_CLEAR","1","3","完美无缺（咳咳）","血量低于百分之五通过任意副本","","","5000","","STN00001","40","",""
"103901","123","TYPE_PVP_RANKSCORE","1","1","天梯勇者","天梯竞技场1200积分","","","1200","","STN00001","10","",""
"103902","124","TYPE_PVP_RANKSCORE","2","2","天梯勇者","天梯竞技场1600积分","","","1600","","STN00001","20","",""
"103903","125","TYPE_PVP_RANKSCORE","3","3","天梯勇者","天梯竞技场2000积分","","","2000","","STN00001","30","",""
"103904","126","TYPE_PVP_RANKSCORE","4","4","天梯勇者","天梯竞技场2200积分","","","2200","","STN00001","40","",""
"104001","127","TYPE_PVP_CONSECUTIVE_WIN","1","1","一气呵成","天梯竞技场2连胜","","","2","","STN00001","10","LPT00001","100"
"104002","128","TYPE_PVP_CONSECUTIVE_WIN","2","2","一气呵成","天梯竞技场3连胜","","","3","","STN00001","20","LPT00001","200"
"104003","129","TYPE_PVP_CONSECUTIVE_WIN","3","3","一气呵成","天梯竞技场4连胜","","","4","","STN00001","30","LPT00001","300"
"104004","130","TYPE_PVP_CONSECUTIVE_WIN","4","4","一气呵成","天梯竞技场5连胜","","","5","","STN00001","40","LPT00001","400"
"104101","131","TYPE_PVP_CONSECUTIVE_LOSE","1","1","祸不单行","天梯竞技场2连败","","","2","","STN00001","10","LPT00001","100"
"104102","132","TYPE_PVP_CONSECUTIVE_LOSE","2","2","祸不单行","天梯竞技场3连败","","","3","","STN00001","20","LPT00001","200"
"104103","133","TYPE_PVP_CONSECUTIVE_LOSE","3","3","祸不单行","天梯竞技场4连败","","","4","","STN00001","30","LPT00001","300"
"104104","134","TYPE_PVP_CONSECUTIVE_LOSE","4","4","祸不单行","天梯竞技场5连败","","","5","","STN00001","40","LPT00001","400"
