"id","name","image_name","text","text_1","default_text","levelup_text","attribute","invoke_chain","type","positive_state","negative_state","multiplier","point","percent","absorptance","range","turn","blow_off_distance","hp_attack_percent","hp_down_percent","type_attribute","type_attribute_multiplier","effect_point","multi_attack","max_level","skill_value"
"CSK00181","冰霜顺劈","SIM00025","对范围内的敌人造成水属性伤害+昏迷 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成水属性伤害(+###%)并昏迷，达到特定连锁数攻击范围将会扩大。","0",".2222222","2","0","SKT00006","0","6","1","0","0","0","1","2","0","0","0","0","0","0","1","90","15"
"CSK00185","雷霆顺劈","SIM00025","对范围内的敌人造成雷属性伤害+昏迷 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成雷属性伤害(+###%)并昏迷，达到特定连锁数攻击范围将会扩大。","0",".2222222","3","0","SKT00006","0","6","1","0","0","0","1","2","0","0","0","0","0","0","1","90","15"
"CSK00189","荆棘顺劈","SIM00025","对范围内的敌人造成森属性伤害+昏迷 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成森属性伤害(+###%)并昏迷，达到特定连锁数攻击范围将会扩大。","0",".2222222","4","0","SKT00006","0","6","1","0","0","0","1","2","0","0","0","0","0","0","1","90","15"
"CSK00193","火炎乱舞","SIM00026","对范围内的敌人造成火属性伤害 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成火属性伤害(+###%)，达到特定连锁数攻击范围将会扩大。","0",".2222222","1","0","SKT00007","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00197","冰华乱舞","SIM00026","对范围内的敌人造成水属性伤害 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成水属性伤害(+###%)，达到特定连锁数攻击范围将会扩大。","0",".2222222","2","0","SKT00007","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00201","闪之乱舞","SIM00026","对范围内的敌人造成雷属性伤害 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成雷属性伤害(+###%)，达到特定连锁数攻击范围将会扩大。","0",".2222222","3","0","SKT00007","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00205","棘刺之舞","SIM00026","对范围内的敌人造成森属性伤害 达到特定连锁数攻击范围将会扩大。","对范围内的敌人造成森属性伤害(+###%)，达到特定连锁数攻击范围将会扩大。","0",".2222222","4","0","SKT00007","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","90","15"
"CSK00209","爆炸射击","SIM00026","对附近的敌人造成火属性伤害 达到特定连锁数可攻击的敌人数将会增加。","对附近的敌人造成火属性伤害(+###%)，达到特定连锁数可攻击的敌人数将会增加。","0",".2222222","1","0","SKT00008","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00213","冰霜射击","SIM00026","对附近的敌人造成水属性伤害 达到特定连锁数可攻击的敌人数将会增加。","对附近的敌人造成水属性伤害(+###%)，达到特定连锁数可攻击的敌人数将会增加。","0",".2222222","2","0","SKT00008","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00217","强风射击","SIM00026","对附近的敌人造成雷属性伤害 达到特定连锁数可攻击的敌人数将会增加。","对附近的敌人造成雷属性伤害(+###%)，达到特定连锁数可攻击的敌人数将会增加。","0",".2222222","3","0","SKT00008","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00221","盖亚之矢","SIM00026","对附近的敌人造成森属性伤害 达到特定连锁数可攻击的敌人数将会增加。","对附近的敌人造成森属性伤害(+###%)，达到特定连锁数可攻击的敌人数将会增加。","0",".2222222","4","0","SKT00008","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00225","烈焰风暴","SIM00028","对所有敌人造成火属性伤害 达到特定连锁数技能攻击力将会提升。","对所有敌人造成火属性伤害(+###%)，达到特定连锁数技能攻击力将会提升。","0",".2222222","1","0","SKT00009","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00229","暴风雪","SIM00028","对所有敌人造成水属性伤害 达到特定连锁数技能攻击力将会提升。","对所有敌人造成水属性伤害(+###%)，达到特定连锁数技能攻击力将会提升。","0",".2222222","2","0","SKT00009","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00233","闪电风暴","SIM00028","对所有敌人造成雷属性伤害 达到特定连锁数技能攻击力将会提升。","对所有敌人造成雷属性伤害(+###%)，达到特定连锁数技能攻击力将会提升。","0",".2222222","3","0","SKT00009","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00237","星辰陨落","SIM00028","对所有敌人造成森属性伤害 达到特定连锁数技能攻击力将会提升。","对所有敌人造成森属性伤害(+###%)，达到特定连锁数技能攻击力将会提升。","0",".2222222","4","0","SKT00009","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00572","天火燎原","SIM00034","对纵向3列的敌人造成火属性伤害。","对纵向3列的敌人造成火属性伤害(+###%)。","0",".2222222","1","8","SKT00014","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00578","强化治疗","SIM00029","恢复玩家生命的10%。","恢复玩家生命的###%。","10",".0222222","0","8","SKT00011","0","0","1","0","10000","0","0","0","0","0","0","0","0","0","1","90","15"
"CSK00579","快速治疗","SIM00029","恢复玩家生命的5%。","恢复玩家生命的###%。","5",".0111111","0","5","SKT00011","0","0","1","0","5000","0","0","0","0","0","0","0","0","0","1","90","15"
"CSK00580","毁灭打击","SIM00030","对十字斜线范围(16格)内的敌人造成雷属性伤害。","对十字斜线范围(16格)内的敌人造成雷属性伤害(+###%)。","0",".2222222","3","8","SKT00013","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00585","最大警戒","SIM00041","对十字范围(20格)内的敌人造成水属性伤害。","对十字范围(20格)内的敌人造成水属性伤害(+###%)。","0",".2222222","2","10","SKT00001","0","0","1","0","0","0","5","0","0","0","0","0","0","0","1","90","15"
"CSK00587","无畏冲锋","SIM00016","对十字范围(8格)内的敌人造成森属性伤害并击退。","对十字范围(8格)内的敌人造成森属性伤害(+###%)并击退。","0",".2222222","4","7","SKT00001","0","0","1","0","0","0","2","0","8","0","0","0","0","0","1","90","15"
"CSK00588","不可侵犯","SIM00017","对十字范围(12格)内的敌人造成森属性伤害。","对十字范围(12格)内的敌人造成森属性伤害(+###%)。","0",".2222222","4","7","SKT00001","0","0","1","0","0","0","3","0","8","0","0","0","0","0","1","90","15"
"CSK00589","战火连天","SIM00030","对十字斜线范围(16格)内的敌人造成火属性伤害。","对十字斜线范围(16格)内的敌人造成火属性伤害(+###%)。","0",".2222222","1","8","SKT00013","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00594","偃月之击","SIM00021","对周围(8格)内的敌人造成森属性伤害并回复伤害量15%的生命。","对周围(8格)内的敌人造成森属性伤害(+###%)并回复伤害量15%的生命。","0",".2222222","4","7","SKT00003","0","0","1","0","0","15000","1","0","0","0","0","0","0","0","1","90","20"
"CSK00596","七入长坂","SIM00016","对十字范围(8格)内的敌人造成水属性伤害，低机率昏迷。","对十字范围(8格)内的敌人造成水属性伤害(+###%)，低机率昏迷。","0",".2222222","2","7","SKT00001","0","6","1","0","20000","0","2","2","0","0","0","0","0","0","1","90","15"
"CSK00598","心灵爆震","SIM00019","对斜线范围(8格)内的敌人造成雷属性伤害。","对斜线范围(8格)内的敌人造成雷属性伤害(+###%)。","0",".2222222","3","6","SKT00002","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00602","咆哮战歌","SIM00016","对十字范围(8格)内的敌人造成火属性伤害，中机率降低攻击力。","对十字范围(8格)内的敌人造成火属性伤害(+###%)，中机率降低攻击力。","0",".2222222","1","7","SKT00001","0","3","1","0","40000","0","2","2","0","0","0","0","0","50000","1","90","15"
"CSK00603","亡域瘟疫","SIM00026","对菱形(12格)内的敌人造成水属性伤害，中机率降低防御力。","对菱形(12格)内的敌人造成水属性伤害(+###%)，中机率降低防御力。","0",".2222222","2","8","SKT00016","0","11","1","0","40000","0","2","2","0","0","0","0","0","50000","1","90","15"
"CSK00607","蛇之吐息","SIM00030","对十字斜线范围(16格)内的敌人造成水属性伤害，低几率中毒。","对十字斜线范围(16格)内的敌人造成水属性伤害(+###%)，低几率中毒。","0",".2222222","2","9","SKT00013","0","1","1","0","20000","0","2","2","0","0","0","0","0","5000","1","90","15"
"CSK00608","真气爆裂","SIM00026","对菱形(12格)内的敌人造成森属性伤害。","对菱形(12格)内的敌人造成森属性伤害(+###%)。","0",".2222222","4","7","SKT00016","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00617","稳定治疗","SIM00029","恢复玩家生命500点。","恢复玩家生命###点。","500","1.1111111","0","6","SKT00011","0","0","1","500","0","0","0","0","0","0","0","0","0","0","1","90","15"
"CSK00620","横扫千军","SIM00028","对所有敌人造成火属性伤害。","对所有敌人造成火属性伤害(+###%)。","0",".2222222","1","10","SKT00004","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00625","糕点治疗","SIM00029","恢复玩家生命的50%。","恢复玩家生命的###%。","50",".1111111","0","14","SKT00011","0","0","1","0","50000","0","0","0","0","0","0","0","0","0","1","90","15"
"CSK00630","火焰爆裂","SIM00026","对菱形(12格)内的敌人造成火属性伤害。","对菱形(12格)内的敌人造成火属性伤害(+###%)。","0",".2222222","1","7","SKT00016","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00633","闪电冲击","SIM00022","对周围(24格)内的敌人造成雷属性伤害，中机率麻痺。","对周围(24格)内的敌人造成雷属性伤害(+###%)，中机率麻痺。","0",".2222222","3","9","SKT00003","0","2","1","0","40000","0","2","2","0","0","0","0","0","0","1","90","15"
"CSK00645","凋零射击","SIM00026","对菱形(12格)内的敌人造成水属性伤害。","对菱形(12格)内的敌人造成水属性伤害(+###%)。","0",".2222222","2","7","SKT00016","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00647","森之叹息","SIM00037","对横向3排的敌人造成森属性伤害。","对横向3排的敌人造成森属性伤害(+###%)。","0",".2222222","4","8","SKT00015","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00667","传世之火","SIM00022","对周围(24格)内的敌人造成火属性伤害，低机率烧伤。","对周围(24格)内的敌人造成火属性伤害(+###%)，低机率烧伤。","0",".2222222","1","10","SKT00003","0","12","1","0","20000","0","2","2","0","0","0","0","0","5000","1","90","15"
"CSK00832","复国之怒","SIM00016","对十字范围(8格)内的敌人造成火属性伤害。","对十字范围(8格)内的敌人造成火属性伤害(+###%)。","0",".2222222","1","6","SKT00001","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","90","15"
"CSK00834","巫毒之力","SIM00028","对所有敌人造成森属性伤害。","对所有敌人造成森属性伤害(+###%)。","0",".2222222","4","8","SKT00004","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","90","15"
"CSK00984","凋零箭矢","SIM00027","对附近的敌人造成水属性伤害并回复伤害量15%的生命。","对附近的敌人造成水属性伤害（+###%)并回复伤害量15%的生命。","0",".2222222","2","8","SKT00008","0","0","1","0","0","15000","1","0","0","0","0","0","0","0","0","90","15"
"CSK00985","动荡业火","SIM00027","将森属性元素方块转换成火属性(最多3个)。","将森属性元素方块转换成火属性(最多3个)。","0","0","1|4","8","SKT00010","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","1200"
