"id","no","name","id","grow_type","rarity","max_level","cost","attribute","type_attribute","attack_area_type","family_type","sold_price","exp","hp_grow_type","attack_grow_type","defense_grow_type","chain_skill_id","chain_skill_animation","chain_skill_effect_sac_id","chain_skill_effect_plist_id","chain_skill_effect_ccb_id","active_skill_id","active_skill_animation","active_skill_effect_sac_id","active_skill_effect_plist_id","active_skill_effect_ccb_id","default_hp","default_attack","default_defense","max_hp","max_attack","max_defense","critical","accuracy","missing","ability_power","evolution","enemy_passive_skill","movable_place","flying","width","height","weakpoint_type","max_luck","family_attribute","coming_soon","description","hash"
"MON10008","21","燃烧猫头鹰","MON10008","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","76","31","0","151","121","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","小型飞行单位，拥有沉默的特殊能力。",""
"MON20008","22","冰冷猫头鹰","MON20008","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","72","33","0","155","116","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","小型飞行单位，拥有沉默的特殊能力。",""
"MON30008","23","雷鸣猫头鹰","MON30008","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","71","34","0","156","113","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","小型飞行单位，拥有沉默的特殊能力。",""
"MON40008","24","隐匿猫头鹰","MON40008","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","74","32","0","152","120","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","小型飞行单位，拥有沉默的特殊能力。",""
"MON10010","25","迪菲亚女法师","MON10010","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","181","121","0","288","204","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型远程单位，攻击力相当优秀。",""
"MON20010","26","食人魔法师","MON20010","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","189","115","0","308","183","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型远程单位，攻击力相当优秀。",""
"MON30010","27","鹰身人","MON30010","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","182","119","0","308","199","0","5000","100000","0","0","0","","GMT00001","1","1","1","","1","1","0","小型近战单位，拥有麻痹的特殊能力。",""
"MON40010","28","骷髅弓箭手","MON40010","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","201","101","0","324","170","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型远程单位，攻击力相当优秀。",""
"MON10015","29","龙人暴怒者","MON10015","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","389","206","0","451","281","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON20015","30","龙人猎潮者","MON20015","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","381","209","0","453","286","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON30015","31","龙人唤雷者","MON30015","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","393","204","0","455","283","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON40015","32","龙人撼地者","MON40015","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","382","202","0","452","286","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON10028","33","熔岩作战傀儡","MON10028","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","423","185","0","1193","415","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，二阶段会远程攻击。",""
"MON20028","34","冰霜作战傀儡","MON20028","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","432","189","0","1135","420","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，二阶段会远程攻击。",""
"MON30028","35","雷霆作战傀儡","MON30028","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","422","183","0","1194","413","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，二阶段会远程攻击。",""
"MON40028","36","石化作战傀儡","MON40028","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","445","164","0","1214","402","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，二阶段会远程攻击。",""
"MON30038","37","加兹瑞拉的子嗣","MON30038","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","756","140","0","2056","381","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，二阶段会远程攻击。",""
"MON10051","38","燃烧南瓜","MON10051","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","100","100","0","100","100","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON10052","39","燃烧南瓜男爵","MON10052","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","200","200","0","200","200","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON10053","40","燃烧南瓜国王","MON10053","400","3","90","","1","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","300","300","0","300","300","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，防御力相当优秀。",""
"MON20051","41","冰冷南瓜","MON20051","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","100","100","0","100","100","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON20052","42","冰冷南瓜男爵","MON20052","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","200","200","0","200","200","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON20053","43","冰冷南瓜国王","MON20053","400","3","90","","2","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","300","300","0","300","300","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，防御力相当优秀。",""
"MON30051","44","雷鸣南瓜","MON30051","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","100","100","0","100","100","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON30052","45","雷鸣南瓜男爵","MON30052","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","200","200","0","200","200","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON30053","46","雷鸣南瓜国王","MON30053","400","3","90","","3","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","300","300","0","300","300","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，防御力相当优秀。",""
"MON40051","47","石化南瓜","MON40051","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","100","100","0","100","100","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON40052","48","石化南瓜男爵","MON40052","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","200","200","0","200","200","0","5000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，防御力相当优秀。",""
"MON40053","49","石化南瓜国王","MON40053","400","3","90","","4","1","AAT00001","FMT00001","1","2","1","2","2","","","","","","","","","","","300","300","0","300","300","0","5000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，防御力相当优秀。",""
"MON10054","50","火卡","MON10054","400","3","90","","1","2","AAT00001","FMT00001","","","1","2","2","CSK00832","SKA00002","SKE11017","SKE12011","","ASK00009","SKA00003","SKE11017","SKE12011","","715","593","0","1258","1099","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型远程单位，火球欢迎您。",""
"MON10055","51","火卡","MON10055","400","4","90","","1","2","AAT00001","FMT00001","","","1","2","2","CSK00832","SKA00002","SKE11017","SKE12011","","ASK00009","SKA00003","SKE11017","SKE12011","","1211","759","0","1822","1417","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型远程单位，火球欢迎您。",""
"MON10056","52","火卡","MON10056","400","5","90","","1","2","AAT00001","FMT00001","","","1","2","2","CSK00832","SKA00002","SKE11017","SKE12011","","ASK00009","SKA00003","SKE11017","SKE12011","","1661","884","0","2706","1483","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型远程单位，火球欢迎您。",""
"MON20054","53","光明王子","MON20054","400","3","90","","2","3","AAT00001","FMT00001","","","1","2","2","CSK00617","SKA00008","","","","ASK00809","SKA00008","","","","1084","448","0","2013","900","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，两次攻击附带麻痹。",""
"MON20055","54","光明王子","MON20055","400","4","90","","2","3","AAT00001","FMT00001","","","1","2","2","CSK00617","SKA00008","","","","ASK00809","SKA00008","","","","1493","634","0","2438","1113","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，两次攻击附带麻痹。",""
"MON20056","55","光明王子","MON20056","400","5","90","","2","3","AAT00001","FMT00001","","","1","2","2","CSK00617","SKA00008","","","","ASK00809","SKA00008","","","","2238","731","0","3196","1250","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，两次攻击附带麻痹。",""
"MON30054","56","团长","MON30054","400","3","90","","3","1","AAT00001","FMT00001","","","1","2","2","CSK00026","SKA00002","SKE31017","SKE39009","","ASK00265","SKA00007","","","","763","550","0","1437","1146","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，攻击力相当优秀，附带麻痹。",""
"MON30055","57","团长","MON30055","400","4","90","","3","1","AAT00001","FMT00001","","","1","2","2","CSK00026","SKA00002","SKE31017","SKE39009","","ASK00265","SKA00007","","","","878","853","0","1705","1390","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，攻击力相当优秀，附带麻痹。",""
"MON30056","58","团长","MON30056","400","5","90","","3","1","AAT00001","FMT00001","","","1","2","2","CSK00026","SKA00002","SKE31017","SKE39009","","ASK00265","SKA00007","","","","1163","1105","0","2006","1756","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，攻击力相当优秀，附带麻痹。",""
"MON40054","59","巫医","MON40054","400","3","90","","4","1","AAT00001","FMT00001","","","1","2","2","CSK00834","SKA00005","SKE45006","SKE45013","","ASK00316","SKA00003","SKE45006","SKE49005","","604","620","0","1744","929","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，二阶段附带击飞。",""
"MON40055","60","巫医","MON40055","400","4","90","","4","1","AAT00001","FMT00001","","","1","2","2","CSK00834","SKA00005","SKE45006","SKE45013","","ASK00316","SKA00003","SKE45006","SKE49005","","1122","762","0","2123","1175","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，二阶段附带击飞。",""
"MON40056","61","巫医","MON40056","400","5","90","","4","1","AAT00001","FMT00001","","","1","2","2","CSK00834","SKA00005","SKE45006","SKE45013","","ASK00316","SKA00003","SKE45006","SKE49005","","1576","989","0","2566","1546","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，二阶段附带击飞。",""
"MON10057","62","地狱吼","MON10057","400","3","90","","1","1","AAT00001","FMT00001","","","1","2","2","CSK00602","SKA00003","SKE19033","SKE19033","","ASK00857","SKA00013","SKE19033","","","840","546","0","1032","1307","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，攻击力超高。",""
"MON10058","63","地狱吼","MON10058","400","4","90","","1","1","AAT00001","FMT00001","","","1","2","2","CSK00602","SKA00003","SKE19033","SKE19033","","ASK00857","SKA00013","SKE19033","","","1132","848","0","1898","1274","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，攻击力超高。",""
"MON10059","64","地狱吼","MON10059","400","5","90","","1","1","AAT00001","FMT00001","","","1","2","2","CSK00602","SKA00003","SKE19033","SKE19033","","ASK00857","SKA00013","SKE19033","","","1244","1121","0","2069","1772","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，攻击力超高。",""
"MON20057","65","女王","MON20057","400","3","90","","2","2","AAT00001","FMT00001","","","1","2","2","CSK00984","SKA00002","SKE24016","","","ASK00912","SKA00002","SKE24016","","","716","605","0","1098","1221","0","1000","100000","0","0","1","","0","0","1","1","","1","1","0","小型近战单位，拥有全屏技能。",""
"MON20058","66","女王","MON20058","400","4","90","","2","2","AAT00001","FMT00001","","","1","2","2","CSK00984","SKA00002","SKE24016","","","ASK00912","SKA00002","SKE24016","","","1005","870","0","1318","1667","0","2000","100000","0","0","1","","0","0","1","1","","1","1","0","小型近战单位，拥有全屏技能。",""
"MON20059","67","女王","MON20059","400","5","90","","2","2","AAT00001","FMT00001","","","1","2","2","CSK00984","SKA00002","SKE24017","","","ASK00912","SKA00002","SKE24017","","","1312","1098","0","2010","1777","0","3000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，拥有全屏技能。",""
"MON30057","68","世界萨","MON30057","400","3","90","","3","2","AAT00001","FMT00001","","","1","2","2","CSK00633","SKA00002","SKE39045","SKE39045","","ASK00893","SKA00002","SKE39045","","","688","548","0","890","1277","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，攻击力相当优秀，附带击飞。",""
"MON30058","69","世界萨","MON30058","400","4","90","","3","2","AAT00001","FMT00001","","","1","2","2","CSK00633","SKA00002","SKE39045","SKE39045","","ASK00893","SKA00002","SKE39045","","","979","888","0","1310","1678","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，攻击力相当优秀，附带击飞。",""
"MON30059","70","世界萨","MON30059","400","5","90","","3","2","AAT00001","FMT00001","","","1","2","2","CSK00633","SKA00002","SKE39045","SKE39045","","ASK00893","SKA00002","SKE39045","","","1240","1102","0","1800","1857","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，攻击力相当优秀，附带击飞。",""
"MON40057","71","白虎","MON40057","400","3","90","","4","3","AAT00001","FMT00001","","","1","2","2","CSK00579","SKA00008","","","","ASK00944","SKA00005","SKE44018","","","678","546","0","1036","1304","0","1000","100000","0","0","1","","0","0","1","1","","1","1","0","小型远程单位，附带晕眩。",""
"MON40058","72","白虎","MON40058","400","4","90","","4","3","AAT00001","FMT00001","","","1","2","2","CSK00579","SKA00008","","","","ASK00944","SKA00005","SKE44018","","","877","862","0","1710","1422","0","2000","100000","0","0","1","","0","0","1","1","","1","1","0","小型远程单位，附带晕眩。",""
"MON40059","73","白虎","MON40059","400","5","90","","4","3","AAT00001","FMT00001","","","1","2","2","CSK00579","SKA00008","","","","ASK00944","SKA00005","SKE44019","","","1405","1025","0","2377","1642","0","3000","100000","0","0","0","","0","0","1","1","","1","1","0","小型远程单位，附带晕眩。",""
"MON10060","74","蛋总","MON10060","400","3","90","","1","2","AAT00002","FMT00001","","","1","2","2","CSK00630","SKA00002","SKE19062","SKE19062","","ASK00103","SKA00002","SKE19062","","","451","712","0","1004","1275","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，拥有冲锋技能。",""
"MON10061","75","蛋总","MON10061","400","4","90","","1","2","AAT00002","FMT00001","","","1","2","2","CSK00630","SKA00002","SKE19062","SKE19062","","ASK00103","SKA00002","SKE19062","","","530","1097","0","1058","1778","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，拥有冲锋技能。",""
"MON10062","76","蛋总","MON10062","400","5","90","","1","2","AAT00002","FMT00001","","","1","2","2","CSK00630","SKA00002","SKE19062","SKE19062","","ASK00103","SKA00002","SKE19062","","","641","1444","0","1492","2020","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，拥有冲锋技能。",""
"MON20060","77","堕落王子","MON20060","400","3","90","","2","1","AAT00001","FMT00001","","","1","2","2","CSK00603","SKA00003","SKE29037","","","ASK00859","SKA00003","SKE29037","","","844","585","0","1558","1094","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，拥有瞬移技能。",""
"MON20061","78","堕落王子","MON20061","400","4","90","","2","1","AAT00001","FMT00001","","","1","2","2","CSK00603","SKA00003","SKE29037","","","ASK00859","SKA00003","SKE29037","","","1108","846","0","1762","1458","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，拥有瞬移技能。",""
"MON20062","79","堕落王子","MON20062","400","5","90","","2","1","AAT00001","FMT00001","","","1","2","2","CSK00603","SKA00003","SKE29037","","","ASK00859","SKA00003","SKE29037","","","1339","1078","0","2689","1474","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，拥有瞬移技能。",""
"MON30067","80","光法","MON30067","400","3","90","","3","2","AAT00001","FMT00001","","","1","2","2","CSK00598","SKA00003","SKE39038","SKE39038","","ASK00850","SKA00006","","","SKE30003","718","566","0","1334","1089","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，附带麻痹。",""
"MON30060","81","光法","MON30060","400","4","90","","3","2","AAT00001","FMT00001","","","1","2","2","CSK00598","SKA00003","SKE39038","SKE39038","","ASK00850","SKA00006","","","SKE30003","952","844","0","1833","1326","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，附带麻痹。",""
"MON30061","82","光法","MON30061","400","5","90","","3","2","AAT00001","FMT00001","","","1","2","2","CSK00598","SKA00003","SKE39038","SKE39038","","ASK00850","SKA00006","","","SKE30003","1348","1092","0","1866","1803","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，附带麻痹。",""
"MON40064","83","陈","MON40064","400","3","90","","4","3","AAT00001","FMT00001","","","1","2","2","CSK00608","SKA00003","SKE49038","","","ASK00869","SKA00003","SKE49038","","","674","597","0","1469","1088","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，附带破甲。",""
"MON40060","84","陈","MON40060","400","4","90","","4","3","AAT00001","FMT00001","","","1","2","2","CSK00608","SKA00003","SKE49038","","","ASK00869","SKA00003","SKE49038","","","976","853","0","1903","1329","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，附带破甲。",""
"MON40061","85","陈","MON40061","400","5","90","","4","2","AAT00001","FMT00001","","","1","2","2","CSK00608","SKA00003","SKE49038","","","ASK00869","SKA00003","SKE49038","","","1174","1177","0","1947","1849","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，附带破甲。",""
"MON10065","86","瓦娘","MON10065","400","3","90","","1","2","AAT00001","FMT00001","","","1","2","2","CSK00002","SKA00003","SKE19018","SKE19018","","ASK00741","SKA00003","SKE19020","SKE19020","","656","568","0","1112","1231","0","1000","100000","0","0","1","","0","0","1","1","","1","1","0","小型近战单位，两次攻击。",""
"MON10063","87","瓦娘","MON10063","400","4","90","","1","2","AAT00001","FMT00001","","","1","2","2","CSK00002","SKA00003","SKE19018","SKE19018","","ASK00741","SKA00003","SKE19020","SKE19020","","910","851","0","1686","1390","0","2000","100000","0","0","1","","0","0","1","1","","1","1","0","小型近战单位，两次攻击。",""
"MON10064","88","瓦娘","MON10064","400","5","90","","1","2","AAT00001","FMT00001","","","1","2","2","CSK00002","SKA00003","SKE19018","SKE19018","","ASK00741","SKA00003","SKE19020","SKE19020","","1135","1145","0","1600","1984","0","3000","100000","0","0","0","","0","0","1","1","","1","1","0","小型近战单位，两次攻击。",""
"MON20065","89","冰女","MON20065","400","3","90","","2","2","AAT00001","FMT00001","","","1","2","2","CSK00109","SKA00002","SKE29015","SKE29015","","ASK00795","SKA00005","SKE29018","SKE29018","","778","522","0","1266","1202","0","1000","100000","0","0","1","","0","0","1","1","","1","1","0","小型远程单位，拥有全屏技能。",""
"MON20063","90","冰女","MON20063","400","4","90","","2","2","AAT00001","FMT00001","","","1","2","2","CSK00109","SKA00002","SKE29015","SKE29015","","ASK00795","SKA00005","SKE29018","SKE29018","","1257","763","0","1801","1342","0","2000","100000","0","0","1","","0","0","1","1","","1","1","0","小型远程单位，拥有全屏技能。",""
"MON20064","91","冰女","MON20064","400","5","90","","2","2","AAT00001","FMT00001","","","1","2","2","CSK00109","SKA00002","SKE29015","SKE29015","","ASK00795","SKA00005","SKE29018","SKE29018","","1565","979","0","2502","1567","0","3000","100000","0","0","0","","0","0","1","1","","1","1","0","小型远程单位，拥有全屏技能。",""
"MON30068","92","大帝","MON30068","400","3","90","","3","1","AAT00001","FMT00001","","","1","2","2","CSK00580","SKA00003","SKE39030","SKE39030","","ASK00919","SKA00007","","","","1107","392","0","1461","1051","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，防御力超强。",""
"MON30062","93","大帝","MON30062","400","4","90","","3","1","AAT00001","FMT00001","","","1","2","2","CSK00580","SKA00003","SKE39030","SKE39030","","ASK00919","SKA00007","","","","1262","717","0","1770","1442","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，防御力超强。",""
"MON30063","94","大帝","MON30063","400","5","90","","3","1","AAT00001","FMT00001","","","1","2","2","CSK00580","SKA00003","SKE39030","SKE39030","","ASK00919","SKA00007","","","","1687","893","0","2412","1621","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，防御力超强。",""
"MON40065","95","兽王","MON40065","400","3","90","","4","1","AAT00001","FMT00001","","","1","2","2","CSK00588","SKA00003","SKE49030","SKE49030","","ASK00817","SKA00006","","","SKE40005","768","576","0","1259","1127","0","1000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，拥有蓄力技能。",""
"MON40062","96","兽王","MON40062","400","4","90","","4","1","AAT00001","FMT00001","","","1","2","2","CSK00588","SKA00003","SKE49030","SKE49030","","ASK00817","SKA00006","","","SKE40005","930","821","0","1706","1447","0","2000","100000","0","0","1","","0","0","2","2","","1","1","0","大型近战单位，拥有蓄力技能。",""
"MON40063","97","兽王","MON40063","400","5","90","","4","1","AAT00001","FMT00001","","","1","2","2","CSK00588","SKA00003","SKE49030","SKE49030","","ASK00817","SKA00006","","","SKE40005","1066","1174","0","1968","1816","0","3000","100000","0","0","0","","0","0","2","2","","1","1","0","大型近战单位，拥有蓄力技能。",""
