"id","name","upgrade_level","hp","attack","defense","critical","missing","ability_power"
"10007","世界萨","3","27","28","7","0","0","4"
"10007","世界萨","4","19","40","6","0","0","7"
"10007","世界萨","5","32","45","3","0","0","7"
"10007","世界萨","6","29","75","9","0","0","17"
"10007","世界萨","7","45","99","4","0","0","13"
"10007","世界萨","8","109","71","7","0","0","54"
"10007","世界萨","9","122","66","12","1000","0","34"
"10008","白虎","1","14","8","2","0","0","5"
"10008","白虎","2","20","10","3","0","0","4"
"10008","白虎","3","38","16","9","0","0","6"
"10008","白虎","4","19","39","6","0","0","6"
"10008","白虎","5","53","30","4","0","0","18"
"10008","白虎","6","95","39","2","0","0","32"
"10008","白虎","7","84","47","2","0","0","42"
"10008","白虎","8","115","55","8","0","500","37"
"10008","白虎","9","96","66","9","500","500","48"
"10009","蛋总","1","12","14","1","0","0","0"
"10009","蛋总","2","29","10","2","0","0","4"
"10009","蛋总","3","37","19","8","0","0","6"
"10009","蛋总","4","42","25","6","0","0","12"
"10009","蛋总","5","19","57","3","0","0","14"
"10009","蛋总","6","59","68","4","0","0","23"
"10009","蛋总","7","58","72","3","0","0","31"
"10009","蛋总","8","116","60","1","0","500","25"
"10009","蛋总","9","105","90","16","0","500","23"
"10010","堕落王子","1","15","9","2","0","0","1"
"10010","堕落王子","2","9","18","1","0","0","7"
"10010","堕落王子","3","49","20","10","0","0","4"
"10010","堕落王子","4","23","27","3","0","0","15"
"10010","堕落王子","5","33","41","4","0","0","15"
"10010","堕落王子","6","67","47","16","0","0","12"
"10010","堕落王子","7","44","49","24","0","0","18"
"10010","堕落王子","8","31","54","20","0","0","42"
"10010","堕落王子","9","40","58","43","1000","0","16"
"10011","光法","1","12","10","1","0","0","4"
"10011","光法","2","13","12","2","0","0","5"
"10011","光法","3","14","21","5","0","0","11"
"10011","光法","4","25","20","5","0","0","16"
"10011","光法","5","43","32","1","0","0","24"
"10011","光法","6","34","48","4","0","0","37"
"10011","光法","7","66","43","8","0","0","32"
"10011","光法","8","43","37","11","0","500","53"
"10011","光法","9","67","58","4","0","0","89"
"10012","陈","1","15","8","2","0","0","2"
"10012","陈","2","15","14","2","0","0","4"
"10012","陈","3","31","26","2","0","0","10"
"10012","陈","4","27","22","6","0","0","13"
"10012","陈","5","34","45","1","0","0","12"
"10012","陈","6","33","40","13","0","0","26"
"10012","陈","7","50","59","12","0","0","18"
"10012","陈","8","89","68","34","0","0","6"
"10012","陈","9","88","37","35","0","0","56"
"10013","瓦娘","1","12","11","1","0","0","3"
"10013","瓦娘","2","19","14","2","0","0","0"
"10013","瓦娘","3","18","11","8","0","0","10"
"10013","瓦娘","4","17","35","6","0","0","10"
"10013","瓦娘","5","31","44","2","0","0","14"
"10013","瓦娘","6","35","59","5","0","0","28"
"10013","瓦娘","7","39","59","4","0","0","38"
"10013","瓦娘","8","40","51","2","500","500","39"
"10013","瓦娘","9","40","52","15","1000","500","27"
"10014","冰女","1","15","7","2","0","0","2"
"10014","冰女","2","20","10","3","0","0","4"
"10014","冰女","3","41","11","8","0","0","13"
"10014","冰女","4","9","30","2","0","0","18"
"10014","冰女","5","49","43","4","0","0","13"
"10014","冰女","6","106","42","3","0","0","24"
"10014","冰女","7","79","26","3","0","0","44"
"10014","冰女","8","70","51","7","0","500","26"
"10014","冰女","9","86","32","17","500","500","58"
"10015","大帝","1","26","7","3","0","0","0"
"10015","大帝","2","22","16","0","0","0","3"
"10015","大帝","3","37","22","9","0","0","4"
"10015","大帝","4","29","33","6","0","0","9"
"10015","大帝","5","51","42","6","0","0","12"
"10015","大帝","6","36","46","18","0","0","19"
"10015","大帝","7","59","54","23","0","0","15"
"10015","大帝","8","112","64","8","0","0","31"
"10015","大帝","9","141","66","29","1000","0","10"
"10016","兽王","1","16","9","3","0","0","1"
"10016","兽王","2","17","10","3","0","0","4"
"10016","兽王","3","35","16","5","0","0","8"
"10016","兽王","4","50","23","7","0","0","5"
"10016","兽王","5","54","25","6","0","0","17"
"10016","兽王","6","44","60","4","0","0","27"
"10016","兽王","7","37","85","6","0","0","27"
"10016","兽王","8","105","96","8","0","0","23"
"10016","兽王","9","140","90","20","500","0","14"
"10017","奥丁","1","19","9","2","0","0","2"
"10017","奥丁","2","29","12","2","0","0","6"
"10017","奥丁","3","36","20","5","0","0","10"
"10017","奥丁","4","37","25","8","0","0","8"
"10017","奥丁","5","60","34","7","0","0","12"
"10017","奥丁","6","74","60","5","0","0","16"
"10017","奥丁","7","59","51","4","0","0","31"
"10017","奥丁","8","60","40","8","0","500","40"
"10017","奥丁","9","115","48","10","0","500","51"
"10018","洛基","1","15","8","2","0","0","2"
"10018","洛基","2","20","8","3","0","0","5"
"10018","洛基","3","14","14","4","0","0","17"
"10018","洛基","4","8","21","3","0","0","23"
"10018","洛基","5","31","18","4","0","0","25"
"10018","洛基","6","67","49","3","0","0","17"
"10018","洛基","7","43","54","6","0","0","31"
"10018","洛基","8","79","44","4","0","500","33"
"10018","洛基","9","68","54","5","500","500","28"
"10019","托尔","1","18","10","1","0","0","4"
"10019","托尔","2","10","20","1","0","0","6"
"10019","托尔","3","22","26","8","0","0","3"
"10019","托尔","4","18","29","5","0","0","12"
"10019","托尔","5","18","36","2","0","0","19"
"10019","托尔","6","57","64","8","0","0","9"
"10019","托尔","7","45","48","5","0","0","33"
"10019","托尔","8","79","64","3","500","500","23"
"10019","托尔","9","78","117","14","0","0","10"
"10020","希芙","1","17","11","2","0","0","0"
"10020","希芙","2","13","13","2","0","0","4"
"10020","希芙","3","37","18","10","0","0","2"
"10020","希芙","4","30","28","7","0","0","8"
"10020","希芙","5","53","37","3","0","0","17"
"10020","希芙","6","39","54","4","0","0","23"
"10020","希芙","7","49","55","7","0","0","24"
"10020","希芙","8","34","58","21","0","0","32"
"10020","希芙","9","55","77","28","1000","0","10"
"10021","普罗米修斯","1","15","9","2","0","0","2"
"10021","普罗米修斯","2","19","10","4","0","0","3"
"10021","普罗米修斯","3","48","19","11","0","0","3"
"10021","普罗米修斯","4","29","27","4","0","0","12"
"10021","普罗米修斯","5","33","38","7","0","0","13"
"10021","普罗米修斯","6","51","55","4","0","0","18"
"10021","普罗米修斯","7","69","30","10","0","0","36"
"10021","普罗米修斯","8","62","70","12","0","500","28"
"10021","普罗米修斯","9","68","62","16","500","500","36"
"10022","刘备","1","14","12","1","0","0","3"
"10022","刘备","2","21","6","5","0","0","3"
"10022","刘备","3","21","27","7","0","0","6"
"10022","刘备","4","36","26","10","0","0","5"
"10022","刘备","5","31","35","9","0","0","15"
"10022","刘备","6","28","42","9","0","0","25"
"10022","刘备","7","51","41","13","0","0","32"
"10022","刘备","8","47","65","28","0","0","35"
"10022","刘备","9","55","51","31","500","0","52"
"10023","美杜莎","1","11","12","3","0","0","2"
"10023","美杜莎","2","13","12","2","0","0","6"
"10023","美杜莎","3","17","28","6","0","0","6"
"10023","美杜莎","4","22","31","9","0","0","6"
"10023","美杜莎","5","35","32","9","0","0","16"
"10023","美杜莎","6","40","43","6","0","0","23"
"10023","美杜莎","7","69","49","4","0","0","33"
"10023","美杜莎","8","45","89","11","0","500","28"
"10023","美杜莎","9","29","49","11","0","500","61"
"10024","赵云","1","12","13","1","0","0","1"
"10024","赵云","2","27","8","4","0","0","4"
"10024","赵云","3","46","12","7","0","0","9"
"10024","赵云","4","37","30","5","0","0","9"
"10024","赵云","5","51","53","1","0","0","7"
"10024","赵云","6","39","61","5","0","0","15"
"10024","赵云","7","65","79","11","0","0","9"
"10024","赵云","8","63","58","14","0","500","36"
"10024","赵云","9","89","52","8","1500","500","32"
"10025","潘多拉","1","21","7","4","0","0","0"
"10025","潘多拉","2","32","4","5","0","0","2"
"10025","潘多拉","3","53","12","10","0","0","8"
"10025","潘多拉","4","43","18","5","0","0","14"
"10025","潘多拉","5","46","30","6","0","0","16"
"10025","潘多拉","6","93","45","5","0","0","15"
"10025","潘多拉","7","71","89","4","0","0","14"
"10025","潘多拉","8","43","76","9","500","500","24"
"10025","潘多拉","9","53","41","18","2000","500","25"
"10026","张飞","1","17","8","2","0","0","3"
"10026","张飞","2","12","13","2","0","0","6"
"10026","张飞","3","18","24","6","0","0","8"
"10026","张飞","4","39","21","5","0","0","13"
"10026","张飞","5","48","31","9","0","0","12"
"10026","张飞","6","77","36","5","0","0","19"
"10026","张飞","7","82","80","1","0","0","14"
"10026","张飞","8","130","83","15","0","0","21"
"10026","张飞","9","131","68","20","1500","0","14"
"10027","阿瑞斯","1","14","11","1","0","0","2"
"10027","阿瑞斯","2","17","12","4","0","0","4"
"10027","阿瑞斯","3","20","15","7","0","0","11"
"10027","阿瑞斯","4","33","26","9","0","0","7"
"10027","阿瑞斯","5","44","46","5","0","0","9"
"10027","阿瑞斯","6","39","32","6","0","0","29"
"10027","阿瑞斯","7","40","69","10","0","0","15"
"10027","阿瑞斯","8","56","112","15","0","500","6"
"10027","阿瑞斯","9","94","74","8","1500","500","16"
"10028","关羽","1","17","8","2","0","0","2"
"10028","关羽","2","15","9","3","0","0","6"
"10028","关羽","3","50","12","8","0","0","8"
"10028","关羽","4","38","25","9","0","0","8"
"10028","关羽","5","61","43","3","0","0","9"
"10028","关羽","6","51","45","3","0","0","21"
"10028","关羽","7","97","91","0","0","0","7"
"10028","关羽","8","69","60","7","0","500","44"
"10028","关羽","9","111","70","9","500","500","38"
"10030","吕布","1","13","18","2","0","0","0"
"10030","吕布","2","16","18","3","0","0","4"
"10030","吕布","3","50","18","8","0","0","4"
"10030","吕布","4","28","46","6","0","0","4"
"10030","吕布","5","38","76","2","0","0","4"
"10030","吕布","6","73","81","4","0","0","16"
"10030","吕布","7","81","89","7","0","0","15"
"10030","吕布","8","71","97","7","0","500","11"
"10030","吕布","9","107","93","12","1000","0","56"
"10031","暴走布","1","13","18","2","0","0","0"
"10031","暴走布","2","16","18","3","0","0","4"
"10031","暴走布","3","50","18","8","0","0","4"
"10031","暴走布","4","28","46","6","0","0","4"
"10031","暴走布","5","38","76","2","0","0","4"
"10031","暴走布","6","73","81","4","0","0","16"
"10031","暴走布","7","81","89","7","0","0","15"
"10031","暴走布","8","71","97","7","0","500","11"
"10031","暴走布","9","107","93","12","1000","0","56"
