"id","name","monster_id","boss","move_ai","movable_count","attack_ai","attackable_count","ai_change_type","ai_percent","ai_point","hp","parts_count","attack","defense","critical","accuracy","miss","position_restriction","x","y","attribute","drop_coin","drop_material1","material_rate1","drop_material2","material_rate2","drop_material3","material_rate3","drop_material4","material_rate4","drop_piece","drop_piece_number","drop_level"
"LGN02008","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","2679","99","1988","92","1000","100000","0","3","-1","-1","1","44","","","","","","","","","","",""
"LGN02009","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","3531","99","2165","0","1000","100000","0","3","-1","-1","1","65","","","","","","","","","","",""
"LGN02010","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","2571","99","1677","46","1000","100000","0","3","-1","-1","1","37","","","","","","","","","","",""
"LGN02011","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","4698","99","2419","276","1000","100000","0","3","-1","-1","1","76","","","","","","","","","MOP10026","1",""
"LGN02012","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","3193","99","1339","184","1000","100000","0","3","-1","-1","1","48","","","","","","","","","","",""
"LGN02013","加兹瑞拉的子嗣","MON30038","0","MAI00005","1","AAI00002","1","","","","10825","99","2150","276","1000","100000","0","3","-1","-1","3","138","","","","","","","","","","",""
"LGN02014","雷小恶魔","MON30072","0","MAI00005","1","AAI00002","1","","","","2679","99","1988","92","1000","100000","0","3","-1","-1","3","42","","","","","","","","","","",""
"LGN02015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02016","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","960","99","3571","0","1000","100000","0","3","-1","-1","1","41","","","","","","","","","MOP10028","1",""
"LGN02017","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","960","99","3571","0","1000","100000","0","3","-1","-1","1","52","","","","","","","","","","",""
"LGN02018","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","3531","99","2165","0","1000","100000","0","3","-1","-1","1","52","","","","","","","","","","",""
"LGN02019","熔岩作战傀儡","MON10028","0","MAI00005","2","AAI00010","1","","","","7142","99","1880","184","1000","100000","0","3","-1","-1","1","96","","","","","","","","","","",""
"LGN02020","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","2165","99","1880","0","1000","100000","0","3","-1","-1","1","36","","","","","","","","","","",""
"LGN02021","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","960","99","3571","0","1000","100000","0","3","-1","-1","1","42","","","","","","","","","","",""
"LGN02022","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","3193","99","1339","184","1000","100000","0","3","-1","-1","1","45","","","","","","","","","","",""
"LGN02023","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","2571","99","1677","46","1000","100000","0","3","-1","-1","1","41","","","","","","","","","","",""
"LGN02024","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","2679","99","1190","0","1000","100000","0","3","-1","-1","1","40","","","","","","","","","","",""
"LGN02025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02026","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1420","99","1","368","1000","100000","0","3","-1","-1","1","14","","","","","","","","","","",""
"LGN02027","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","2679","99","1988","92","1000","100000","0","3","-1","-1","1","51","","","","","","","","","","",""
"LGN02028","火重火炮","MON10070","0","MAI00006","1","AAI00110","2","","","","7","99","1366","100000","1000","100000","0","3","-1","-1","1","13","","","","","","","","","","",""
"LGN02029","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","2111","99","979","0","1000","100000","0","3","-1","-1","1","27","","","","","","","","","","",""
"LGN02030","火JJ怪","MON10072","0","MAI00005|MAI00005","1|0","AAI00002|AAI00102","1|1","ACT00004","50000","","2150","99","1190","366","1000","100000","0","3","-1","-1","1","36","","","","","","","","","","",""
"LGN02031","燃烧南瓜国王","MON10053","0","MAI00005","2","AAI00002","1","","","","6","99","1328","4500","1000","100000","0","3","-1","-1","1","13","","","","","","","","","","",""
"LGN02032","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","2679","99","1190","0","1000","100000","0","3","-1","-1","1","39","","","","","","","","","","",""
"LGN02033","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","2165","99","1880","0","1000","100000","0","3","-1","-1","1","40","","","","","","","","","","",""
"LGN02034","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1420","99","1","368","1000","100000","0","3","-1","-1","1","14","","","","","","","","","","",""
"LGN02035","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","4698","99","2419","276","1000","100000","0","3","-1","-1","1","77","","","","","","","","","","",""
"LGN02036","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1420","99","1","368","1000","100000","0","3","-1","-1","1","16","","","","","","","","","","",""
"LGN02037","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1420","99","1","368","1000","100000","0","3","-1","-1","1","16","","","","","","","","","","",""
"LGN02038","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","4698","99","2419","276","1000","100000","0","3","-1","-1","1","78","","","","","","","","","","",""
"LGN02039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02041","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","2679","99","1190","0","1000","100000","0","3","-1","-1","1","36","","","","","","","","","","",""
"LGN02042","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","2111","99","979","0","1000","100000","0","3","-1","-1","1","28","","","","","","","","","","",""
"LGN02043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02051","吕布","MON10079","1","MAI00005|MAI00006|MAI00005","2|2|2","AAI00124|AAI00125|AAI00124","1|1|1","ACT00001","33000","2","72935.3435206765","99","3187.26007334586","936.491735939848","3000","100000","0","3","-1","-1","1","746","","","","","","","","","MOP10030","1",""
"LGN02051","吕布","MON10079","1","MAI00005|MAI00006|MAI00005","2|2|2","AAI00124|AAI00125|AAI00124","1|1|1","ACT00001","33000","2","72935.3435206765","99","3187.26007334586","936.491735939848","3000","100000","0","3","-1","-1","1","799","","","","","","","","","MOP10030","1",""
"LGN02053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN02055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03001","强力火元素","MON10002","0","MAI00005","2","AAI00002","1","","","","4535","99","1894","287","1000","100000","0","3","-1","-1","1","71","","","","","","","","","MOP10022","1",""
"LGN03002","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","4950","99","3042","0","1000","100000","0","3","-1","-1","1","86","","","","","","","","","","",""
"LGN03003","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","3042","99","2654","0","1000","100000","0","3","-1","-1","1","62","","","","","","","","","","",""
"LGN03004","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","4535","99","1894","287","1000","100000","0","3","-1","-1","1","66","","","","","","","","","","",""
"LGN03005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03006","熔岩领主","MON10073","0","MAI00005","1","AAI00033","1","","","","12337","99","2795","143","1000","100000","0","3","-1","-1","1","139","","","","","","","","","MOP10024","1",""
"LGN03007","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1936","99","1","574","1000","100000","0","3","-1","-1","1","18","","","","","","","","","","",""
"LGN03008","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","3788","99","2711","143","1000","100000","0","3","-1","-1","1","65","","","","","","","","","","",""
"LGN03009","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","4950","99","3042","0","1000","100000","0","3","-1","-1","1","89","","","","","","","","","","",""
"LGN03010","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","3732","99","2309","71","1000","100000","0","3","-1","-1","1","63","","","","","","","","","","",""
"LGN03011","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","6658","99","3270","430","1000","100000","0","3","-1","-1","1","96","","","","","","","","","MOP10026","1",""
"LGN03012","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","4535","99","1894","287","1000","100000","0","3","-1","-1","1","71","","","","","","","","","","",""
"LGN03013","加兹瑞拉的子嗣","MON30038","0","MAI00005","1","AAI00002","1","","","","15210","99","2795","430","1000","100000","0","3","-1","-1","3","185","","","","","","","","","","",""
"LGN03014","雷小恶魔","MON30072","0","MAI00005","1","AAI00002","1","","","","3788","99","2711","143","1000","100000","0","3","-1","-1","3","74","","","","","","","","","","",""
"LGN03015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03016","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","1218","99","4732","0","1000","100000","0","3","-1","-1","1","65","","","","","","","","","MOP10028","1",""
"LGN03017","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","1218","99","4732","0","1000","100000","0","3","-1","-1","1","60","","","","","","","","","","",""
"LGN03018","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","4950","99","3042","0","1000","100000","0","3","-1","-1","1","82","","","","","","","","","","",""
"LGN03019","熔岩作战傀儡","MON10028","0","MAI00005","2","AAI00010","1","","","","9464","99","2654","287","1000","100000","0","3","-1","-1","1","125","","","","","","","","","","",""
"LGN03020","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","3042","99","2654","0","1000","100000","0","3","-1","-1","1","59","","","","","","","","","","",""
"LGN03021","狂怒的奥格瑞玛步兵","MON10007","0","MAI00005","1","AAI00001","1","","","","1218","99","4732","0","1000","100000","0","3","-1","-1","1","52","","","","","","","","","","",""
"LGN03022","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","4535","99","1894","287","1000","100000","0","3","-1","-1","1","71","","","","","","","","","","",""
"LGN03023","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","3732","99","2309","71","1000","100000","0","3","-1","-1","1","56","","","","","","","","","","",""
"LGN03024","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","3788","99","1577","0","1000","100000","0","3","-1","-1","1","54","","","","","","","","","","",""
"LGN03025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03026","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1936","99","1","574","1000","100000","0","3","-1","-1","1","19","","","","","","","","","","",""
"LGN03027","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","3788","99","2711","143","1000","100000","0","3","-1","-1","1","66","","","","","","","","","","",""
"LGN03028","火重火炮","MON10070","0","MAI00006","1","AAI00110","2","","","","9","99","1908","100000","1000","100000","0","3","-1","-1","1","18","","","","","","","","","","",""
"LGN03029","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","3013","99","1276","0","1000","100000","0","3","-1","-1","1","49","","","","","","","","","","",""
"LGN03030","火JJ怪","MON10072","0","MAI00005|MAI00005","1|0","AAI00002|AAI00102","1|1","ACT00004","50000","","2795","99","1577","509","1000","100000","0","3","-1","-1","1","38","","","","","","","","","","",""
"LGN03031","燃烧南瓜国王","MON10053","0","MAI00005","2","AAI00002","1","","","","6","99","1597","4500","1000","100000","0","3","-1","-1","1","18","","","","","","","","","","",""
"LGN03032","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","3788","99","1577","0","1000","100000","0","3","-1","-1","1","46","","","","","","","","","","",""
"LGN03033","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","3042","99","2654","0","1000","100000","0","3","-1","-1","1","51","","","","","","","","","","",""
"LGN03034","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1936","99","1","574","1000","100000","0","3","-1","-1","1","22","","","","","","","","","","",""
"LGN03035","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","6658","99","3270","430","1000","100000","0","3","-1","-1","1","97","","","","","","","","","","",""
"LGN03036","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1936","99","1","574","1000","100000","0","3","-1","-1","1","17","","","","","","","","","","",""
"LGN03037","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","1936","99","1","574","1000","100000","0","3","-1","-1","1","22","","","","","","","","","","",""
"LGN03038","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","6658","99","3270","430","1000","100000","0","3","-1","-1","1","113","","","","","","","","","","",""
"LGN03039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03041","燃烧猫头鹰","MON10008","0","MAI00005","2","AAI00029","1","","","","3788","99","1577","0","1000","100000","0","3","-1","-1","1","61","","","","","","","","","","",""
"LGN03042","火咒术魔书","MON10071","0","MAI00006","2","AAI00028","1","","","","3013","99","1276","0","1000","100000","0","3","-1","-1","1","37","","","","","","","","","","",""
"LGN03043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03051","吕布","MON10080","1","MAI00005|MAI00006|MAI00005","2|2|2","AAI00124|AAI00125|AAI00124","1|1|1","ACT00001","33000","2","102602.777319787","99","4244.96858270546","1349.2560322753","3000","100000","0","3","-1","-1","1","962","","","","","","","","","MOP10030","1",""
"LGN03051","吕布","MON10080","1","MAI00005|MAI00006|MAI00005","2|2|2","AAI00124|AAI00125|AAI00124","1|1|1","ACT00001","33000","2","102602.777319787","99","4244.96858270546","1349.2560322753","3000","100000","0","3","-1","-1","1","908","","","","","","","","","MOP10030","1",""
"LGN03053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN03055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN04001","强力火元素","MON10002","0","MAI00005","2","AAI00002","1","","","","6000","99","2500","400","1000","100000","0","3","-1","-1","1","75","","","","","","","","","MOP10022","1",""
"LGN04002","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","6500","99","4000","0","1000","100000","0","3","-1","-1","1","112","","","","","","","","","","",""
"LGN04003","狂怒矿工","MON10003","0","MAI00005","2","AAI00002","1","","","","4000","99","3500","0","1000","100000","0","3","-1","-1","1","71","","","","","","","","","","",""
"LGN04004","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","6000","99","2500","400","1000","100000","0","3","-1","-1","1","92","","","","","","","","","","",""
"LGN04005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN04006","熔岩领主","MON10073","0","MAI00005","1","AAI00033","1","","","","16000","99","3500","200","1000","100000","0","3","-1","-1","1","177","","","","","","","","","MOP10024","1",""
"LGN04007","火灵兔","MON10068","0","MAI00002|MAI00005","2|0","AAI00002|AAI00044","1|1","ACT00003","30000","0","2500","99","1","800","1000","100000","0","3","-1","-1","1","23","","","","","","","","","","",""
"LGN04008","火小恶魔","MON10069","0","MAI00005","2","AAI00002","2","","","","5000","99","3500","200","1000","100000","0","3","-1","-1","1","87","","","","","","","","","","",""
"LGN04009","迪菲亚女法师","MON10010","0","MAI00006","2","AAI00003","1","","","","6500","99","4000","0","1000","100000","0","3","-1","-1","1","103","","","","","","","","","","",""
"LGN04010","燃烧蝙蝠","MON10005","0","MAI00005","3","AAI00002","1","","","","5000","99","3000","100","1000","100000","0","3","-1","-1","1","70","","","","","","","","","","",""
"LGN04011","龙人暴怒者","MON10015","0","MAI00005","1","AAI00002","1","","","","8800","99","4200","600","1000","100000","0","3","-1","-1","1","121","","","","","","","","","MOP10026","1",""
"LGN04012","火元素","MON10001","0","MAI00005","1","AAI00002","1","","","","6000","99","2500","400","1000","100000","0","3","-1","-1","1","92","","","","","","","","","","",""
"LGN04013","加兹瑞拉的子嗣","MON30038","0","MAI00005","1","AAI00002","1","","","","20000","99","3500","600","1000","100000","0","3","-1","-1","3","219","","","","","","","","","","",""
