"id","gimmick_id","cell_x","cell_y","damage","attribute","negative_state","target","enemy_id","piece_drop_rate","coin_drop_rate","material_drop_rate","position_restriction","turn_count","start_turn_count","max_execute","move","range","item_id"
"NGM00053","GMK00057","-1","-1","0","0","0","0","NEN17028","20000","60000","20000","0","0","0","0","0","0",""
"NGM00054","GMK00058","-1","-1","0","0","0","0","NEN17008","20000","60000","20000","0","0","0","0","0","0",""
"NGM00055","GMK00059","-1","-1","0","0","0","0","NEN17028","20000","60000","20000","0","0","0","0","0","0",""
"NGM00056","GMK00054","-1","-1","0","0","0","0","NEN18027","20000","60000","20000","0","0","0","0","0","0",""
"NGM00057","GMK00055","-1","-1","0","0","0","0","NEN18027","20000","60000","20000","0","0","0","0","0","0",""
"NGM00058","GMK00056","-1","-1","0","0","0","0","NEN18027","20000","60000","20000","0","0","0","0","0","0",""
"NGM00059","GMK00057","-1","-1","0","0","0","0","NEN18027","20000","60000","20000","0","0","0","0","0","0",""
"NGM00060","GMK00058","-1","-1","0","0","0","0","NEN18027","20000","60000","20000","0","0","0","0","0","0",""
"NGM00061","GMK00059","-1","-1","0","0","0","0","NEN18027","20000","60000","20000","0","0","0","0","0","0",""
"NGM00062","GMK00054","-1","-1","0","0","0","0","NEN20005","20000","60000","20000","0","0","0","0","0","0",""
"NGM00063","GMK00055","-1","-1","0","0","0","0","NEN20005","20000","60000","20000","0","0","0","0","0","0",""
"NGM00064","GMK00056","-1","-1","0","0","0","0","NEN20005","20000","60000","20000","0","0","0","0","0","0",""
"NGM00065","GMK00057","-1","-1","0","0","0","0","NEN20005","20000","60000","20000","0","0","0","0","0","0",""
"NGM00066","GMK00058","-1","-1","0","0","0","0","NEN20005","20000","60000","20000","0","0","0","0","0","0",""
"NGM00067","GMK00059","-1","-1","0","0","0","0","NEN20005","20000","60000","20000","0","0","0","0","0","0",""
"NGM00068","GMK00049","-1","-1","0","0","0","3","NEN16151","0","100000","0","2","0","0","0","0","0",""
"NGM00069","GMK00049","-1","-1","0","0","0","3","NEN17029","20000","60000","20000","2","0","0","0","0","0",""
"NGM00070","GMK00049","-1","-1","0","0","0","3","NEN17029","20000","60000","20000","2","0","0","0","0","0",""
"NGM00071","GMK00049","-1","-1","0","0","0","3","NEN16152","0","100000","0","2","0","0","0","0","0",""
"NGM00072","GMK00049","-1","-1","0","0","0","3","NEN18028","20000","60000","20000","2","0","0","0","0","0",""
"NGM00073","GMK00049","-1","-1","0","0","0","3","NEN18028","20000","60000","20000","2","0","0","0","0","0",""
"NGM00074","GMK00049","-1","-1","0","0","0","3","NEN16153","0","100000","0","2","0","0","0","0","0",""
"NGM00075","GMK00049","-1","-1","0","0","0","3","NEN19028","20000","60000","20000","2","0","0","0","0","0",""
"NGM00076","GMK00049","-1","-1","0","0","0","3","NEN19028","20000","60000","20000","2","0","0","0","0","0",""
"NGM00077","GMK00049","-1","-1","0","0","0","3","NEN16154","0","100000","0","2","0","0","0","0","0",""
"NGM00078","GMK00049","-1","-1","0","0","0","3","NEN20027","20000","60000","20000","2","0","0","0","0","0",""
"NGM00079","GMK00049","-1","-1","0","0","0","3","NEN20027","20000","60000","20000","2","0","0","0","0","0",""
"NGM00080","GMK00023","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0","ITM00001"
"NGM00081","GMK00024","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0","ITM00001"
"NGM00082","GMK00025","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0","ITM00001"
"NGM00083","GMK00026","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0","ITM00001"
"NGM00084","GMK00027","-1","-1","0","0","0","0","","0","0","0","2","0","0","0","0","0","ITM00001"
"NGM00085","GMK00056","-1","-1","0","0","0","0","NEN16022","0","100000","0","6","0","0","0","0","0",""
"NGM00086","GMK00056","-1","-1","0","0","0","0","NEN16022","0","100000","0","6","0","0","0","0","0",""
"NGM00087","GMK00056","-1","-1","0","0","0","0","NEN16022","0","100000","0","6","0","0","0","0","0",""
"NGM00088","GMK00056","-1","-1","0","0","0","0","NEN16022","0","100000","0","6","0","0","0","0","0",""
"NGM00089","GMK00049","-1","-1","0","0","0","3","NEN03012","0","100000","0","2","0","0","0","0","0",""
"NGM00090","GMK00049","-1","-1","0","0","0","3","NEN16155","0","100000","0","2","0","0","0","0","0",""
"NGM00091","GMK00049","-1","-1","0","0","0","3","NEN16156","0","100000","0","2","0","0","0","0","0",""
"NGM00092","GMK00049","-1","-1","0","0","0","3","NEN16157","0","100000","0","2","0","0","0","0","0",""
"NGM00093","GMK00049","-1","-1","0","0","0","3","NEN16158","0","100000","0","2","0","0","0","0","0",""
"NGM00094","GMK00049","-1","-1","0","0","0","3","NEN16155","0","100000","0","2","0","0","0","0","0",""
"NGM00095","GMK00049","-1","-1","0","0","0","3","NEN16156","0","100000","0","2","0","0","0","0","0",""
"NGM00096","GMK00049","-1","-1","0","0","0","3","NEN16157","0","100000","0","2","0","0","0","0","0",""
"NGM00097","GMK00049","-1","-1","0","0","0","3","NEN16158","0","100000","0","2","0","0","0","0","0",""
"NGM00098","GMK00048","-1","-1","1500","100","0","3","","0","0","0","2","2","2","0","0","3",""
"NGM00099","GMK00048","-1","-1","3000","100","0","3","","0","0","0","2","2","2","0","0","3",""
"NGM00100","GMK00048","-1","-1","4500","100","0","3","","0","0","0","2","2","2","0","0","3",""
"NGM00101","GMK00048","-1","-1","6000","100","0","3","","0","0","0","2","2","2","0","0","3",""
